REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,opened,2011-04-06 01:46:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,title,2011-04-06 01:46:25,00:00,,1,,"b""b' When a target type property is of ISet"," the CollectionMapper incorrectly attempts to set it to a List'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,body,2011-04-06 01:46:25,00:00,,1,,"b""b' A target type may have a property with type of ISet", and the source may be an IEnumerable. AutoMapper detects that the ISet is an ICollection, but assumes that all ICollection instances can be satisfied with a List. This is not true with ISet. This is a duplicate of issue #27, which was accidentally closed (how?) and cannot, apparently," be reopened.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,closed,2011-05-06 21:21:59,1175.57,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,1,2011-04-06 01:46:25,714.93,,1,,"b""b' The fix has been reverted since the commit 61ddd30d119c12ccb160ef2a8dcfceeabd1f64d7.Could this be re-open ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,2,2011-04-06 01:46:25,20.02,,1,,"b""b' Well nuts.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,reopened,2015-06-05 14:01:22,999.38,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,3,2011-04-06 01:46:25,1282.48,,1,,"b""b' It seems to work now.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,4,2011-04-06 01:46:25,624.25,,1,,"b""b' Fixed.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,closed,2015-07-23 21:48:06,466.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,5,2011-04-06 01:46:25,420.18,,1,,"b""b' This thread has been automatically locked since there has not been any recent activity after it was closed. Please open a new issue for related bugs.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,28,closed,-,-,-,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper,122,closed,opened,2011-09-08 06:35:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
