REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,opened,2012-03-21 03:13:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,title,2012-03-21 03:13:58,00:00,,1,,"b""b' Icon request: icon-star-half-empty'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,body,2012-03-21 03:13:58,00:00,,1,,"b""b' For things such as reviews (which can be 3 and 1/2 or 2 and half"," etc) can you look into adding half star filled icon?'""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,1,2012-03-21 03:13:58,709.13,,1,,"b'b"" Doesn\'t this already exist?  .icon-half-star""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,2,2012-03-21 03:13:58,22.4,,1,,"b""b' It does indeed.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,closed,2012-03-21 15:25:30,731.53,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,3,2012-03-21 03:13:58,1131.05,,1,,"b""b' The icon has a flaw. It should be an empty star which is filled half-way. Currently the right part of the empty star is missing.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,4,2012-03-21 03:13:58,199.5,,,1,"b""b' @alp82 found the same thing. Please fix this!'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,5,2012-03-21 03:13:58,376.37,,,1,"b""b' I agree. An -half-empty would be a great addition.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,6,2012-03-21 03:13:58,1145.72,,,1,"b""b' Hello! I also thought it would be great to be able to half-stars", you can add this to font-awesome fairly easily, however it is a hackish way to do it...  Add these selectors to the first block Add this right after the -icon-star-empty definition. Then your element just has both classes on it," like so.. Tada.'""",,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,7,2012-03-21 03:13:58,233.47,,1,,"b""b' Agreed with @alp82", a half-filled empty star is more preferable," than just a half-star without the border.'""",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,8,2012-03-21 03:13:58,3.52,,,1,"b'b"" Thanks jamie-stackhouse! That works well. At least", in Chrome. Haven\'t tried other browsers yet. Would still prefer a real icon, rather than the hack, long-term," of course.""'",,,,,,,,,,,,,,,,,,,
Font-Awesome,112,closed,9,2012-03-21 03:13:58,199.72,,,1,"b""b' Just to chime in", this would be a great addition. When you are trying to convey something like 2.5 out of 5 stars it looks odd to have to filled stars, half of a filled star," and two outline stars opposed a half-filled outline star in the middle that maintains a consistent width. '""",,,,,,,,,,,,,,,,,,,,
