REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,opened,2011-09-23 16:38:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,title,2011-09-23 16:38:57,00:00,,1,,"b""b' Add  tag to GMs who are visible in /who list. Author: Spp-'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,body,2011-09-23 16:38:57,00:00,,1,,"b'b"" See that thread: url  Based on: url  Keep in mind that Schmoozerd doesn\'t like to hardcoded mod the who list and that that info is coming from PTR Also if you auto merge it using github the revision id wont be incremented""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,1,2011-09-23 16:38:57,3.68,,1,,"b'b"" Schmoozerd doesn\'t like to hardcoded mod the who list and that that info is coming from PTR""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,closed,2011-09-23 16:42:38,3.68,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,reopened,2011-09-23 21:20:58,278.33,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,2,2011-09-23 16:38:57,1353.35,,1,,"b'b"" This will break who list\'s  functionality.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,3,2011-09-23 16:38:57,377.52,,1,,"b""b' What Vinolentus said. Rejected.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,closed,2011-11-04 21:33:30,12.53,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,17,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,opened,2012-02-05 20:15:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,title,2012-02-05 20:15:41,00:00,,1,,"b""b' Implement bunch of Spells:'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,body,2012-02-05 20:15:41,00:00,,1,,"b'b"" 247452476224785247592474724757247612476624771247692477324793247872479224791 Will need those for patch I\'m writing for SD2""'",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,closed,2012-02-05 21:21:48,66.12,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,1,2012-02-05 20:15:41,969.2,,1,,"b""b' url  Probably some of you spell-fixes are in concept correct and must be added. It might actually be that your code is correct to the exception that it must be placed into DummyAura on apply :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,reopened,2012-02-09 20:47:14,1405.43,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaNGOS,31,closed,closed,2012-02-09 20:47:25,0.18,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
