REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
MiniProfiler,38,closed,opened,2012-04-17 09:20:47,,,,,,,,,,,
MiniProfiler,38,closed,title,2012-04-17 09:20:47,00:00,,1,,"b""b' Mini Profiler profiles itself on virtual paths'""",,,,,,
MiniProfiler,38,closed,body,2012-04-17 09:20:47,00:00,1,,,"b""b' When my application is on the root folder", for example  , all works as expected.When I use another path,  , I get a lot of noise all requests to are also visible on the next request, making the profiler mostly useless... A simple workaround is to set  : This is an easy fix," but it looks like a bug somewhere...'"""
MiniProfiler,38,closed,1,2012-04-17 09:20:47,423.0,,,1,"b""b' sounds fine to me ... can you do a pull request'""",,,,,,
MiniProfiler,38,closed,2,2012-04-17 09:20:47,250.72,,,1,"b'b"" Hello", and thanks.A few comments:Fixing the ignore list is possible and very simple, but I can\'t find that either... shouldn\'t it be on url  ? I can\'t find that line there...I didn\'t think about patching that because there is probably a bug somewhere _something_ in the code is working well and ignores  , but doesn\'t ignore  . I thought about fixing that, but couldn\'t find it (actually, I had some problems downloading the code," I had extremely slow connection... maybe I\'ll try again)I\'m new at this.""'"
MiniProfiler,38,closed,closed,2012-04-19 20:34:31,673.73,1,1,2,,,,,,,
MiniProfiler,38,closed,reopened,2012-04-19 20:34:39,0.13,1,1,2,,,,,,,
MiniProfiler,38,closed,3,2012-04-17 09:20:47,97.2,,1,,"b""b' Did you try the current code in master? I had the same issue. 064eddf107a8a4357bb58e1572cdf3396219805b should have fixed it.'""",,,,,,
MiniProfiler,38,closed,4,2012-04-17 09:20:47,466.93,,,1,"b'b"" No", I was using the version from NuGet.Thanks a lot," that\'s good enough for me.""'",,,,
MiniProfiler,38,closed,closed,2012-04-22 05:58:38,563.98,1,2,3,,,,,,,
MiniProfiler,38,closed,-,-,-,1,2,3,,,,,,,
MiniProfiler,106,open,opened,2013-01-17 10:57:11,,,,,,,,,,,
MiniProfiler,106,open,title,2013-01-17 10:57:11,00:00,,1,,"b'b"" Fragment cache can\'t modify frozen object error rails 3""'",,,,,,
MiniProfiler,106,open,body,2013-01-17 10:57:11,00:00,,1,,"b""b' Hi", I faced some issues with fragment caching while using that gem. Please look at the link url  for more details.  Please address the issue," is it some bug in your gem or some other issue in AR. '""",,,,
MiniProfiler,106,open,1,2013-01-17 10:57:11,149.72,,1,,"b""b' I experienced the exact same issue and removing this gem fixed it for me.  '""",,,,,,
MiniProfiler,106,open,2,2013-01-17 10:57:11,707.63,,1,,"b""b' I think I just pulled a PR that fixes this"," can you try grabbing latest from github to confirm its fixed? '""",,,,,
MiniProfiler,106,open,closed,2013-05-06 01:14:32,857.35,0,4,0,,,,,,,
MiniProfiler,106,open,3,2013-01-17 10:57:11,608.88,,1,,b'b\' Still broken for me. Re-added the gem yesterday," and immediately started getting the same error:""NoMethodError: undefined method \''",,,,,
MiniProfiler,106,open,4,2013-01-17 10:57:11,1180.57,,,1,"b""b' Me too! The lasted branch still broke!'""",,,,,,
MiniProfiler,106,open,5,2013-01-17 10:57:11,698.38,,,1,"b'b"" I\'m also running into this issue. I\'m trying with and I\'m getting this: Any ideas? Thanks! ""'",,,,,,
MiniProfiler,106,open,6,2013-01-17 10:57:11,182.02,,1,,"b""b' getting the same exact error as @etagwerker rack-mini-profiler (0.1.31)'""",,,,,,
MiniProfiler,106,open,reopened,2013-09-26 08:06:44,412.2,0,6,2,,,,,,,
MiniProfiler,106,open,7,2013-01-17 10:57:11,138.82,,1,,"b""b' Same error rack-mini-profiler (0.1.31)'""",,,,,,
MiniProfiler,106,open,8,2013-01-17 10:57:11,457.05,,1,,"b""b' Same error rack-mini-profiler (0.9.0)'""",,,,,,
MiniProfiler,106,open,9,2013-01-17 10:57:11,302.58,,1,,"b""b' I get this error as well. This happens to me in my custom Devise::OmniauthCallbacksController. Removing rack-mini-profiler immediately fixes this problem.'""",,,,,,
MiniProfiler,106,open,10,2013-01-17 10:57:11,645.05,,1,,"b""b' +1 for this error on edge rails (4.1.0.rc1)'""",,,,,,
MiniProfiler,106,open,11,2013-01-17 10:57:11,626.27,,1,,"b""b' Yep"," still a problem.'""",,,,,
MiniProfiler,106,open,12,2013-01-17 10:57:11,853.95,,1,,"b'b"" Seems like it\'s fixed in  .""'",,,,,,
MiniProfiler,106,open,-,-,-,0,12,2,,,,,,,
