REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,
Nancy,102,closed,opened,2011-03-17 11:46:42,,,,,,,,,,,,,,,,,,,,,
Nancy,102,closed,title,2011-03-17 11:46:42,00:00,,1,,b'b\' Nancy\\\'s Request object should expose all URI parts," and ""Uri"" should be renamed to ""Path""\''",,,,,,,,,,,,,,,
Nancy,102,closed,body,2011-03-17 11:46:42,00:00,,,1,"b""b' To my surprise  is a string and not a Uri. I would love if request exposed a fully qualified Uri.'""",,,,,,,,,,,,,,,,
Nancy,102,closed,1,2011-03-17 11:46:42,50.47,,1,,"b'b"" I hear you", but I\'m not entirely sure why we would need this?  is always a /foo kind address," so a Uri would add an unnecessary level of complexity.. Where do u see a need for it?""'",,,,,,,,,,,,,,
Nancy,102,closed,2,2011-03-17 11:46:42,17.43,,1,,"b'b"" To force Nancy into always using paths only is a bit weird and not very RESTful :) I\'m building a log  data kind of thing and my filtering of resources happens through the query string. Exposing a Uri to the Request for me actually simplifies parsing bits and pieces tremendously. Think .PathAndQuery or and doing stuff like creating relative urls. The way i see it we can either expose all the bits and pieces directly: .Protocol", .HostName (missing!:(), .Port(missing!), .Path, .QueryString(Missing!)," .Query Or expose a .Uri we can manipulate in a matter most of us are accustomed too. Or both :)""'",,,,,,,,,,,
Nancy,102,closed,closed,2011-03-18 12:54:36,67.9,0,3,1,,,,,,,,,,,,,,,,,
Nancy,102,closed,3,2011-03-17 11:46:42,427.05,,1,,"b""b' Bump just to see if github  reopens the issue"," not to try get it back to te top. must have closed this on accident. '""",,,,,,,,,,,,,,,
Nancy,102,closed,4,2011-03-17 11:46:42,9.47,,,1,"b'b\' This cost me some time today not so much because ""Uri"" is actually the path (took a while to realise that the query string was missing from it) but that it\\\'s called ""Uri"" when it should be called ""Path"". Would be much more intuitive if Uri was a Uri IMO :) In my case I needed to get at the query string which I had to build from the Query dictionary instead. Again a Uri would have made this trivial and with fewer surprises along the way.\''",,,,,,,,,,,,,,,,
Nancy,102,closed,reopened,2011-04-08 20:18:55,444.32,0,4,2,,,,,,,,,,,,,,,,,
Nancy,102,closed,5,2011-03-17 11:46:42,11.83,,1,,"b'b"" Don\'t think a uri object is the way to go", but we should have all the component parts available," similar to the OWIN header. ""'",,,,,,,,,,,,,,
Nancy,102,closed,6,2011-03-17 11:46:42,9.62,,1,,"b'b"" Why\'s that (not that I\'m saying you\'re wrong"," i\'m just curious as to why)?""'",,,,,,,,,,,,,,,
Nancy,102,closed,7,2011-03-17 11:46:42,657.22,,1,,"b'b"" Mainly because they\'re fragile and a bit of a pig to work with. I couldn\'t tell you how many runtime issues I\'ve had due to APIs expecting URIs.. but not quite _that_ URI", so it blows up at runtime. It can be quite a useful class, but not as part of an API that doesn\'t have the specificity to declare precisely what _kind_ of URI it wants in its contract. If we make sure all the component parts are in the request then you can build a URI object yourself easily enough, and we might even add an  method," but changing the base type is a no-no for me.""'",,,,,,,,,,,,
Nancy,102,closed,8,2011-03-17 11:46:42,6.37,,1,,b'b\' RFC says the parts are scheme, authority, path," query and fragment but ""authority"" would probably make more sense to people as Host or Hostname.\''",,,,,,,,,,,,,
Nancy,102,closed,9,2011-03-17 11:46:42,1.43,,1,,"b'b"" I too think that will be a better representation. I think that for Nancy", it makes sense to expect the absolute request URI, as all the bits of information are already available. I do agree that the class itself has some issues with regard to encoding, but this is often due to people not using it as designed (e.g. you shouldn\'t use  , but rather  ). I also fail to see why a is better. A can contain anything. The  , fragile or not, has at least some requirements," and allows for easy access to the different fragments. Both situations can be avoided with proper documentation or by applying the principle of least astonishment.""'",,,,,,,,,
Nancy,102,closed,10,2011-03-17 11:46:42,2.25,,,1,"b'b\' ""AbsoluteUri"" is one of the fragile parts"," it can throw exceptions depending on how the Uri was constructed.. yucky. The fact you say it needs ""proper documentation"" is pretty much my point :-) I\\\'m not saying _one_ string", I\\\'m saying one string for each component part, named correctly, then it\\\'s clear what they are.\'',,,,,,,,,,,,
Nancy,102,closed,11,2011-03-17 11:46:42,28.2,,1,,"b""b' Maybe grouped together in an object of some sort? ;)'""",,,,,,,,,,,,,,,,
Nancy,102,closed,12,2011-03-17 11:46:42,151.72,1,,,"b""b' Seconded throwing all the parts in a seperate object but not on a property called .Uri. To avoid confusion.  We could then expose a TryParseUri() Method on the request "," everyone wins :)'""",,,,,,,,,,,,,,,
Nancy,102,closed,13,2011-03-17 11:46:42,351.13,,,1,"b'b"" Yeah I think it\'s important to have all of the details of the originating request including the full URI.  This helps with certain RESTful conventions like returning the correct hypermedia links for a resource (knowing what the base or the url is).""'",,,,,,,,,,,,,,,,
Nancy,102,closed,closed,2011-07-24 14:21:28,1082.55,1,10,4,,,,,,,,,,,,,,,,,
Nancy,102,closed,-,-,-,1,10,4,,,,,,,,,,,,,,,,,
Nancy,122,closed,opened,2011-04-06 04:45:03,,,,,,,,,,,,,,,,,,,,,
Nancy,122,closed,title,2011-04-06 04:45:03,00:00,,1,,"b""b' Added a new ViewEngine that supports the Liquid templating language.'""",,,,,,,,,,,,,,,,
Nancy,122,closed,body,2011-04-06 04:45:03,00:00,,,1,"b'b"" It\'s using DotLiquid (added to the dependencies).I did my best to keep the coding style"," hope it helps!""'",,,,,,,,,,,,,,,
Nancy,122,closed,1,2011-04-06 04:45:03,1038.53,,,1,"b'b"" We\'re close to getting the view engine updates out (view conventions which is already out"," caching etc) and would love to get this in when we do.. if you have any more work you want to put into this (add more features etc) this would be a good time to get cracking! Thank you for contributing to Nancy! :)""'",,,,,,,,,,,,,,,
Nancy,122,closed,2,2011-04-06 04:45:03,1140.15,,1,,"b'b"" This week and part of the next I\'m super busy with work. But I wil try to get to it later next week. ""'",,,,,,,,,,,,,,,,
Nancy,122,closed,closed,2011-05-30 17:03:44,738.68,0,2,2,,,,,,,,,,,,,,,,,
Nancy,122,closed,reopened,2011-06-10 12:20:58,1157.23,0,2,2,,,,,,,,,,,,,,,,,
Nancy,122,closed,closed,2011-06-20 12:29:52,8.9,0,2,2,,,,,,,,,,,,,,,,,
Nancy,122,closed,-,-,-,0,2,2,,,,,,,,,,,,,,,,,
Nancy,143,closed,opened,2011-05-22 11:12:40,,,,,,,,,,,,,,,,,,,,,
Nancy,143,closed,title,2011-05-22 11:12:40,00:00,,1,,"b""b' ArgumentException during bootstrapping when there are no views'""",,,,,,,,,,,,,,,,
Nancy,143,closed,body,2011-05-22 11:12:40,00:00,,1,,b'b\' Hi, Recently there have been some refactorings in the bootstrappers and conventions, and now I get an ArgumentException in the DefaultViewLocator when it is trying to find views. In my project I don\\\'t have any views since it is a REST-based app that only returns JSON. I tried to patch this, but it seems that there are still additional exceptions being thrown during initial bootstrapping when I try to unit test everything," since the  code only finds ""FakeNancyModule"" after the bootstrapping process"," which seems to indicate that the bootstrapping process failed somehwere halfway through. So I guess a ""no views"" application is not functioning properly at the moment. I can spend some time figuring out the exact cause", but I just want to put this out there, since it may be trivial to fix for you. Roy\'',,,,,,,,,
Nancy,143,closed,1,2011-05-22 11:12:40,1153.07,,,1,"b""b' Roy"," As I read your issue report I immediately get a sense for what is happening. I believe the issue to be in the new view convention code and should be easy to resolve. I will investigate and resolve during the day. Thank you!'""",,,,,,,,,,,,,,,
Nancy,143,closed,2,2011-05-22 11:12:40,124.27,,,1,"b'b"" Excellent! I\'ll keep watching the repo and let you know if the fix takes care of the problem I\'m seeing. If you need more detailed diagnostics I can provide those as well"," of course (if I know where to look :)).""'",,,,,,,,,,,,,,,
