REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,
RestSharp,70,closed,opened,2010-11-01 06:40:46,,,,,,,,,,,,,
RestSharp,70,closed,title,2010-11-01 06:40:46,00:00,,1,,"b""b'  does not work'""",,,,,,,,
RestSharp,70,closed,body,2010-11-01 06:40:46,00:00,1,,,"b'b\' seems like adding file to RestRequest doesn\\\'t work. ResponseStatus is set as Error. the  message is ""Bytes to be written to the stream exceed the Content-Length bytes size specified."" have to update the content length before writing to the the stream.\''",,,,,,,,
RestSharp,70,closed,1,2010-11-01 06:40:46,1.15,,,1,"b'b"" most likely the changes to Content-Length to work around .NET weren\'t tested with files and the header isn\'t being set right. thanks for the report.""'",,,,,,,,
RestSharp,70,closed,2,2010-11-01 06:40:46,685.13,,1,,"b'b"" try this again with jonfuller\'s latest changes and tell me if it\'s still not working""'",,,,,,,,
RestSharp,70,closed,3,2010-11-01 06:40:46,491.65,,1,,"b""b' i believe this to be resolved. please test and notify if not.'""",,,,,,,,
RestSharp,70,closed,4,2010-11-01 06:40:46,637.93,,,1,"b""b' Problem returned.In version 105.2.3 (current stable on nuget) with file ~3.5MB in size. After downgrading to 105.1.0 all works fine. There is a similar [post at StackOverflow]url  (not mine).'""",,,,,,,,
RestSharp,70,closed,5,2010-11-01 06:40:46,317.1,,1,,"b'b"" I think this is related to another bug #769 and #742 let me get that fixed and we\'ll see what happens.  Something happened with the content length.""'",,,,,,,,
RestSharp,70,closed,reopened,2015-11-02 18:13:44,692.97,1,4,2,,,,,,,,,
RestSharp,70,closed,6,2010-11-01 06:40:46,91.22,,1,,"b'b"" There\'s any news about this?""'",,,,,,,,
RestSharp,70,closed,7,2010-11-01 06:40:46,1009.22,,1,,"b""b' bump seems still to be a problem'""",,,,,,,,
RestSharp,70,closed,8,2010-11-01 06:40:46,1270.83,,1,,"b'b"" yep", i\'ve got issues with this too," even going back to 105.1.0 hasn\'t helped""'",,,,,,
RestSharp,70,closed,9,2010-11-01 06:40:46,1062.4,,1,,"b""b' Still not solved.'""",,,,,,,,
RestSharp,70,closed,10,2010-11-01 06:40:46,296.37,,1,,"b'b\' I am having a similar issue with newer versions of restsharpwhen using (""call[picture_attributes][file]"""," (s) =It doesnt work in newer versions but if i use(""call[picture_attributes][file]""", ()," GetRandomFileName(""jpg"")","""); with it works.  so using a stream by using  doesnt work while sending byte[] works\''
RestSharp	70	closed	11	bcabrera	2010-11-01 06:40:46	351.92		+1		b""b' This was my solution to get around this bug: '",,,,
RestSharp,70,closed,12,2010-11-01 06:40:46,363.85,,1,,"b""b' Is  not ready for .NET Core?  I see there is a #if FRAMEWORK compiler directive around the AddFile methods on the interface. I think the @bcabrera workaround could work for my use case but the unit test would be a challenge.  '""",,,,,,,,
RestSharp,70,closed,13,2010-11-01 06:40:46,550.37,,1,,"b""b' There is no version for .NET Core just yet. See open issues to monitor progress.'""",,,,,,,,
RestSharp,70,closed,closed,2017-09-28 05:29:54,676.17,1,12,2,,,,,,,,,
RestSharp,70,closed,-,-,-,1,12,2,,,,,,,,,
RestSharp,144,closed,opened,2011-07-12 14:04:09,,,,,,,,,,,,,
RestSharp,144,closed,title,2011-07-12 14:04:09,00:00,,1,,"b""b' XML deserializer List'""",,,,,,,,
RestSharp,144,closed,body,2011-07-12 14:04:09,00:00,,1,,"b'b"" The same problem as described in issue 28 ( url  ) exists for XML deserializer too. string has no parameterless constructor so it can\'t be instantiated. My hotfix was to identify string types in CreateAndMap and return string without using Activator.""'",,,,,,,,
RestSharp,144,closed,closed,2011-08-12 23:38:09,574.0,0,2,0,,,,,,,,,
RestSharp,144,closed,reopened,2011-08-12 23:38:12,0.05,0,2,0,,,,,,,,,
RestSharp,144,closed,1,2011-07-12 14:04:09,574.15,,1,,"b'b"" If you can supply the fix in a pull request"," I\'ll merge it in.""'",,,,,,,
RestSharp,144,closed,2,2011-07-12 14:04:09,1313.48,,1,,"b""b' Added pull request url '""",,,,,,,,
