REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,opened,2011-07-28 22:28:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,title,2011-07-28 22:28:33,00:00,,1,,"b""b' Add  support to hubs & methods'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,body,2011-07-28 22:28:33,00:00,,1,,"b'b\' Add support for marking hubs and hub methods as requiring authentication and authorization (like MVC). <!-@huboard:{""order"":56.75}>\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,1,2011-07-28 22:28:33,1016.85,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,2,2011-07-28 22:28:33,854.3,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,3,2011-07-28 22:28:33,186.77,,1,,"b'b"" Let\'s do this as a separate package.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,4,2011-07-28 22:28:33,941.65,,1,,"b""b' Moving to next release.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,5,2011-07-28 22:28:33,1192.23,,,1,"b""b' Was this ever implemented? It would be extreme nice.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,6,2011-07-28 22:28:33,978.45,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,7,2011-07-28 22:28:33,804.82,,1,,"b""b' Is there any way to accomplish this? Maybe to define a custom Authorization Manager like in WCF?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,8,2011-07-28 22:28:33,1000.45,,1,,"b""b' Sounds like an obvious feature to have added.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,9,2011-07-28 22:28:33,289.57,,,1,"b""b' This feature means the possibility of: From the  event handler get the Cookie of type FormsAuthentication use  method to get a Custom IPrincipal and use the custom information keeped on the Userdata information on the Hub dereived class? i mean if now for my MVC controllers and my Webapi controllers i derived them from a class that can get my application information from my custom principal"," i\\xc2\\xb4m going to be able to do the same? Thanks'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,10,2011-07-28 22:28:33,537.22,,1,,"b'b"" @jlsfernandez That\'s not right at all. Take a look at #548 for more context on this issue.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,11,2011-07-28 22:28:33,56.13,,,1,"b""b' I saw thanks"," meawhile if you know any URL where someone have play with an example of how to do it it will be helpful for me.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,12,2011-07-28 22:28:33,12.97,,1,,"b""b' @jlsfernandez add the following to everything method you want authorized: Definition: The assumption is that you authenticate outside of SignalR and you use the same authenticated user to perform actions on the Hub. For outgoingm handle IConnected and call the method in Connect and Reconnect.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,closed,2012-08-12 09:39:57,671.4,0,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SignalR,4,closed,reopened,2012-08-12 09:40:04,0.12,0,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
