REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,opened,2010-10-04 17:24:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,title,2010-10-04 17:24:31,00:00,,1,,"b""b' Allow SparkleShare to use a Mercurial (hg) backend'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,body,2010-10-04 17:24:31,00:00,,1,,"b""b' Filing this issue on extending SparkleShare to support  (in addition to git) as its version-control backend.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,1,2010-10-04 17:24:31,1269.32,,1,,"b""b' I support this", it will make possible to use sparkleshare with bitbucket," which offers unlimited space for private repositories on the free account.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,2,2010-10-04 17:24:31,23.73,,1,,"b'b"" This won\'t happen except when someone steps up and does it. Which is very unlikely"," so closing...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,3,2010-10-04 17:24:31,14.47,,1,,"b'b"" I was looking at this", but didn\'t have time to look much at the code. If you can explain more or less which functions should be modified," I can try again..""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,4,2010-10-04 17:24:31,1424.43,,1,,"b""b' All you need to change are the SparkleFetcher and SparkleRepo classes. Perhaps you can subclass them and override the needed methods. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,5,2010-10-04 17:24:31,22.4,,1,,"b'b"" ok"," I\'ll let you know in a while.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,reopened,2011-05-19 17:32:04,7.55,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,6,2010-10-04 17:24:31,585.05,,,1,"b'b"" I\'ve added basic (no event log support) to the \'backend\' branch. check it out!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,closed,2011-05-20 01:03:55,451.85,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,7,2010-10-04 17:24:31,7.52,,1,,"b'b"" I\'m curious what advantages will mercurial offer over git? edit: how do I add a repo to sparkleshare that uses mercurial"," do I need to check out the new branch?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,8,2010-10-04 17:24:31,9.13,,,1,"b'b"" @lgordon I don\'t know either... But more choice is good. It was mainly an experiment to test the abstraction. Also"," now people can add any backend they\'d like.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,9,2010-10-04 17:24:31,15.72,,,1,b'b\' I just created a new hg repo (hg init) on my server and then I added it to sparkleshare just like I normally would," it then crashed and gave this error: note my version of mercurial (hg) is from the oracle solaris repos (v. 1.3.1) [20:18:25][Controller] Formed URL: ssh://git@[20:18:25][Fetcher][/] Fetching folder...[20:18:25][Cmd] / clone ""ssh://git@"" ""/"" Unhandled Exception: : ApplicationName=\\\'/\\\'"," CommandLine=\\\'clone ""ssh://git@"" ""/""\\\'", CurrentDirectory=\\\'/\\\'  at  ( startInfo,  process) [0x00000] in :0 at  ( startInfo,  process) [0x00000] in :0 at  () [0x00000] in :0 at  () [0x00000] in :0 at (wrapper remoting-invoke-with-check) :Start ()  at  () [0x00000] in :0 at  () [0x00000] in :0 \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,10,2010-10-04 17:24:31,17.63,,1,,"b'b"" @lgordon you need to have hg in /. btw", it doesn\'t really make sense to report bugs against this branch yet," it still has too many known flaws.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,11,2010-10-04 17:24:31,20.18,,1,,"b'b"" @hbons I was stupid and installed hg on my server but not on the local machine"," I\'ll just play around with it and not bug you. Thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,12,2010-10-04 17:24:31,97.42,,1,,"b'b\' I tried to fix the problem on my own but I don\\\'t really know exactly where the error is occuring on line 35 of : ""clone \\\\"""" +  + ""\\\\"" "" + ""\\\\"""" +  + ""\\\\""""); in the "," mercurial requires an additional slash ""/"" to specify the folder ie.  hg clone ""ssh://git@"" doesn\\\'t work but hg clone ""ssh://git@"" will work I can\\\'t figure out how to implement this change. I know you said not to report bugs but I figure I would point it out.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,13,2010-10-04 17:24:31,1251.43,,1,,"b""b' @lgordon"," if I am right the url is created at  line 325 or [438]url  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,14,2010-10-04 17:24:31,1256.42,,1,,"b""b' @wimh", That looks right, I figure adding another slash would fix hg but probably break git," I guess that this part needs to be abstracted so the  versions can be different.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,15,2010-10-04 17:24:31,1353.47,,,1,b'b\' Since sparkleshare won\\\'t allow the 2nd / for Hg to access repos that aren\\\'t in the home directory I just create a symlink to my repo in the git users home directory and was then able to add it succesfully, however, when I clicked to get the log it crashed. I figured I would post the log here but maybe the log just isnt supported yet," Thanks! [18:35:04][Controller] Formed URL: ssh://git@[18:35:04][Fetcher][/] Fetching folder...[18:35:04][Cmd] / clone ""ssh://git@"" ""/""[18:35:05][Hg] Exit code 0[18:35:05][Config] Added configuration to \\\'/\\\'[18:35:05][Fetcher][/] Fetching finished[18:35:05][Cmd] / log limit 1 template ""{node}""[18:35:05][Cmd] / log -r : limit 1 template ""{node}""[18:35:05][ListenerFactory] Refered to existing listener for 204.62.14.135[18:35:05][Cmd] / status[18:35:14][Cmd] / log limit 30 style / Unhandled Exception: : Object reference not set to an instance of an object  at  () [0x00000] in :0 at  () [0x00000] in :0 \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,16,2010-10-04 17:24:31,1361.47,1,,,"b'b"" @lgordon yes"," i haven\'t implemented the log yet. It seems to be very hard to get a commit log with changed files from Hg....""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,1,closed,17,2010-10-04 17:24:31,1362.92,,,1,"b""b' well I can report that adding files to hg repos hosted on my server works!! also the hgweb cgi script is super easy to install (much simpler than git-web) and i can browse the contents of my sparkleshare hg repo through my mini-httpd server'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
