REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,opened,2010-09-21 00:50:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,title,2010-09-21 00:50:11,00:00,,1,,"b'b"" Complete Documentation TODO\'s and update Community Wiki""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,body,2010-09-21 00:50:11,00:00,,1,,"b""b' Fill in missing pages with a TODO on them:url  Replace Community Wiki duplicate pages with links to the Application Documentation pages. Also TODO: Add to this page:url approaches from this thread:url  Add developer docs for how to use FixtureBuilders (esp re: scope) as per this thread:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,closed,2011-04-13 23:25:52,1355.68,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,reopened,2011-04-13 23:26:59,1.12,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,1,2010-09-21 00:50:11,904.83,,,1,"b'b"" I actually fancy doing some documentation writing. Spent a long time coding recently", writing some documentation would be a nice, useful break :) I saw that you were doing a bit of a back and forth was a guy on Twitter about documentation on the ThinkUpApp account. Any news on whether or not he\'s started, what he\'s doing, so on? As for the organisational structure section, would you want a mailing list thread asking people to contribute their own bios, whether or not they work for Expert Labs, etc.? I\'m also very eager to really flesh out the developer documentation. I like how PHP has really detailed online documentation for every class and function they have. I think having similarly detailed documentation for ThinkUp classes," methods and functions would be fantastic. Is that something you would like me to start doing? :)""'",,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,2,2010-09-21 00:50:11,7.38,,,1,"b""b' On Tue", Apr 26, 2011 at 8:55 AM, samwhoreply@wrote:Great!@NullFear," any update?We want to include folks who are current active contributors. I cancompile a list and send out the individual asks for .Our class docs are auto-generated by PHPDocumentor. Here they are: url  Right now our biggest need is porting mature wiki docs into rST. Mindworking on that first? Particularly this page:url  And these developer pages:url  Thanks Sam! ##  url url '""",,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,3,2010-09-21 00:50:11,1.78,,1,,"b'b"" Should have included: here\'s a list of all our current TODO pages: url  On Tue", Apr 26, 2011 at 8:55 AM," samwhoreply@wrote:##  url url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,4,2010-09-21 00:50:11,5.7,,,1,"b'b"" I knew of the existence of these pages but browsing through them is really clunky and difficult. They\'re very underdeveloped and don\'t really look very nice. Would it be possible to make them easier to navigate? They also lack usage examples and return information examples which I love in the PHP docs.Fantastic", thank you :)Yeah, no problem. I\'ll give @NullFear a little while to reply first, maybe we could collaborate :) Thanks," Gina!""'",,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,5,2010-09-21 00:50:11,12.0,,,1,"b'b"" On Tue", Apr 26, 2011 at 9:09 AM, samwhoreply@wrote:I agree. I\'d love to find a better PHPDocumentor theme, and maybeincorporate Facebook Comments into them as well. I tried to find abetter theme with no luck," maybe you\'ll do better?Maybe there\'s a way to add that in PHPDocumentor? Not sure. Willing tomaybe do some research? ##  url url ""'",,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,6,2010-09-21 00:50:11,1.03,,,1,"b'b"" I\'m on it :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,7,2010-09-21 00:50:11,163.48,1,,,"b'b"" I must admit", these docs are still very confusing to me (the formatting, not the content ;) so I\'m still trying to figure out how it all works. Is there any reason we don\'t build a custom doc system? Personally, it seems like alot less work then the tedious conversion process," but maybe I\'m just missing something. :)""'",,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,8,2010-09-21 00:50:11,11.7,,,1,"b'b"" Why reinvent the wheel? :) Building a custom documentation would be much", much harder than converting our current documentation to a new format. reStructuredText is a known format. It\'s also supported by [[pandoc|url  which I\'ve just discovered. Pandoc converts between a variety of documentation formats. It doesn\'t do the job perfectly but it takes away a lot of the tedium. You need to use to compile the most recent version but it\'s easy to do under Linux (I assume it\'s easy enough under Mac," too). If you want to hop into IRC one day I\'ll happily help you getting to grips with rST. I\'m still new to it myself but there\'s a lot of reference and troubleshooting guides out there :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,9,2010-09-21 00:50:11,72.33,1,,,"b""b' See"," now I feel like an idiot. I think I was Googling the wrong markup. This is sonna be _easy_ :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,279,closed,10,2010-09-21 00:50:11,49.88,,,1,b'b\' Before you do anything we should talk about it because I\\\'ve already started:) I\\\'ll be on IRC in an hour or so if you want (watching x men origins atm :p)On 26 Apr 2011 21:30,"NullFear"" <reply@\''
ThinkUp	279	closed	closed	 - 	2014-02-28 15:26:18	959.32	2	3	7
ThinkUp	279	closed	-	-	-	-	2	3	7
ThinkUp	315	closed	opened	ginatrapani	2010-09-27 21:29:05
ThinkUp	315	closed	title	ginatrapani	2010-09-27 21:29:05	00:00		+1		b'b"" Facebook plugin doesn\'t gather backposts""'
ThinkUp	315	closed	body	ginatrapani	2010-09-27 21:29:05	00:00		+1		b""b' Only starts with current posts, unlike the Twitter plugin.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,closed,2011-04-13 23:25:52,116.78,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,reopened,2011-04-13 23:26:35,0.72,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,1,2010-09-27 21:29:05,658.07,,1,,"b""b' Any update on this issue ? Since it gathers the back comments writing the same logic for posts should be not that time consuming ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,2,2010-09-27 21:29:05,510.1,,1,,"b""b' No update; does still need to be done.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,3,2010-09-27 21:29:05,213.42,,,1,"b'b"" Looking into this issue a bit", this might be somewhat easy to fix. If you look at the raw data returned by Facebook Graph, one of the parameters returned is paging information, telling you how to get previous or next posts. I think it would be fairly easy to loop through this info to get all Facebook posts. If it\'s ok, I\'d like to take a crack at this issue, as it\'s pretty important to our Thinkup implementation. BTW," there\'s also a great developer tools for perusing the Graph API and what it returns url  . I\'ve been using it extensively while trying to figure out the Graph API :)""'",,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,4,2010-09-27 21:29:05,1315.18,,,1,"b'b"" I\'ve been living in the Graph Explorer for a week nowI love it! Yep", the paging information is exactly what we\'d use to gatherbackposts. Sounds like the way to go! Though we may want to set a capon how far we go back, so we\'re not paging back through hundreds orthousands of posts on every crawl. On Wed, Aug 31, 2011 at 1:30 PM," thegeekiestmarkreply@wrote:##  url url ""'",,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,closed,2011-09-09 23:58:23,31.8,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,315,closed,-,-,-,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,318,closed,opened,2010-09-27 22:20:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,318,closed,title,2010-09-27 22:20:40,00:00,,1,,"b""b' Test all input fields for XSS exploits'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,318,closed,body,2010-09-27 22:20:40,00:00,,1,,"b""b' Related mailing list thread:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
