REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,opened,2011-06-03 14:43:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,title,2011-06-03 14:43:42,00:00,,1,,"b""b' Added possibility for an actor to check if its mailbox is empty'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,body,2011-06-03 14:43:42,00:00,1,,,"b""b' Hello Hakkers", We are contemplating changing our worker infrastructure to akka. For that, we have performed some tests and that required the possibility to check for emptiness of an actor mailbox. Our use case currently requires the processing inside an actor to be performed only when its mailbox is empty. Since checking for the mailbox size is expensive," we thought this would be a nice addition to the use case. I hope this makes sense and the changes are useful for everyone. **EDIT**The ReceiveTimeout feature can also benefit from the changes in this commit as described in the follow up posts below.'""",,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,1,2011-06-03 14:43:42,860.65,,1,,"b'b"" That\'s a bit racy to check mailboxIsEmpty inside of the actor itself", I\'mnot so keen on adding this patch. On Fri, Jun 3, 2011 at 7:43 AM," chicofranchico <reply@>wrote:##  Viktor Klang Akka Tech LeadTypesafe url  Enterprise-Grade Scala from theExperts Twitter: @viktorklang""'",,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,2,2011-06-03 14:43:42,165.15,1,,,"b""b' Well", the thing is that if I do check mailboxSize all the time wouldnt that also cause a race condition?If, instead of checking for emptiness using this patch, we do on the size," the performance is more than 10x slower than our implementation.'""",,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,closed,2011-06-04 07:49:30,1025.8,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,reopened,2011-06-04 07:49:44,0.23,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,3,2011-06-03 14:43:42,392.5,1,,,"b""b' Yes", checking the mailbox size also causes races. If you need fast size you can always change the backing mailbox to aLinkedBlockingQueue. new ExecutorBasedEventDrivenDispatcher {  override def createMailbox(actorRef: ActorRef): AnyRef = mailboxType match{  case UnboundedMailbox =UnboundedMessageQueueSemantics with ExecutableMailbox  case _ =  }} On Sat, Jun 4, 2011 at 12:49 AM," chicofranchico <reply@>wrote:##  Viktor Klang Akka Tech LeadTypesafe url  Enterprise-Grade Scala from theExperts Twitter: @viktorklang'""",,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,4,2011-06-03 14:43:42,88.55,1,,,"b'b"" I need to test that for performance. I\'m using akka 2.0-snapshot. Could you tell me please what would be the exact code? I\'m trying the following but it doesn\'t work:  = new PinnedDispatcher(aRef) {  override def createMailbox(actorRef: ActorRef): AnyRef = mailboxType match  {  case b: UnboundedMailbox =  case _ =  }} object creation impossible"," since method dispatcher in trait ExecutableMailbox of type =""'",,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,5,2011-06-03 14:43:42,49.52,1,,,"b""b' Try new PinnedDispatcher(aRef) {  override def createMailbox(actorRef: ActorRef): AnyRef = mailboxType match {  case b: UnboundedMailbox = '""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,6,2011-06-03 14:43:42,20.8,1,,,"b""b' Weird error. Never seen this popup before. PinnedDispatcher is not an enclosing class'""",,,,,,,,,,,,,,,,,,,,,,,,,,
akka,81,closed,7,2011-06-03 14:43:42,9.43,,1,,"b'b"" Oh"," it\'s because you\'re creating an anon inner class. do: val self = thisoverride def createMailbox ... {  ...  def dispatcher = self  ...}""'",,,,,,,,,,,,,,,,,,,,,,,,,
