REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,opened,2011-04-02 06:45:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,title,2011-04-02 06:45:47,00:00,,1,,"b""b' Python 3 fixes'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,body,2011-04-02 06:45:47,00:00,,1,,"b""b' This makes several more things work with Python 3"," including:authentication on HTTPS connectionsRoute 53S3 get_bucket and bucket operations'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,1,2011-04-02 06:45:47,16.12,,1,,"b'b\' There are still a couple of py3-incompatible uses of unicode in  ( even has a SyntaxError from u"""")", which I haven\\\'t addressed because I don\\\'t use SDB and am not familiar with the intended semantics.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,closed,2011-04-02 07:01:54,16.12,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,reopened,2011-04-02 07:02:02,0.13,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,2,2011-04-02 06:45:47,0.33,,1,,"b'b"" (didn\'t mean to close"," whoops)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,3,2011-04-02 06:45:47,888.88,,,1,"b""b' I have merged these changes to the branch_master_python3k branch.  thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,closed,2011-04-02 21:51:07,889.08,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,151,closed,-,-,-,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boto,183,closed,opened,2011-05-05 05:56:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
