REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,opened,2011-05-10 13:37:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,title,2011-05-10 13:37:13,00:00,,1,,"b""b' Ticket 105 Problem with saving habtm between different db-schemas '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,body,2011-05-10 13:37:13,00:00,,1,,b'b\' Hi," Please consider merging this branch.  It fixes the problem logged in [lighthouse ticket #105]url  The second commit is required to avoid the ""Unknown table \\\'foo\\\' in MULTI DELETE"" error as discussed in [this blog post]url \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,1,2011-05-10 13:37:13,3.13,,1,,"b'b"" Forgot to mention that \'with\' key is required in the relationship declaration.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,2,2011-05-10 13:37:13,114.37,,1,,"b""b' Tests? Also I would not assume that both tables can be accessed using the same connection. So you should call the insert on the datasource fro the other model.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,3,2011-05-10 13:37:13,643.43,,1,,"b'b"" Since the HABTM has defined \'with\' key", it would use the value from the join model. eg: For tests," i\'ll try to update existing and write new ones up. This broke a lot of tests since it compares: against  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,4,2011-05-10 13:37:13,143.8,,1,,"b'b"" Let me try to rework this.  I\'m closing this pull request for now.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,closed,2011-05-11 04:41:57,904.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,reopened,2011-05-12 06:41:41,119.73,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,5,2011-05-10 13:37:13,129.97,,1,,"b'b"" @lorenzo", Can you comment on the additional commit @4f12dde53d5a2c8095c42984188081d663a2231d ? The deletions and insertions are now using the otherdb datasource. @211976fb3f29323a90fa8d698cd78076bcc3a700 introduces another parameter to fullTableName which may have bigger effect on the framework. I have adjusted test cases. At this point, all existing model and behavior tests passes. If you think this approach is sound, I\'ll add more tests for this use-case," rework the patch properly and remove the clumsy \'if\' conditions wherever possible.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,6,2011-05-10 13:37:13,405.12,,1,,"b""b' Obsolete. See url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,closed,2011-05-22 13:37:02,415.35,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,69,closed,-,-,-,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,opened,2011-05-16 19:05:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,title,2011-05-16 19:05:57,00:00,,1,,"b""b' Documentation typo fix for branch 2.0'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,body,2011-05-16 19:05:57,00:00,1,,,"b'b"" Simple and straight forward. I think it was a find-and-replace mistake. I did a quick grep for other occurances"," but didn\'t find any.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,1,2011-05-16 19:05:57,5.2,,1,,"b""b' There is also the one in the '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,closed,2011-05-16 19:11:09,5.2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,reopened,2011-05-16 19:11:17,0.13,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,closed,2011-05-16 19:11:30,0.22,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,2,2011-05-16 19:05:57,5.17,,1,,"b""b' Just fixed it as well.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,3,2011-05-16 19:05:57,6.4,,,1,"b'b"" Thanks! I\'m still a bit slow with this git thing :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,4,2011-05-16 19:05:57,110.08,,,1,"b""b' You are welcome!Keep learning (or getting fast in git) and keep sending pull requests. :) On Mon", May 16, 2011 at 9:17 PM, mamchenkov <reply@>wrote:##  Renan Gonalves aka MediaMij Web DeveloperCakePHP Core DeveloperWebsite: renangoncalves dot comAmsterdam," The Netherlands'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,78,closed,-,-,-,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakephp,97,closed,opened,2011-05-27 18:04:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
