REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,
ccv,7,open,opened,2012-02-12 11:32:17,,,,,,,,,,,,,,,,
ccv,7,open,title,2012-02-12 11:32:17,00:00,,1,,"b""b' Unstable win32'""",,,,,,,,,,,
ccv,7,open,body,2012-02-12 11:32:17,00:00,1,,,"b""b' These are my changes to make  build on Windows mingw gcc 4.4.1. These changes are ugly"," especially the  things I did. I plan to add a proper Makefile once I get the build somewhat stabilized.'""",,,,,,,,,,
ccv,7,open,1,2012-02-12 11:32:17,326.08,,,1,"b""b' Hi", thanks for the pull request, I am more interested in the script that compiles with windows, can you elaborate on that? I have tried to fix the memory access error in sift, please checkout the my new commit (b3591e0062fd89514bae4bbe477a775c3d7bfb3f) and see if that fix the problem," thanks!'""",,,,,,
ccv,7,open,2,2012-02-12 11:32:17,16.47,,1,,"b'b\' There are now new commits adding """" for bin/ and lib/ ", which do build the library and programs using  on Windows. There were very little changes needed, mostly in the files  two relevant patches are e4dce69 and 0472e6f I think.\'',,,,,,,,,
ccv,7,open,3,2012-02-12 11:32:17,384.9,,1,,"b""b' Sorry that recently I am pushing some aggressive changes in APIs and code structure in general that potentially could break this pull request. After I finished dpm and a few touches in bbf", there will finally be a tagged 0.1 version," could you modify this pull request by then? Thanks!'""",,,,,,,,,
ccv,7,open,4,2012-02-12 11:32:17,1085.02,,1,,"b""b' Hello", Am 05.04.2012 01:39," schrieb Liu -max'""",,,,,,,,,
ccv,7,open,5,2012-02-12 11:32:17,2.23,,1,,"b'b"" OK closing the pull request didn\'t work out", but I was able to update the commit range. This branch should (currently) merge without problems into your unstable branch. If you don\'t want to merge it now," I\'ll rebase again later no need to hurry.""'",,,,,,,,,
ccv,7,open,closed,2012-04-07 17:46:59,374.7,1,5,1,,,,,,,,,,,,
ccv,7,open,reopened,2012-04-07 17:47:04,0.08,1,5,1,,,,,,,,,,,,
ccv,7,open,6,2012-02-12 11:32:17,682.28,,,1,"b""b' Hi", since 0.1 is out, if you are still interested in this," could you patch -rc1 branch with Win32 compilation support? That will be a great help!'""",,,,,,,,
ccv,7,open,7,2012-02-12 11:32:17,1334.92,,,1,"b'b"" Hello",Yes, I\'m still interested! I\'m just really busy currently," so I don\'t know if I can submit a patch-branch before end of this week. The main meat of my change is to guard against #include  on Win32 in : +#ifndef _MSC_VER  #include #include +#endif...+#ifdef _WIN32+#include +#else  #include +#endif But I need some time to do an actual diff between my git-tree for the Perl bindings at url  (in the directory ccv-lib) and your source. -max""'",,,,,,,,
ccv,7,open,8,2012-02-12 11:32:17,839.57,,1,,"b""b' \\xe5\\x9c\\xa8windows\\xe4\\xb8\\x8b\\xe8\\xbf\\x90\\xe8\\xa1\\x8c\\xef\\xbc\\x8c\\xe8\\xae\\xad\\xe7\\xbb\\x83\\xe5\\x87\\xba\\xe6\\x9d\\xa5\\xe7\\x9a\\x84\\xe5\\x88\\x86\\xe7\\xb1\\xbb\\xe5\\x99\\xa8\\xef\\xbc\\x8c\\xe8\\xaf\\xbb\\xe5\\x8f\\x96\\xe6\\x9c\\x89\\xe9\\x97\\xae\\xe9\\xa2\\x98\\xe3\\x80\\x82\\xe9\\x9c\\x80\\xe8\\xa6\\x81\\xe8\\xbd\\xac\\xe6\\x8d\\xa2\\xe3\\x80\\x82'""",,,,,,,,,,,
ccv,7,open,9,2012-02-12 11:32:17,1401.75,,,1,"b""b' Any chance on getting these merged with a tutorial on how to compile on Win32? Ideally with Visual Studio (C++) 2012. Thank you!'""",,,,,,,,,,,
ccv,7,open,10,2012-02-12 11:32:17,1415.0,1,,,"b'b"" I just saw your request sorry for not reacting sooner :-/ I don\'t use Visual Studio", so I can\'t be of help here, sorry. I only use the MinGW gcc compiler," and that only because it\'s included with Strawberry Perl.""'",,,,,,,,
ccv,7,open,-,-,-,2,6,4,,,,,,,,,,,,
ccv,58,open,opened,2013-03-06 02:59:32,,,,,,,,,,,,,,,,
ccv,58,open,title,2013-03-06 02:59:32,00:00,,1,,"b""b' SWT speed up...'""",,,,,,,,,,,
ccv,58,open,body,2013-03-06 02:59:32,00:00,,1,,"b""b' I removed a subtract and a multiply from calculating the memory location by using a pre-calculated lookup table. When testing I found this decreased the processing time of up to 35%.'""",,,,,,,,,,,
ccv,58,open,1,2013-03-06 02:59:32,949.62,,1,,"b'b"" I have found some bugs in the implementation. I am looking to see if it\'s something that can be corrected.""'",,,,,,,,,,,
ccv,58,open,2,2013-03-06 02:59:32,58.28,,1,,"b""b' I made some bad assumptions about the algorithm and so most everything in this pull request is invalid. The speed ups I saw were due to short circuiting the algorithm. One of the commits should still be valid where I reordered the memory accesses but is rather small on whole.'""",,,,,,,,,,,
ccv,58,open,closed,2013-03-10 19:47:27,1007.92,0,4,0,,,,,,,,,,,,
ccv,58,open,3,2013-03-06 02:59:32,522.13,1,,,"b'b"" After my embarrassing last try I looked at it again and managed to improve performance while faithfully maintaining the algorithm\'s integrity. Hopefully I got it right this time. I have reopened the pull request and hopefully the new commits will show up. Basically there are two tight loops in ccv_swt() that do memory location calculations. It so happens that these loops can be modified in such a way that part of the memory location can be pre-calculated and then use a lookup table with some simple addition to gain some speed.""'",,,,,,,,,,,
ccv,58,open,reopened,2013-03-11 04:29:34,522.12,1,4,0,,,,,,,,,,,,
ccv,58,open,4,2013-03-06 02:59:32,365.78,,1,,"b""b' +1'""",,,,,,,,,,,
ccv,58,open,-,-,-,1,5,0,,,,,,,,,,,,
ccv,75,open,opened,2013-12-15 20:10:55,,,,,,,,,,,,,,,,
ccv,75,open,title,2013-12-15 20:10:55,00:00,,1,,"b""b' Does not compile correctly (out of the box) for Raspberry Pi on Arch Linux'""",,,,,,,,,,,
ccv,75,open,body,2013-12-15 20:10:55,00:00,,1,,"b'b"" Compiling for Raspberry Pi (ARMv6 hard-float", Raspbian) with clang, gave the following strange messages from the assembler: ...>>... The library would compile without errors, but programs using libccv would segfault for strange reasons (for example, [this]url  program segfaulted at ccv_write). [It turns out]url  that this occurs because clang was not targeting the correct architecture. Clang needs to be told explicitly which architecture to compile for. Adding the following to the makefile in / seems to solve the problem. CFLAGS += -ccc-host-triple armv6-unknown-eabi -march=armv6 -mfpu=vfp -mcpu=arm1176jzf-s -mtune=arm1176jzf-s -mfloat-abi=hard  The flags set above were a little overkill, but perhaps ccv would benefit from telling the compiler which architecture to compile for, even when clang isn\'t used. I would have submitted a pull request, but I don\'t know enough about build settings and  to make these changes. If accommodating different architectures isn\'t worth it," I think ccv should at least turn assembler messages like the ones above into errors. I\'m not very familiar with  and it took me a while to solve this problem.""'",,,
