REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,
chosen,3,closed,opened,2011-07-18 20:46:19,,,,,,,,,,,,,,,,,,,,,,
chosen,3,closed,title,2011-07-18 20:46:19,00:00,,1,,"b""b' Breaks jQuery Events'""",,,,,,,,,,,,,,,,,
chosen,3,closed,body,2011-07-18 20:46:19,00:00,,,1,b'b\' First off," thanks for this fantastic tool. My only issue with it is that it breaks jQuery events (e.g. ""click""",blur, etc).\'',,,,,,,,,,,,,,
chosen,3,closed,1,2011-07-18 20:46:19,94.18,,1,,"b'b"" What do you mean when you say it breaks events? Can you describe with a little more detail or give an example? Obviously"," I\'d like to get this fixed up asap.""'",,,,,,,,,,,,,,,,
chosen,3,closed,2,2011-07-18 20:46:19,204.7,,,1,"b'b\' Upon further inspection it appears that ""change"" is the only one that works","click"" and ""blur"" do nothing. Here is an example I uploaded based on your demo: url  Debug Information:Browser: Firefox 5.0jQuery Version: 1.6.2OS: Windows XP SP3\''
chosen	3	closed	closed	 - 	2011-07-19 01:45:13	298.9	0	2	2
chosen	3	closed	reopened	 - 	2011-07-19 01:45:15	0.03	0	2	2
chosen	3	closed	3	pfiller	2011-07-18 20:46:19	1151.82			+1	b'b"" I\'m not seeing this issue and no one else has verified. Please make sure you\'re using the latest version of chosen before reopening -thanks.""'
chosen	3	closed	closed	 - 	2011-08-16 20:57:01	1151.77	0	2	3
chosen	3	closed	-	-	-	-	0	2	3
chosen	12	closed	opened	bartfeenstra	2011-07-19 18:14:42
chosen	12	closed	title	bartfeenstra	2011-07-19 18:14:42	00:00		+1		b""b' Translatable strings'",,,,,,,,,,,,,,,,
chosen,12,closed,body,2011-07-19 18:14:42,00:00,,,1,"b""b' For sites that use other languages than US English"," it would be great to have an option to translate the UI strings.'""",,,,,,,,,,,,,,,,
chosen,12,closed,1,2011-07-19 18:14:42,204.07,,1,,"b'b\' Chosen\\\'s default text (""Select Some Options"" or ""Select an Option"") can already be overridden by using a title tag on your form field (precluding the need of a translatable string). I will try and add a way to change the ""No results match"" text for easier translation.\''",,,,,,,,,,,,,,,,,
chosen,12,closed,2,2011-07-19 18:14:42,45.05,,1,,"b'b"" I asked around in #jquery a bit and someone suggested looking at how  does translation. I haven\'t looked at it yet"," but I hope you find that a useful source.""'",,,,,,,,,,,,,,,,
chosen,12,closed,3,2011-07-19 18:14:42,0.52,1,,,"b'b"" I\'m afraid I don\'t know anything about Prototype though.""'",,,,,,,,,,,,,,,,,
chosen,12,closed,4,2011-07-19 18:14:42,1425.98,,,1,"b'b\' Chosen has implemented an option to make the ""No results match"" text configurable. When you create the initial chosen element", you can pass the option as part of the options object to override Chosen\\\'s default options. Good luck!\'',,,,,,,,,,,,,,,,
chosen,12,closed,closed,2011-09-12 22:10:19,235.62,1,3,2,,,,,,,,,,,,,,,,,,
chosen,12,closed,5,2011-07-19 18:14:42,772.85,1,,,"b""b' Hi"," sorry for reopening the issue... Is there are also a chance to provide the strings via options object ? In my case i need to provide the strings over Drupal and init the chosen plugin something like this. its no option for me to provide it over the form element self... in this case we need to change every select element provided by the cms... thanks for informations about this.Dennis'""",,,,,,,,,,,,,,,,
chosen,12,closed,reopened,2012-05-02 22:29:43,19.4,2,3,2,,,,,,,,,,,,,,,,,,
chosen,12,closed,6,2011-07-19 18:14:42,686.9,,,1,"b""b' I think offering an option and the data attribute is probably a good idea. Going to open this issue back up.'""",,,,,,,,,,,,,,,,,
chosen,12,closed,7,2011-07-19 18:14:42,31.48,,1,,"b'b"" I\'ve opened a pull request that addresses this"," but it\'s yet to be tested. Would welcome your feedback.""'",,,,,,,,,,,,,,,,
chosen,12,closed,8,2011-07-19 18:14:42,0.63,1,,,"b'b"" Ah shoot"," I didn\'t account for the single vs. multiple.""'",,,,,,,,,,,,,,,,
chosen,12,closed,9,2011-07-19 18:14:42,223.35,,1,,"b""b' #606 has been merged and this is done. Options for setting placeholder text follow. or  '""",,,,,,,,,,,,,,,,,
chosen,12,closed,closed,2012-05-03 02:45:32,255.82,3,5,3,,,,,,,,,,,,,,,,,,
chosen,12,closed,10,2011-07-19 18:14:42,158.6,,,1,"b""b' Thank you for your work!'""",,,,,,,,,,,,,,,,,
chosen,12,closed,-,-,-,3,5,4,,,,,,,,,,,,,,,,,,
chosen,41,closed,opened,2011-07-22 20:27:16,,,,,,,,,,,,,,,,,,,,,,
chosen,41,closed,title,2011-07-22 20:27:16,00:00,,1,,"b""b' Only working on last select"," which becomes first select...'""",,,,,,,,,,,,,,,,
chosen,41,closed,body,2011-07-22 20:27:16,00:00,,1,,"b'b"" Even creating a dummy page with just selects on the page", jquery 1.6.2, adding the chosen script, css, and $(\'select\').chosen(); in document ready produces these results. Basically it styles all the dropdowns, but only allows clicking of the top one. Also," the top dropdown becomes the last select menu in the html.""'",,,,,,,,,,,
chosen,41,closed,1,2011-07-22 20:27:16,9.65,,1,,"b""b' Figured it out"," you MUST include an #id for each select...'""",,,,,,,,,,,,,,,,
chosen,41,closed,closed,2011-07-22 20:36:55,9.65,0,3,0,,,,,,,,,,,,,,,,,,
chosen,41,closed,reopened,2011-07-22 20:44:29,7.57,0,3,0,,,,,,,,,,,,,,,,,,
chosen,41,closed,2,2011-07-22 20:27:16,7.68,,1,,"b'b"" I\'m going to re-open this issue and make it so that ids are optional.""'",,,,,,,,,,,,,,,,,
chosen,41,closed,3,2011-07-22 20:27:16,73.67,,1,,"b""b' I just ran into this", and my instinct was to try and add a attribute to each element I want Chosen to use," then I went with  . This fixed it. Possibly fall back to using as the identifier?'""",,,,,,,,,,,,,,,
chosen,41,closed,4,2011-07-22 20:27:16,1033.53,,1,,"b'b"" I\'m just wondering why you would need to track via the id or the name. You\'ve already got the element your dealing with with all events that happen via jQuery. ""'",,,,,,,,,,,,,,,,,
chosen,41,closed,5,2011-07-22 20:27:16,250.57,,,1,"b""b' Ok ID is no longer a required attribute. Thanks. @nerdynick the original reference to the field itself is captured"," but I use ids to help make selects faster on the generated chosen elements.'""",,,,,,,,,,,,,,,,
chosen,41,closed,closed,2011-07-26 19:22:22,1357.88,0,6,1,,,,,,,,,,,,,,,,,,
chosen,41,closed,-,-,-,0,6,1,,,,,,,,,,,,,,,,,,
chosen,42,closed,opened,2011-07-22 21:00:38,,,,,,,,,,,,,,,,,,,,,,
chosen,42,closed,title,2011-07-22 21:00:38,00:00,,1,,"b""b' Update documentation to mention that you need an empty tag for default text to work'""",,,,,,,,,,,,,,,,,
chosen,42,closed,body,2011-07-22 21:00:38,00:00,,,1,"b""b' Related to issue #40: url  I had the same issue yesterday and had to look at your html to figure it out. This should clarify a bit!'""",,,,,,,,,,,,,,,,,
chosen,42,closed,1,2011-07-22 21:00:38,1339.85,,,1,"b'b"" I\'ve addressed the id issue (they are no longer required) so documentation changes are not necessary. Thanks"," though!""'",,,,,,,,,,,,,,,,
chosen,42,closed,closed,2011-07-26 19:20:29,1339.85,0,1,2,,,,,,,,,,,,,,,,,,
chosen,42,closed,2,2011-07-22 21:00:38,14.27,,1,,"b""b' @pfiller This PR was not about the mandatory ID.'""",,,,,,,,,,,,,,,,,
chosen,42,closed,3,2011-07-22 21:00:38,0.07,,1,,"b""b' @pfiller This PR was not about the mandatory ID.'""",,,,,,,,,,,,,,,,,
chosen,42,closed,reopened,2011-07-26 19:43:07,22.63,0,3,2,,,,,,,,,,,,,,,,,,
chosen,42,closed,4,2011-07-22 21:00:38,8.32,,1,,"b'b"" Oh"," you\'re totally right. I got caught up in a fervor of ticket closing activity.""'",,,,,,,,,,,,,,,,
chosen,42,closed,5,2011-07-22 21:00:38,1192.85,,,1,"b'b"" Ok", this pull request is a little dated at this point as we\'ve changed the title paragraph and behavior. I have, however, updated the documentation accordingly (and changed the single select example). Thanks for your help," Benny.""'",,,,,,,,,,,,,
chosen,42,closed,closed,2011-07-29 15:35:59,1192.87,0,4,3,,,,,,,,,,,,,,,,,,
chosen,42,closed,-,-,-,0,4,3,,,,,,,,,,,,,,,,,,
chosen,73,closed,opened,2011-07-26 13:40:13,,,,,,,,,,,,,,,,,,,,,,
chosen,73,closed,title,2011-07-26 13:40:13,00:00,,1,,"b""b' XSS injections vulnerability'""",,,,,,,,,,,,,,,,,
