REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,opened,2010-04-16 22:23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,title,2010-04-16 22:23:48,00:00,,1,,"b""b' Border-image support'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,body,2010-04-16 22:23:48,00:00,,1,,"b'b"" I didn\'t notice when writing my last ticket"," but compass also doesn\'t seem to have\\xe2\\x80\\x94that I could find\\xe2\\x80\\x94support for border-image.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,1,2010-04-16 22:23:48,222.4,,1,,"b""b' on the css3-v2 branch'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,2,2010-04-16 22:23:48,929.35,,1,,"b""b' or not.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,reopened,2011-08-02 17:35:35,1151.78,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,3,2010-04-16 22:23:48,856.02,,1,,"b""b' done: 3d23b36f6397bd01f0c8a6bf14122730aa5e86b3'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,closed,2012-01-02 07:51:34,855.98,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,4,2010-04-16 22:23:48,927.77,1,,,"b""b' IE is a pain in the ass! '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compass,117,closed,-,-,-,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
