REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,
d3,178,closed,opened,2011-06-07 03:38:26,,,,,,,,,,,,
d3,178,closed,title,2011-06-07 03:38:26,00:00,,1,,"b""b' Add d3.'""",,,,,,,
d3,178,closed,body,2011-06-07 03:38:26,00:00,,1,,"b""b' I followed the same pattern as d3 to add a d3 that can interpolate simple shapes like rectangle", ellipse, circle, diamond, gear," drop. More complex shapes can be generated as they are all derived from the Superformula url  You can see a working example here: url '""",,
d3,178,closed,1,2011-06-07 03:38:26,59.65,,,1,"b'b"" Fantastic! I\'d like to restructure this a bit as d3", so that people can customize the various parameters. I\'m imagining something like I\'d still like to support some of the built-in shapes, as you\'ve done. So, you might say something like to override one of the star\'s parameters. It might also be useful to override thetaSteps, though the tweening behavior would be undesirable if thetaSteps changed across transitions. (You could always use the higher of the two values during the transition, then swap to the end value when the transition completes," though.)""'",
d3,178,closed,2,2011-06-07 03:38:26,47.45,,1,,"b'b"" Good idea. But I will need help since I\'m new to javascript. And I think my example using it is poorly coded. Can you give me a better working example using d3?I added some shapes on the commit and on the example. I also added rotation so shapes like the drop"," the butterfly and the heart can be upright. But I have to fix the tweening rotation that occurs between rotated shapes.![Supertween screenshot]url ""'",,,,,,
d3,178,closed,3,2011-06-07 03:38:26,16.07,,1,,b'b\' I took a crack at it here, so you can see what I\\\'m thinking: url  You should be able to sync to your branch like this," assuming you have a remote named ""upstream"" pointing at my repository: I\\\'ll merge in those new symbols you added now.\''",,,,,
d3,178,closed,4,2011-06-07 03:38:26,745.23,,,1,"b""b' Wow"," the code is pretty neat now! Even the shape list is in alphabetical order. I just added rotation (rot) to the parameter. I use a circular shifting on the point list instead of a computed rotation to keep the tweening smooth.'""",,,,,,
d3,178,closed,5,2011-06-07 03:38:26,4.3,,,1,"b'b\' Thanks. :) Do you think the rotation parameter is necessary? We can also say attr(""transform""","rotate(90)"") on the path element, which seems a bit more flexible and simplifies the implementation.\''
d3	178	closed	6	biovisualize	2011-06-07 03:38:26	59.35		+1		b'b"" It\'s just to set the default orientation and to avoid rotation in the tweening. The user could as well ignore it and use rotate(). Don\'t you think?""'
d3	178	closed	closed	 - 	2011-06-08 05:04:18	85.87	0	5	3
d3	178	closed	reopened	 - 	2011-06-11 19:46:22	882.07	0	5	3
d3	178	closed	7	mbostock	2011-06-07 03:38:26	66.65			+1	b""b' Hooray, integrated into master as of release 1.20.1. Thank you!'",,,,,,
d3,178,closed,closed,2011-06-11 20:17:08,30.77,0,5,4,,,,,,,,
d3,178,closed,8,2011-06-07 03:38:26,1429.27,,,1,"b""b' Good job"," thanks a lot!'""",,,,,,
d3,178,closed,-,-,-,0,5,5,,,,,,,,
d3,231,closed,opened,2011-07-22 17:39:17,,,,,,,,,,,,
d3,231,closed,title,2011-07-22 17:39:17,00:00,,1,,"b""b' Improve IE9 compatibility'""",,,,,,,
d3,231,closed,body,2011-07-22 17:39:17,00:00,,,1,"b'b"" This adds simple patches for IE9 support by patching  and creating a simple workaround for {elt}() which IE9doesn\'t support. IE9 does not support {elt}(name",value,priority)but this can be worked around using{elt}.style[name] = value Tested examples/ with this in place and every example I checkedworked in IE9 (specifically, this fixes bar, bullet, albers, force directed graphs,"which don\'t work without the patch). Thanks.""'"
d3,231,closed,1,2011-07-22 17:39:17,29.85,,,1,"b'b"" Nice! Thank you. Minor suggestion", since the value of never changes, you can say: Also, I imagine we\'ll want one for getStyleProperty, too. And ideally," we detect whether this is necessary by inspecting a candidate style object:  ""'",,
d3,231,closed,2,2011-07-22 17:39:17,96.48,,,1,"b""b' Right on to both of you.  The solution I started hacking up yesterday tested for "," which is wanted because IE10 will likely (hopefully) finally support setProperty like the MSDN docs state that it does.  Thanks!'""",,,,,,
d3,231,closed,3,2011-07-22 17:39:17,139.37,,1,,"b'b"" Here are a few improvements"," also looked at ticket #199. Can\'t use since the  is null.""'",,,,,,
d3,231,closed,closed,2011-07-22 22:04:59,265.7,0,2,3,,,,,,,,
d3,231,closed,reopened,2011-07-22 22:07:12,2.22,0,2,3,,,,,,,,
d3,231,closed,4,2011-07-22 17:39:17,2.83,,1,,"b""b' How about  ? Or  ?'""",,,,,,,
d3,231,closed,5,2011-07-22 17:39:17,3.9,,1,,"b'b"" Sure", I\'ll take a look. By the way," did a little more digging and here\'s the set of examples this fixes in IE9.bubble/*box/*cartogram/*-multi-qq/*""'",,,,,
d3,231,closed,closed,2011-07-22 22:11:43,4.52,0,4,3,,,,,,,,
d3,231,closed,reopened,2011-07-22 22:12:03,0.33,0,4,3,,,,,,,,
