REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
devise,666,closed,opened,2010-11-18 12:07:34,,,,,,,,,,,,,,,,,,,,,,,,,,
devise,666,closed,title,2010-11-18 12:07:34,00:00,,1,,"b""b' Added text views to mailers'""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,body,2010-11-18 12:07:34,00:00,,1,,"b'b"" Hi"," I\'ve added text views to the Devise mailers in order to send multipart  emails.""'",,,,,,,,,,,,,,,,,,,,
devise,666,closed,1,2010-11-18 12:07:34,2.1,,,1,"b""b' Thanks mate"," but it needs tests. :)'""",,,,,,,,,,,,,,,,,,,,
devise,666,closed,2,2010-11-18 12:07:34,444.03,,1,,b'b\' @jaimeiniesta, thanks for writing these. I just discovered that my users were getting useless emails with the HTML stripped that would say, for example,"Change my password"" without any link. Devise needs text views for the mailers. These seem quite straight forward. @josevalim, what should the tests test?\''
devise	666	closed	3	josevalim	2010-11-18 12:07:34	68.98		+1		b""b' Hrm, Rails 3 actually now makes very easy to add text views to existing mailers... in any case, maintaining two views is cumbersome. Maybe we should add the merb template handler I mention in my book?'",,,,,,,,,,,,,,,,,,
devise,666,closed,reopened,2011-04-22 20:42:53,515.32,0,4,1,,,,,,,,,,,,,,,,,,,,,,
devise,666,closed,4,2010-11-18 12:07:34,24.77,,1,,"b""b' Point taken about maintaining two views. MERb (Markdown + ERb) seems a little eccentric"," but it would just be for the default views to avoid the problem describe above. Anyone could still make their own * and * views as before.'""",,,,,,,,,,,,,,,,,,,,
devise,666,closed,5,2010-11-18 12:07:34,6.32,,,1,"b""b' I have been using MERb successfully in some projects. But if I am going to open source it"," it definitely needs a better name. :) Why do you think it is eccentric? :D'""",,,,,,,,,,,,,,,,,,,,
devise,666,closed,6,2010-11-18 12:07:34,639.2,,1,,"b""b' @turadg Ping? :)'""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,7,2010-11-18 12:07:34,1102.95,1,,,b'b\' hey," sorry for the slow reply. I didn\\\'t ""eccentric"" pejoratively. :) I just meant it\\\'s a different way of doing things and could lead to some confusion. Since Devise is so popular", that could be multiplied over many people. That said, maintaining two views has has potential for confusion so a single Markdown view is, in my very humble opinion, a good idea. With you on the better name! (especially since Merb is a famous Ruby project already) How about  ?\'',,,,,,,,,,,,,,,,
devise,666,closed,8,2010-11-18 12:07:34,271.82,,,1,"b""b' I love markerb. :)'""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,9,2010-11-18 12:07:34,83.93,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,10,2010-11-18 12:07:34,282.93,,,1,"b'b"" That\'s sound so cool -I can\'t wait to receive your book :)""'",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,11,2010-11-18 12:07:34,355.53,,,1,"b""b' @josevalim"," way to go! That makes it really easy to write one view for emails. How now to get this into Devise? Just add to the Gemfile and turn the * mail views into *.markerb?'""",,,,,,,,,,,,,,,,,,,,
devise,666,closed,12,2010-11-18 12:07:34,3.58,,1,,"b""b' Unsure yet how Devise integration will work. @carlosantoniodasilva pointed that adding markerb would add at least two more dependencies: markerb and redcarpet. Maybe it should be a new generator?'""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,13,2010-11-18 12:07:34,1071.08,,,1,"b'b"" I agree a generator is a good approach", it\'d not add such dependencies to Devise and won\'t force users to install / use it. Besides," we always copy the views to our application and change them.  Just need to be clear in the docs that people have to add to their Gemfiles and use the generator (so we don\'t end up having issues as we had with for instance).""'",,,,,,,,,,,,,,,,,,,
devise,666,closed,14,2010-11-18 12:07:34,1083.22,,1,,"b'b"" What\'s happening with this?""'",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,15,2010-11-18 12:07:34,144.93,,,1,"b""b' There is no progress on this for awhile. Are you interested in tackling the issue?'""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,16,2010-11-18 12:07:34,2.87,,,1,"b""b' Maybe what is the desired functionality exactly? Was the originalrequest fine except for tests?'""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,17,2010-11-18 12:07:34,80.72,,1,,"b'b\' The idea is to have a generator that generates [markerb]url  templates. The generator should likely add a ""markerb"" entry to the Gemfile if one does not exist yet.\''",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,18,2010-11-18 12:07:34,381.73,,1,,"b""b' here is my pull request for this feature : url '""",,,,,,,,,,,,,,,,,,,,,
devise,666,closed,19,2010-11-18 12:07:34,1098.15,,1,,"b""b' Closing this in favor of #1326.'""",,,,,,,,,,,,,,,,,,,,,
