REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,opened,2011-07-01 01:43:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,title,2011-07-01 01:43:37,00:00,,1,,"b""b' install with alias name of package'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,body,2011-07-01 01:43:37,00:00,,1,,"b'b"" I think it will be useful during development of packages if devtools supports installation with the alias name of the package.For example", assuming installing the  develop version of ggplot2 from Hadley\'s github: This is because sometimes I want to use release version, sometimes develop version, and sometimes my own develop version.Currently this is possibly only by re-installing the package.But if the alias name is supported," I will use all of them by simply  ing each alias: Probably this feature will be widely used during development.""'",,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,closed,2011-07-01 01:43:38,0.02,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,reopened,2011-07-01 01:43:46,0.13,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,1,2011-07-01 01:43:37,7.83,,1,,"b""b' Have you looked  ? '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,2,2011-07-01 01:43:37,9.15,,,1,"b""b' I had not", and now I got it, cool :-) Just for others, here is a usege: install: now," dev versiong of ggplot2 is installed in ~/R_dev usage: thanks Hadley and lovely devtools!!'""",,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,closed,2011-07-01 02:00:36,16.83,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,16,closed,-,-,-,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,opened,2011-11-30 23:20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,title,2011-11-30 23:20:59,00:00,,1,,"b""b' load_all handling of imported libraries'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,body,2011-11-30 23:20:59,00:00,,1,,"b""b' It appears to me that the load_all() function does not load libraries that have been imported. This means that I cannot simply call load_all() on my package and expect to run the functions it provides until I explicitly load the imported libraries.  I might expect it to load all imported libraries as well as all the functions defined in the package.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,1,2011-11-30 23:20:59,830.48,,1,,"b""b' I just checked the code and it should be loading both imports and depends packages.  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,2,2011-11-30 23:20:59,213.13,1,,,"b""b' Hmm", working for me too now," not sure what had happened before.  Sorry for not checking more closely first!'""",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,closed,2011-12-06 16:44:36,1043.62,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,reopened,2011-12-06 19:41:00,176.4,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,3,2011-11-30 23:20:59,179.08,,1,,"b""b' Ah", it seems that in one of my packages," @import is correctly adding the import directive to the NAMESPACE but not the DESCRIPTION after I call document() .  Do I need to do something else to make sure this happens?  '""",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,4,2011-11-30 23:20:59,95.12,,1,,"b'b"" Currently the namespace roclet doesn\'t modify  .  It\'s on the to do list. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,closed,2011-12-06 21:18:48,97.8,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,31,closed,-,-,-,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,opened,2011-12-06 16:46:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,title,2011-12-06 16:46:30,00:00,,1,,"b""b' configure files not executable when installing from github'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,body,2011-12-06 16:46:30,00:00,,1,,"b""b' install_github() cannot run the configure file to set up pre-installed C libraries"," etc.  [see stackoverflow question]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,1,2011-12-06 16:46:30,0.92,,1,,"b""b' Reproducible code:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,closed,2011-12-29 16:57:30,11.0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,2,2011-12-06 16:46:30,94.05,1,,,"b'b"" Hmm"," no go for me.  Still complains that configure file is not executable:   Perhaps this is a platform-dependent issue?  I\'m running ubuntu 11.10 with R-2.14.1.  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,3,2011-12-06 16:46:30,1297.37,,1,,b'b\' Don\\\'t know if it helps: on my machine, I have a similar issue (with another package," igraph) as /tmp is a tmpfs mounted with option ""noexec""", which means that files are not executable regardless of the permission. As R uses /tmp by default to unpack and build packages, this caused the error in my case. So I solved executing the following before install: sudo mount -o remount,exec /tmp an alternative would be to tell R to use a different temporary directory but I don\\\'t know how..\'',,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,reopened,2012-06-03 01:49:47,532.28,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,4,2011-12-06 16:46:30,591.88,,1,,"b""b' You can set envars: see  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,5,2011-12-06 16:46:30,1088.17,,1,,"b""b' Works for me which I think means that you need to set to point to a writeable directory.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,closed,2012-06-14 19:58:53,1089.1,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,6,2011-12-06 16:46:30,32.48,,,1,"b""b' cool", works for me.  thanks! On Thu, Jun 14, 2012 at 12:58 PM," hadley wickham <reply@##  Carl BoettigerUC Davisurl '""",,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,7,2011-12-06 16:46:30,1161.77,,1,,"b""b' indeed a cleaner alternative is to set TMPDIR to a different location"," e.g. as documented here:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,32,closed,-,-,-,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,opened,2012-01-13 19:57:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,title,2012-01-13 19:57:26,00:00,,1,,"b""b' Folding roxygen(2) into the install_github() workflow'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,body,2012-01-13 19:57:26,00:00,,,1,"b'b"" It would be nice if there were a way to signal to install_github() that some script should be run before installing", or at least that roxygen should be used to create Rd files and NAMESPACE.  That way," derived files don\'t need to be kept in the repository.""'",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,1,2012-01-13 19:57:26,1083.62,,1,,"b""b' How about having a file called in the root directory of the package?  It would be  d on install.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,2,2012-01-13 19:57:26,9.17,,,1,"b""b' Sounds like a good solution to me.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,3,2012-01-13 19:57:26,1.47,,1,,"b""b' Actually"," I think it would have to be and it would be run prior to build.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,closed,2012-02-23 14:12:05,1094.65,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,reopened,2012-02-23 14:12:08,0.05,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,4,2012-01-13 19:57:26,1.08,,1,,"b'b"" No", scratch that," because then that would cause problems when you\'re working on local projects.""'",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,5,2012-01-13 19:57:26,4.52,,1,,"b""b' I think my main question is whether this script should run for both and local and remote installs", or just remote.  If just remote," it may need a slightly different name.'""",,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,6,2012-01-13 19:57:26,5.82,,1,,"b""b' Or is that better to do in a make file?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,7,2012-01-13 19:57:26,114.87,1,,,"b""b' The trouble with a Makefile is that it requires users to know one more thing.  It would be nicer if it were an R file.  Anyone making an R package will know how an R file works.  They may or may not know how to build a sane Makefile.  Besides", the things that one is likely to want to do are R-ish (like running roxygen). But if a Makefile is the simplest way, it will likely solve my problems. But I suppose this is pretty low priority, since having the Rd files in the repository is not so terrible.  (And as a side effect," it reminds you which documentation has changed when you do your commits.)'""",,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,8,2012-01-13 19:57:26,1348.43,,1,,"b'b"" I think I\'m going to close this issue it\'s relatively low priority and I think should probably be solved server side with better systems for automated building of R packages.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,closed,2012-06-14 14:46:25,34.28,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,9,2012-01-13 19:57:26,66.07,1,,,"b'b"" Maintaining those files in parallel is a real pain", especially when working on repositories that are roxygenized with a not-so-up-to-date version of  . May I suggest reconsidering this? To trigger this, we could use a mechanism similar to that employed by to indicate if wrapping is enabled: or something along these lines. What\'s wrong with creating documentation during  from  ? The following _seems_ to work for me: Source: url  (The and files might be an issue," not sure if these get updated. But the files seem to be generated and installed properly.)""'",,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,10,2012-01-13 19:57:26,75.7,,1,,"b'b"" 1. I\'m not convinced this problem shouldn\'t be solved by providing built packages from the build system (e.g. travis). Then existing tools take care of making sure the correct versions of build-time dependencies are installed.2. Can\'t rely on makefiles because many users won\'t have make. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,11,2012-01-13 19:57:26,208.13,,,1,"b""b' Thanks for your feedback.1. In an ideal world", yes. But these services tend to be even more difficult to set up (e.g., private key to the repo to push back to). Also," currently this would work only for GitHub and only for Travis CI.2. A Windows user who wants to install from source needs Rtools -'""",,,,,,,,,,,,,,,,,,,,,,,,
devtools,43,closed,12,2012-01-13 19:57:26,221.07,1,,,"b'b"" 1. Yes", those tools are a pain currently, but I think that\'s the right approach to the problem. If, for example, r-forge was actually a distributed R build server, we probably wouldn\'t be having this conversation.2. A window user installing a package without compiled code does not currently need Rtools," and so does not have make. Also not sure if available on the OS X command line without installing the xcode command line tools.""'",,,,,,,,,,,,,,,,,,,,,
