REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,opened,2011-03-20 12:25:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,title,2011-03-20 12:25:29,00:00,,1,,"b""b' Malayalam localization'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,body,2011-03-20 12:25:29,00:00,,1,,"b""b' Hai", I am Anish A, member of Swatantra Malayalam Computing team,"a voluntary organization to promote usage of Malayalam languagein computing through free software. We are translating diaspora to Malayalam.The task is listed here : url  This is the partial translation. Please update it in diaspora so that we can test while translating.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,1,2011-03-20 12:25:29,315.22,,,1,"b'b"" hey you added an inflections definition but don\'t use the inflection helpers anywhere", that confuses me a bit\\xe2\\x80\\xa6Anyway I pulled in the other changes via the latest locales update," Thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,2,2011-03-20 12:25:29,5.18,,1,,"b""b' Actually"," I am unaware of what inflections and inflection helpers. I simply translated and replaced it with equivalent words in my language. Can you explain?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,3,2011-03-20 12:25:29,12.18,,1,,"b'b"" They are  by this url  gem", in some languages you differently express the same thing depending on the gender of the subject or the one talked to. This makes it possible," If your language don\'t need this just ignore it ;). ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,closed,2011-03-20 17:58:04,332.58,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,4,2011-03-20 12:25:29,23.27,,1,,"b""b' ok. I will use them in future"," and leave it as it is for other translators to use.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,reopened,2011-05-02 03:47:25,589.35,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,5,2011-03-20 12:25:29,566.45,,1,,"b""b' New changes on my master branch. please pull'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,6,2011-03-20 12:25:29,765.72,,1,,"b'b"" Carefully reread url  if you decide to take care and handle the translation outside 99translation please update this branch"," atm it\'s not mergable url  I ask you again: Is Malayam a higly inlected language (one that has different expressions depending on the gender of the person talked )? If not just ignore the inflections/ directory completely.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,7,2011-03-20 12:25:29,580.98,,1,,"b'b"" The Malayalam is a highly inflected language. But at this point of time", we don\'t know to use the inflections. Anyway we will be using that when we fine tune it after completing. Sorry," I accidentally deleted the branch and committed all in master branch. what to do now?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,8,2011-03-20 12:25:29,665.4,,,1,b'b\' Okay you\\\'re on the right path," now update your new branch with git checkout master; git remote add upstream git:// (if not already); git pull upstream master; git checkout malayalam-localization; git rebase master; git push -f; and then just change the branch of this pull request or make a new one from your new branch. I still need a definitive answer if you now want to handle Malayalam outside of 99translations. If so please add yourself to the ""Languages handled outside of 99translations"" list at url Thanks!\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,9,2011-03-20 12:25:29,951.68,,1,,"b""b' Issued a new pull request after doing all above.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,closed,2011-05-05 05:11:34,84.15,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,622,closed,-,-,-,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,624,closed,opened,2011-03-27 08:42:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,624,closed,title,2011-03-27 08:42:30,00:00,,1,,"b""b' 972-all-aspects-spelling'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
