REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,opened,2010-01-25 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,title,2010-01-25 18:24:56,00:00,,1,,"b""b' CMS_TEMPLATE_INHERITANCE_MAGIC is not documented'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,body,2010-01-25 18:24:56,00:00,,1,,"b'b""  CMS_TEMPLATE_INHERITANCE_MAGIC = \'INHERIT\' from ../ isn\'t documented anywhere is it?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,1,2010-01-25 18:24:56,998.47,,1,,"b""b' closed by 79332cb07d19aa579c41c06d0cc0b29fe1af1d61"," CMS_TEMPLATE_INHERITANCE docs'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,2,2010-01-25 18:24:56,313.83,1,,,"b""b' Weirdly"," this seems to have disappeared once more from the documents. It must be unloved.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,reopened,2013-01-16 16:17:14,1312.3,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,3,2010-01-25 18:24:56,552.93,,1,,"b""b'   no loner exists"," and is now a constant documented at url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,closed,2013-03-19 01:30:10,552.93,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,334,closed,-,-,-,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,opened,2010-04-08 14:51:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,title,2010-04-08 14:51:37,00:00,,1,,"b""b' [bug] get_formsets may not drop inlines'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,body,2010-04-08 14:51:37,00:00,1,,,"b'b"" looking at url  you are returning (if the user doesn\'t have the permissions) less inlines than you should. The add_view shows you the problem: url  if you remove Inlines from get_formsets zip won\'t be able to connect the Formset with the inline any longer; which might?! result in data loss (If you change the queryset method on the inline). Prefered solution would be to get a get_formsets_with_inlines method into django 1.3 so we can return the correct formsets along with their inlines\\xe2\\x80\\xa6""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,1,2010-04-08 14:51:37,1354.48,,1,,"b'b"" closed because we can\'t reproduce or fully understand what the issue should be here""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,reopened,2011-06-13 13:00:10,1328.55,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,2,2010-04-08 14:51:37,1414.68,,1,,"b'b"" reopened", this could possibly cause issues," but unless someone actually reports an issue we\'ll keep this on very low priority.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,418,closed,3,2010-04-08 14:51:37,1436.35,,1,,"b'b"" In the project that I\'m working on", the  class has been extended and an additional custom inline has been added to the list of inlines. The above problem can indeed happen when the logged-in user is not allowed to change page permissions. This causes PagePermissionInlineAdmin to be dropped which means the variables  and formsets in the following line no longer have the same length: which is at  . To be precise, the variables then have the following values: The second inline / formset (i.e.," our addition) should show up but in no longer does due to the fact that PagePermissionInlineAdmin has been dropped.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
