REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,opened,2011-03-10 02:58:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,title,2011-03-10 02:58:23,00:00,1,,,"b'b\' Using DDT with IE over HTTPS causes ""Insecure Items"" error popup. Fix attached.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,body,2011-03-10 02:58:23,00:00,1,,,b'b\' There is a problem using DDT with IE over HTTPS. It would appear that IE has a bitch fit when using .append()," and gives an ""insecure resources"" warning (wtf?! lol). To fix this", you have to change line 17 of : Replace that with: I request that this fix is put up for consideration in the next release.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,1,2011-03-10 02:58:23,780.6,,1,,"b'b"" I\'m reviewing this against the change that was made in commit e25a6b.  jQuery\'s append method ultimately calls appendChild I believe"," so it seems like what currently is there is an indirect way of doing what you\'re doing in direct JS?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,2,2011-03-10 02:58:23,1247.38,,,1,b'b\' I\\\'m not entirely sure, without reviewing the jQuery code. But what I can say, is that for whatever reason, this replacement works, where as the original code does not (even though the original code should work). Technically, jQuery devs should fix this issue, but that would take ages," and they would probably just document it as ""expected behaviour"" lol. So", fixing it in this code would be faster, surely.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,closed,2011-04-11 12:46:22,587.98,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,reopened,2011-04-11 12:46:33,0.18,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,3,2011-03-10 02:58:23,0.35,1,,,"b'b"" Oops sorry"," didn\'t mean to close it!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,4,2011-03-10 02:58:23,1123.52,,1,,"b'b"" I believe now that we\'re embedding all media this no longer applies. Please reopen if it\'s still a problem.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-debug-toolbar,145,closed,closed,2011-05-10 07:30:15,1123.7,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
