REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,
django,13,closed,opened,2012-04-28 19:48:22,,,,,,,,,,,,,,,,,,,,,,
django,13,closed,title,2012-04-28 19:48:22,00:00,,1,,"b""b' i18n javascript_catalog View Pollutes Global Namespace'""",,,,,,,,,,,,,,,,,
django,13,closed,body,2012-04-28 19:48:22,00:00,,1,,"b""b' This pull request corresponds to [Trac Ticket number 18231]url '""",,,,,,,,,,,,,,,,,
django,13,closed,1,2012-04-28 19:48:22,1095.37,,1,,"b""b' @matthewwithanm Does this have any backward compat issues? Eg if someone used this global scope vars?'""",,,,,,,,,,,,,,,,,
django,13,closed,2,2012-04-28 19:48:22,11.67,,1,,"b'b"" Yeah", this creates the and dictionaries in IIFEs," so they aren\'t global anymore.""'",,,,,,,,,,,,,,,
django,13,closed,3,2012-04-28 19:48:22,1.08,,,1,"b""b' Hmm I guess we could provide a deprecation path for that"," but who reads js warnings?!'""",,,,,,,,,,,,,,,,
django,13,closed,4,2012-04-28 19:48:22,402.62,1,,,"b""b' What do you think about the following idea: make all the generated javascript to be a string with django template syntax? That would allow us not to worry about indentation changes.'""",,,,,,,,,,,,,,,,,
django,13,closed,5,2012-04-28 19:48:22,112.9,,1,,"b'b"" I\'m very in favor of that. I think it would also make the JS much more maintainable. I would\'ve done that with the initial PR but thought it might be too drastic a change.""'",,,,,,,,,,,,,,,,,
django,13,closed,6,2012-04-28 19:48:22,548.13,,1,,"b""b' That would definitely help"," @jezdez any objections?'""",,,,,,,,,,,,,,,,
django,13,closed,7,2012-04-28 19:48:22,450.48,,1,,"b'b"" I\'m getting ready to embark on a weeklong trip", but if there aren\'t any objections in the meantime, I\'ll knock this out afterwards," before DjangoCon. I\'ll also update the dict creation to use object literals instead of repeated assignment.""'",,,,,,,,,,,,,,
django,13,closed,8,2012-04-28 19:48:22,346.93,,,1,"b'b\' This PR is stale; since our triage options on GitHub are limited to ""open"" or ""closed"" I\\\'m going to close it. Please re-open if you have a chance to update it. If no one reviews it", write to the django-developers mailing list. Thanks!\'',,,,,,,,,,,,,,,,
django,13,closed,closed,2013-02-01 21:17:33,89.18,1,7,2,,,,,,,,,,,,,,,,,,
django,13,closed,9,2012-04-28 19:48:22,234.48,,1,,"b'b"" @aaugustin I\'ve [rebased these commits]url  onto the current master", however, I don\'t have permissions to re-open this issue and, unless the issue is open, I can\'t update the pull request. I believe if you reopen the issue I can force push to this branch and GitHub will update the PR. Alternatively," I can open a new PR if you\'d rather.""'",,,,,,,,,,,,
django,13,closed,reopened,2013-02-02 09:52:34,755.02,1,8,2,,,,,,,,,,,,,,,,,,
django,13,closed,10,2012-04-28 19:48:22,520.95,,1,,"b""b' I thought you could re-open a PR simply by pushing new commits :/'""",,,,,,,,,,,,,,,,,
django,13,closed,11,2012-04-28 19:48:22,619.98,,1,,"b""b' No problem. There they be (:'""",,,,,,,,,,,,,,,,,
django,13,closed,12,2012-04-28 19:48:22,1065.88,,1,,"b""b' I think using the namespace like we do in the admin makes sense for this.'""",,,,,,,,,,,,,,,,,
django,13,closed,13,2012-04-28 19:48:22,192.33,,,1,"b'b"" @jezdez Sounds good. 952f32a makes that change and 95b1fe3 updates the other creation of the django namespace so as not to clobber it if it already exists. (I think that\'s the only place it\'s created?) Note that I\'m not exporting the catalog or format dictionaries to the global namespace but we could if we wanted to preserve backwards compatibility. (Since the functions are using the namespaced versions"," they would still continue to work if somebody overwrote the global reference.)""'",,,,,,,,,,,,,,,,
django,13,closed,14,2012-04-28 19:48:22,1327.85,,1,,"b""b' @ramiro Let me know if anything is missing.'""",,,,,,,,,,,,,,,,,
django,13,closed,15,2012-04-28 19:48:22,740.15,,,1,"b'b"" @matthewwithanm I\'ve reviewed the PR and it\'s in good  commit RSN after some i18n problems in master are settled so I can test the changes in isolation and ask for opinions from a couple  of devs experienced on i18n. Thanks for a great job.""'",,,,,,,,,,,,,,,,,
django,13,closed,16,2012-04-28 19:48:22,601.97,,,1,"b""b' No problem; thanks for reviewing!'""",,,,,,,,,,,,,,,,,
django,13,closed,17,2012-04-28 19:48:22,443.02,,,1,"b""b' Fixed in a506b6981bc48caec30bca3de94d2ac3e6fc1660. Thanks!'""",,,,,,,,,,,,,,,,,
django,13,closed,closed,2013-04-14 21:04:10,671.6,1,12,6,,,,,,,,,,,,,,,,,,
django,13,closed,-,-,-,1,12,6,,,,,,,,,,,,,,,,,,
django,46,closed,opened,2012-05-05 12:12:58,,,,,,,,,,,,,,,,,,,,,,
django,46,closed,title,2012-05-05 12:12:58,00:00,,1,,"b""b' Ticket #14030 Refactor Aggregate to use ExpressionNodes'""",,,,,,,,,,,,,,,,,
django,46,closed,body,2012-05-05 12:12:58,00:00,,1,,"b""b' This patch refactors Aggregate into ExpressionNode", allowing for total composability of the two. My original announcement was in this email to the developers list," and more detail can be found there: url '""",,,,,,,,,,,,,,,
django,46,closed,1,2012-05-05 12:12:58,39.73,,,1,"b'b"" If you want this pulled in you should rework the commit history (git rebase -i HEAD~29). We will not pull all those commits into django\'s repo. Aim for logical commits", and a commit history where the tests pass after each commit. It seems this patch could be squashed to one, or maybe 2-3 commits. Another option is to let the committers do the squashing (ie, they will do a git merge squash of your work). It is of course nicer for committers if you do this work for us... It makes reviewing easier, and the easier the reviewing is, the better the chances of getting this in. I really hope we will get something along the lines of this pull request into 1.5 the feature is useful, but so is reworking the aggregate support to better reuse the expression nodes. So," the silence doesn\'t mean we are against this patch just that we are too busy to deal with such a large patch.""'",,,,,,,,,,
django,46,closed,2,2012-05-05 12:12:58,444.62,,1,,"b""b' After considering it for a little bit", I figured it would make the most sense just to rebase it into a single commit. However, just in case it would ease review in any way," I made [a backup full-history copy]url '""",,,,,,,,,,,,,,
django,46,closed,3,2012-05-05 12:12:58,1390.83,,1,,"b'b"" At this point I think it would be best to first rework the ORM internals to better shape. This should include SQLExpression", SQLEvaluator and the . I definitely think there is a lot of potential in your patch, but the existing implementation has just gotten too messy. I just can\'t wrap my head around all the complexities of the current implementation, and thus I don\'t feel comfortable adding more possible complexities. Note that my rejection is not about your patch, it\'s about the existing stuff in Django needing cleanup first. The idea of using SQLExpressions in aggregates is definitely a good idea. Your work looked good to me. I will close this pull request for now. I would hope to get the SQLExpression into such a state that basing the aggregate on expression should be much more straightforward to do. If it turns out that the implementation is already as simple as it will get," then lets reopen this pull request.""'",,,,,,,,,,,,
django,46,closed,closed,2012-05-24 19:28:09,435.18,0,4,1,,,,,,,,,,,,,,,,,,
django,46,closed,4,2012-05-05 12:12:58,1255.32,,1,,"b'b"" Even if the ORM hasn\'t been cleaned up IMO it is time to just work this into master. I am not sure if reopening this pull request is the best way forward... But doing that in any case.""'",,,,,,,,,,,,,,,,,
django,46,closed,reopened,2012-11-28 16:23:28,1255.32,0,5,1,,,,,,,,,,,,,,,,,,
django,46,closed,5,2012-05-05 12:12:58,254.15,,1,,"b'b"" I\'m anxiously waiting for this to be get in so that we can work on way forward for ticket #11305. I personally feel this is a major improvement"," particularly for use cases involving large  databases like the one I\'m  working on currently.""'",,,,,,,,,,,,,,,,
django,46,closed,6,2012-05-05 12:12:58,1041.53,,,1,"b'b"" I\'m very excited about this as well (esp"," pertaining to its application in accounting and commerce software). I will help test this out immediately after it makes it into master.""'",,,,,,,,,,,,,,,,
django,46,closed,7,2012-05-05 12:12:58,440.62,,1,,"b""b' @akaariai This PR no longer applies. Do you still wish to keep it open? Or is the Trac ticket enough?'""",,,,,,,,,,,,,,,,,
django,46,closed,closed,2013-02-01 21:19:46,296.3,0,7,2,,,,,,,,,,,,,,,,,,
django,46,closed,8,2012-05-05 12:12:58,549.2,1,,,"b'b"" @aaugustin May I ask why this PR no longer applies? Has a different direction been taken? I\'m looking into how the ORM works", in detail, with the aim of trying to improve aggregate support (and, potentially, things like user-built expressions as suggested in #11305). Traction on #14030 seems to have stalled, and I can\'t find any information about the ticket since this PR was closed. @akaariai has mentioned some concerns about the internals of the ORM that should be cleaned up (ideally) before accepting this patch perhaps there\'s been some progress made," or a direction chosen?""'",,,,,,,,,,,
django,46,closed,9,2012-05-05 12:12:58,678.78,,1,,"b'b"" I doesn\'t apply cleanly to master because of changes that happened in master since it was created.""'",,,,,,,,,,,,,,,,,
django,46,closed,-,-,-,1,8,2,,,,,,,,,,,,,,,,,,
django,134,closed,opened,2012-06-08 10:03:04,,,,,,,,,,,,,,,,,,,,,,
django,134,closed,title,2012-06-08 10:03:04,00:00,,1,,"b""b' Fixed #17869 security improvement to RemoteUserMiddleware'""",,,,,,,,,,,,,,,,,
django,134,closed,body,2012-06-08 10:03:04,00:00,,1,,"b""b' (On behalf of Paul McMillan) this is a minor security fix so it should be backported to 1.4 Fixed #17869RemoteUserMiddleware forces logout when REMOTE_USER header disappears during a same browser session.Added a test"," and documentation for the 1.4.1 release.'""",,,,,,,,,,,,,,,,
django,134,closed,1,2012-06-08 10:03:04,38.53,,1,,"b""b' The changelog entry needs to be in  "," too.'""",,,,,,,,,,,,,,,,
django,134,closed,2,2012-06-08 10:03:04,28.33,,1,,"b""b' Added changelog entry to 1.5.txt.'""",,,,,,,,,,,,,,,,,
django,134,closed,closed,2012-09-09 20:02:48,599.73,0,4,0,,,,,,,,,,,,,,,,,,
django,134,closed,reopened,2012-09-09 20:02:58,0.17,0,4,0,,,,,,,,,,,,,,,,,,
django,134,closed,closed,2012-09-09 20:03:05,0.12,0,4,0,,,,,,,,,,,,,,,,,,
django,134,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,
django,144,closed,opened,2012-06-08 15:40:54,,,,,,,,,,,,,,,,,,,,,,
django,144,closed,title,2012-06-08 15:40:54,00:00,,1,,"b""b' #18451 Improved class based view documentation'""",,,,,,,,,,,,,,,,,
django,144,closed,body,2012-06-08 15:40:54,00:00,,1,,"b'b"" For url  Ref Improvements:Documentation moved to /-based-views/ directory.Method Resolution Order (MRO) on most views.Method flowchart added to many views.Mixins moved to their own pages.Mixins demonstrate which other Mixins they extend.Autodoc added to all views and mixins.  Because the Django code does always not contain docstrings", or it is not complete," there remains in many cases the old manual documentation.  \'Note\' statements placed whenever autodoc is in addition to manual documentation. Topic Improvements:Documentation moved to /-based-views/ directory.Cleaner explanation including additional examples.More examples.Mixins moved to their own pages.Very clean mixin documentation with advocacy for best practices. Authors:Daniel GreenfeldJames AylettMarc TamlynSimon Williams""'",,,,,,,,,,,,,,,
django,144,closed,1,2012-06-08 15:40:54,26.02,1,,,"b'b"" Filling in some discussion from IRC: I think this should nix the use of  . isn\'t used in Django\'s docs deliberately: it prevents translation (which we _want_ to do", despite have not done it...) and it can cause the docs to be hard to build (since it means they have to be able to  , risking the dreaded error). Instead," I\'d like to see this use the [include directive]url  to avoid repetition.""'",,,,,,,,,,,,,,
django,144,closed,2,2012-06-08 15:40:54,233.47,,1,,"b'b"" More updates from me can be found here: url  When @pydanny has accepted them they\'ll appear here.""'",,,,,,,,,,,,,,,,,
