REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,
finagle,91,closed,opened,2012-06-27 16:16:57,,,,,,,,,,,,,,,,,,,,,,,
finagle,91,closed,title,2012-06-27 16:16:57,00:00,,1,,"b""b' finagle-protobuf '""",,,,,,,,,,,,,,,,,,
finagle,91,closed,body,2012-06-27 16:16:57,00:00,,1,,"b""b' We made a couple of improvements based on our experience using the protobuf based RPC in production.'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,1,2012-06-27 16:16:57,930.9,,1,,"b'b"" hey George\\xe2\\x80\\x94I\'m currently on vacation and will have a look when I get back (in ~1 week)""'",,,,,,,,,,,,,,,,,,
finagle,91,closed,2,2012-06-27 16:16:57,145.93,,,1,b'b\' Hey Marius," I noticed one of your comments in the finagle-protobuf module""finagle-protobuf:kill POM; seems "".We have been using this protocol in production for months", and it has beenworking great for us and we did not need to make any updates. The one thing I will need to add is a better wiki page. George On Fri, Jul 6, 2012 at 1:47 AM, marius a. eriksen <reply@\'',,,,,,,,,,,,,
finagle,91,closed,3,2012-06-27 16:16:57,327.25,,,1,b'b\' I think I was referring to the POM :-) My chief objection to making finagle-protobuf truly first class at this point is that I\\\'d really like to separate the encoding from the protocol. There are some upcoming changes in which will make it a very appealing (and generic) RPC transport, upon which we can use protocol buffers, thrift," whatever. I\\\'ll probably factor that out into something called ""finagle-rpc""\''",,,,,,,,,,,,,,,
finagle,91,closed,4,2012-06-27 16:16:57,10.25,,,1,"b'b"" Hi Marius", What\'s the status of your efforts around generalizing finagle-thrift ( i.e. finagle-rpc )? Thanks,"Mark""'",,,,,,,,,,,,,,,,
finagle,91,closed,5,2012-06-27 16:16:57,336.37,,1,,"b""b' This is done: [finagle-mux]url  As an example of adapting Mux to Thrift"," see [finagle-thriftmux]url '""",,,,,,,,,,,,,,,,,
finagle,91,closed,6,2012-06-27 16:16:57,1077.93,,,1,"b""b' @george-vacariuc how do you feel about closing this", and porting just the serialization code to use Mux instead? I promise," it is much better.'""",,,,,,,,,,,,,,,,
finagle,91,closed,7,2012-06-27 16:16:57,89.5,,,1,"b""b' @mariusaeriksen we definitely want to keep in step with the framework"," let me see how I can slip this into our backlog. Thanks for the heads up.'""",,,,,,,,,,,,,,,,,
finagle,91,closed,8,2012-06-27 16:16:57,62.37,,1,,"b""b' @george-vacariuc any update on porting this to mux?'""",,,,,,,,,,,,,,,,,,
finagle,91,closed,9,2012-06-27 16:16:57,554.18,1,,,"b""b' @mosesn unfortunately", at this time," I do not have the bandwidth to do the porting.'""",,,,,,,,,,,,,,,,
finagle,91,closed,10,2012-06-27 16:16:57,214.83,,,1,"b""b' ok"," keep us posted.  thanks!'""",,,,,,,,,,,,,,,,,
