REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,opened,2014-10-01 12:56:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,title,2014-10-01 12:56:22,00:00,,1,,"b""b' Possibility of supporting Folly on Mac OS X?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,body,2014-10-01 12:56:22,00:00,,,1,"b""b' Currently there are some non-portable items that breaks the build in HHVM"," Just wondering the possibility of the Mac OS X fix and the PR you intend to receive. Thanks!  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,1,2014-10-01 12:56:22,23.63,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,2,2014-10-01 12:56:22,187.5,,1,,"b'b"" Hi @craigcarnell ", this is related to #86," but I think it can\'t answer this question. The PR that will be accepted is what I want to know.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,3,2014-10-01 12:56:22,123.25,,,1,"b'b"" Thank you for reporting this issue and appreciate your patience. We\'ve  notified the core team for an update on this issue. We\'re looking for a response within the next 30 days or the issue may be closed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,4,2014-10-01 12:56:22,24.57,,,1,"b'b"" Thank you for your patience. We\'re going to close out this issue. If you\'re still experiencing the problem described"," please reopen the issue thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,closed,2015-06-04 18:55:20,358.97,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,5,2014-10-01 12:56:22,1395.73,1,,,"b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed"," and am re-opening it.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,93,closed,reopened,2015-06-05 18:11:03,1395.72,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
