REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,opened,2011-12-10 00:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,title,2011-12-10 00:07:00,00:00,,1,,"b""b' Nav bar above Orbit'""",,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,body,2011-12-10 00:07:00,00:00,1,,,"b'b"" Hello", The addition of the nav bar is very nice.  Thanks for that. Currently I\'m running into Ye Dreaded Z-Index IE7 bug when having a nav-bar placed above an Orbit slider.  I\'ve tried numerous css changes to get this working as outline on StackOverflow as well as the jQuery route as well," but without any luck. Any thoughts about how to get this working? Thank you. ...brent""'",,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,1,2011-12-10 00:07:00,1189.63,,1,,"b""b' Resolved by increasing z-index for nav overall for all browsers"," and adding z-index to wrapping element for IE7:  '""",,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,closed,2011-12-10 19:58:11,1191.18,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,reopened,2011-12-10 19:58:54,0.72,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,2,2011-12-10 00:07:00,2.57,,1,,"b'b"" I\'ll let you guys close this out incase you want to include these.""'",,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,3,2011-12-10 00:07:00,1233.98,,,1,"b'b"" We\'ll close it for now that\'s a good fix for IE7"," we\'ll tag this FAQ and direct issues here. Thanks!""'",,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,closed,2011-12-13 16:33:11,1234.28,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,154,closed,-,-,-,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,opened,2012-01-13 22:44:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,title,2012-01-13 22:44:06,00:00,,1,,"b""b' Orbit showing all slides concurrently'""",,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,body,2012-01-13 22:44:06,00:00,,,1,b'b\' The awesome Foundation library has been added to the wonderful Root\\\'s Wordpress framework (I\\\'m sure some WP gurus already knew that though). I am working on a new design and really like the Orbit slider so I decided to use it in my first attempt at laying out the design. I have been fighting with this for a few days and have been unsuccessful in my attempts to solve the issue. My slider loads, slides are shown, slide controls (left, right) are both shown and function along with the slide timer. My issue is ALL slides show concurrently. The reason I know they are running concurrent is all my slides are transparent and you can see all of them. I have read through the Orbit documentation about 26 times now and can\\\'t pinpoint my trouble. When I leave the following code within the  tags, all elements of Orbit load, except the slides:   $(window).load(function() {    $(\\\'#front-slide\\\').orbit();  });  When I add the code below into , Orbit loads along with the slides but this is when they are all displayed together. Rotation IS happening," but image number one isn\\\'t being hidden when image two is displayed. $(\\\'#front-slide\\\').orbit(); Here is my slider code (I removed the  so it\\\'ll display as I\\\'m not sure if there are any short tags to do this... div class=""row""  div id=""front-slide""  a img src=""/"" alt=""Slider 01""  /a  a img src=""/"" alt=""Slider 02""  /a  /div  /div Could this be a CSS-conflict causing this?\''",,,,,,,,,,,,,,,,
foundation-sites,228,closed,1,2012-01-13 22:44:06,1124.62,,1,,"b'b"" I have tested different browsers and operating systems and the slider behaves the same regardless of OS and browser. At this point"," I\'m not real sure what is causing Orbit to display all slides at the same time without hiding the inactive slide(s).""'",,,,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,2,2012-01-13 22:44:06,7.68,,1,,"b""b' I have the same issue.It seems that the orbit plugin is not changing the positions of each slide when on initialization.'""",,,,,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,3,2012-01-13 22:44:06,46.48,,1,,"b'b"" It does at least on mine rotate through", the image on the back will be brought to the front position, so the rotation is happening, just as slide one is going out and slide two is coming in," slide one never leaves and sits behind slide 2 (all of my slides have large transparent areas). I\'m going to try putting a div tag around the class=row to see if defining it as block and positioning as relative or absolute will cause it to act differently.  Surely we are not the only two people who have run into this issue?""'",,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,4,2012-01-13 22:44:06,208.72,1,,,"b'b"" I also forgot to mention another plaguing issue that has been since the start", the loading circle never goes away, just doing it\'s thing the entire time. I have not been able to resolve it. I tried adding a solid-color background in the div container that houses the slider to see if perhaps that was the cause. Unfortunately," the same issue continued... ""'",,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,5,2012-01-13 22:44:06,3.77,,,1,"b'b"" Could you link up a page where we can see what\'s going on? Orbit is a tricky beast sometimes"," and it\'s much easier for us if we can see the issue in question. Thanks!""'",,,,,,,,,,,,,,,,,,,,,,
foundation-sites,228,closed,6,2012-01-13 22:44:06,1421.92,1,,,"b'b"" Hi there", I\'m not positive this is the same issue, but I can explain one way this can happen. When the animation option is set to \'fade\', the block of code [beginning at line 451 of the orbit js file]url sets the **current** slide\'s opacity to zero and then animates it back to 1 (as well as setting the z-index value to 3): There are exactly two occurrences of the word \'opacity\' in that file, both in the referenced conditional block. This means that all slides but the current slide _always have their opacity set to 1_.  When I inspect the running slider in Firebug etc, this is exactly what I seea series of slides, all of which have a style attribute containing \'opacity: 1\'. What\'s more, with the \'fade\' animation, all the slides occupy the same area on the screen (i.e. they\'re stacked, one on top of the other). This in turn means that, unless there is a background colour or background image on the slide, or unless the img element occupies the entire area of the slide, other slides _must_ be visible behind the current one. I don\'t have a remotely-accessible version, and I haven\'t yet tried to roll a patch, but I\'d start with something like thisI think it\'ll work because jQuery will start the first animate call," then move on to the next before the first is complete: It\'s likely more efficient to choose the elements to animate to transparency from this.$slides (i.e. instead of doing another collection from scratch); this is just something you might consider testing. Let me know if I can provide further info.""'",,,,,,,,
foundation-sites,228,closed,7,2012-01-13 22:44:06,975.47,,,1,"b'b"" ChrisThank you for your assistance and input! I\'ll try what you suggested and see how it works.""'",,,,,,,,,,,,,,,,,,,,,,,
