REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,
gitlabhq,40,closed,opened,2011-10-18 11:14:42,,,,,,,,,,,,,,,,,,,,,
gitlabhq,40,closed,title,2011-10-18 11:14:42,00:00,,1,,"b""b' Increase max key length. Some keys has comment after key string.'""",,,,,,,,,,,,,,,,
gitlabhq,40,closed,body,2011-10-18 11:14:42,00:00,,1,,"b""b' Discussed in #33 issue.'""",,,,,,,,,,,,,,,,
gitlabhq,40,closed,1,2011-10-18 11:14:42,496.17,,,1,"b""b' Thanks for your work. '""",,,,,,,,,,,,,,,,
gitlabhq,40,closed,2,2011-10-18 11:14:42,52.47,,,1,"b""b' fixed. Thanks.'""",,,,,,,,,,,,,,,,
gitlabhq,40,closed,closed,2011-10-18 20:23:20,548.63,0,2,2,,,,,,,,,,,,,,,,,
gitlabhq,40,closed,3,2011-10-18 11:14:42,101.47,,1,,"b'b"" But you don\'t merge this fix.""'",,,,,,,,,,,,,,,,
gitlabhq,40,closed,reopened,2011-10-19 06:29:32,606.2,0,3,2,,,,,,,,,,,,,,,,,
gitlabhq,40,closed,closed,2011-10-19 06:30:06,0.57,0,3,2,,,,,,,,,,,,,,,,,
gitlabhq,40,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,
gitlabhq,51,closed,opened,2011-10-21 10:30:18,,,,,,,,,,,,,,,,,,,,,
gitlabhq,51,closed,title,2011-10-21 10:30:18,00:00,,1,,"b""b' Use GitHub flavored markdown'""",,,,,,,,,,,,,,,,
gitlabhq,51,closed,1,2011-10-21 10:30:18,704.9,,1,,"b""b' \\xd0\\xa0\\xd0\\xb5\\xd0\\xb1\\xd1\\x8f\\xd1\\x82", \\xd0\\xb7\\xd0\\xb0\\xd0\\xb4\\xd0\\xbe\\xd0\\xbb\\xd0\\xb1\\xd0\\xb0\\xd0\\xbb\\xd0\\xb8 \\xd1\\x81\\xd0\\xbe \\xd1\\x81\\xd0\\xb2\\xd0\\xbe\\xd0\\xb5\\xd0\\xb9 \\xd1\\x81\\xd0\\xba\\xd1\\x80\\xd1\\x8b\\xd1\\x82\\xd0\\xbe\\xd0\\xb9 \\xd1\\x80\\xd0\\xb0\\xd0\\xb7\\xd1\\x80\\xd0\\xb0\\xd0\\xb1\\xd0\\xbe\\xd1\\x82\\xd0\\xba\\xd0\\xbe\\xd0\\xb9. \\xd0\\x92\\xd1\\x8b\\xd0\\xba\\xd0\\xbb\\xd0\\xb0\\xd0\\xb4\\xd1\\x8b\\xd0\\xb2\\xd0\\xb0\\xd0\\xb9\\xd1\\x82\\xd0\\xb5 \\xd1\\x81\\xd1\\x8e\\xd0\\xb4\\xd0\\xb0, \\xd0\\xbe\\xd0\\xb1\\xd0\\xbd\\xd0\\xbe\\xd0\\xb2\\xd0\\xbb\\xd1\\x8e PRq. \\xd0\\x98 \\xd0\\xb7\\xd0\\xb0\\xd0\\xb1\\xd0\\xb5\\xd0\\xb9\\xd1\\x82\\xd0\\xb5 \\xd0\\xbd\\xd0\\xb0 rdoc, \\xd1\\x8d\\xd1\\x82\\xd0\\xbe \\xd1\\x83\\xd0\\xb6\\xd0\\xb5 \\xd0\\xb4\\xd0\\xb8\\xd0\\xbd\\xd0\\xbe\\xd0\\xb7\\xd0\\xb0\\xd0\\xb2\\xd1\\x80. Markdown + YARD. \\xd0\\x90 \\xd1\\x82\\xd0\\xbe, \\xd1\\x87\\xd1\\x82\\xd0\\xbe \\xd0\\xb0\\xd0\\xb2\\xd1\\x82\\xd0\\xbe\\xd1\\x80\\xd1\\x81\\xd1\\x82\\xd0\\xb2\\xd0\\xbe \\xd0\\xba\\xd0\\xbe\\xd0\\xbc\\xd0\\xbc\\xd0\\xb8\\xd1\\x82\\xd0\\xb0 \\xd0\\xbd\\xd0\\xb5 \\xd1\\x81\\xd0\\xbe\\xd1\\x85\\xd1\\x80\\xd0\\xb0\\xd0\\xbd\\xd1\\x8f\\xd0\\xb5\\xd1\\x82\\xd0\\xb5," \\xd1\\x80\\xd0\\xb5\\xd0\\xb0\\xd0\\xbb\\xd1\\x8c\\xd0\\xbd\\xd0\\xbe \\xd0\\xb1\\xd0\\xb5\\xd1\\x81\\xd0\\xb8\\xd1\\x82.'""",,,,,,,,,,,
gitlabhq,51,closed,2,2011-10-21 10:30:18,971.2,,1,,"b""b' \\xd0\\xbc\\xd1\\x8b \\xd0\\xb4\\xd0\\xb6\\xd0\\xb0\\xd0\\xb6\\xd0\\xb5 \\xd0\\xbf\\xd1\\x80\\xd0\\xb8 \\xd0\\xb6\\xd0\\xb8\\xd0\\xbb\\xd0\\xb0\\xd0\\xbd\\xd0\\xb8\\xd0\\xb8 \\xd0\\xbd\\xd0\\xb8 \\xd1\\x81\\xd0\\xbc\\xd0\\xb5\\xd1\\x80\\xd0\\xb4\\xd0\\xb6\\xd0\\xb8\\xd0\\xbc \\xd0\\xb2\\xd0\\xb0\\xd1\\x88 \\xd0\\xba\\xd0\\xbe\\xd0\\xbc\\xd0\\xb8\\xd1\\x82.'""",,,,,,,,,,,,,,,,
gitlabhq,51,closed,closed,2011-10-22 14:26:24,236.1,0,3,0,,,,,,,,,,,,,,,,,
gitlabhq,51,closed,reopened,2011-10-22 14:26:27,0.05,0,3,0,,,,,,,,,,,,,,,,,
gitlabhq,51,closed,3,2011-10-21 10:30:18,0.28,,1,,"b""b' \\xd1\\x81\\xd0\\xbb\\xd1\\x83\\xd1\\x87\\xd0\\xb0\\xd0\\xb9\\xd0\\xbd\\xd0\\xbe \\xd0\\xb7\\xd0\\xb0\\xd0\\xba\\xd1\\x80\\xd1\\x8b\\xd0\\xbb'""",,,,,,,,,,,,,,,,
gitlabhq,51,closed,4,2011-10-21 10:30:18,37.75,,1,,"b""b' \\xd0\\xa3\\xd1\\x87\\xd0\\xb8\\xd1\\x82\\xd0\\xb5 \\xd0\\xb3\\xd0\\xb8\\xd1\\x82"," \\xd1\\x87\\xd1\\x82\\xd0\\xbe \\xd0\\xbb\\xd0\\xb8 )'""",,,,,,,,,,,,,,,
gitlabhq,51,closed,5,2011-10-21 10:30:18,1.45,,1,,"b""b' \\xd1\\x81\\xd0\\xbf\\xd0\\xb0\\xd1\\x81\\xd0\\xb8\\xd0\\xb1\\xd0\\xbe \\xd0\\xb7\\xd0\\xb0 \\xd1\\x81\\xd0\\xbe\\xd0\\xb2\\xd0\\xb5\\xd1\\x82. \\xd0\\x97\\xd0\\xb0\\xd0\\xb9\\xd0\\xbc\\xd1\\x83\\xd1\\x81\\xd1\\x8c \\xd0\\xbf\\xd1\\x80\\xd1\\x8f\\xd0\\xbc \\xd1\\x81\\xd0\\xb5\\xd0\\xb9\\xd1\\x87\\xd0\\xb0\\xd1\\x81.'""",,,,,,,,,,,,,,,,
gitlabhq,51,closed,6,2011-10-21 10:30:18,5.08,,1,,"b""b' \\xd0\\x9f\\xd1\\x80\\xd0\\xb8\\xd0\\xb2\\xd0\\xb5\\xd1\\x82 \\xd1\\x82\\xd1\\x80\\xd0\\xbe\\xd0\\xbb\\xd1\\x8f\\xd0\\xbc \\xd0\\xb8\\xd0\\xb7 \\xd1\\x85\\xd0\\xb0\\xd0\\xb1\\xd1\\x80\\xd1\\x8b.'""",,,,,,,,,,,,,,,,
gitlabhq,51,closed,closed,2011-10-22 15:11:42,45.25,0,7,0,,,,,,,,,,,,,,,,,
