REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,opened,2010-08-18 09:25:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,title,2010-08-18 09:25:50,00:00,,1,,"b""b' Analytics position'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,body,2010-08-18 09:25:50,00:00,,1,,"b""b' Google advice that the analystics code should be positioned before the . Supposedly it has to do with aquiring more accurate data (as the script becomes available faster)"," both for pageviews and duration of visit. Should we comply with this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,1,2010-08-18 09:25:50,4.63,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,2,2010-08-18 09:25:50,567.73,,1,,"b'b"" The advantage to placing it in the head is that you will track a users\' pageview even if they leave the page before it has been fully loaded. To me"," I wouldn\'t want that counting as a page view. I can imagine some cases where very customized analytics is in place and I want that level of control and visibility. But I don\'t think this is the 80% case.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,3,2010-08-18 09:25:50,745.72,,1,,"b""b' added to documentation ticket.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,4,2010-08-18 09:25:50,817.95,1,,,"b'b\' I have recently had a few sites ""unverificate"" due to the analytics not being correctly positioned in the page. I feel the amount of time between the loading of a page from head to foot (and thus positioning the analytics code at the bottom for more accurate tracking) is rather negligible. If that sort of discrepancy is worry"," I would think a better solution to be implementing some sort of ""engaged"" views tracking", such as tracking an event on a page load. I definitely think the analytics code positioning should be re evaluated based on their guideline and in the light of sites having there verification status obstructed because of it. This also can effect the linking of webmaster and analytics accounts.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,reopened,2011-10-31 21:23:22,717.53,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,closed,2011-10-31 21:23:24,0.03,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5-boilerplate,65,closed,5,2010-08-18 09:25:50,22.37,,1,,"b'b\' what\\\'s ""unverificate"" ? Is this a google analytics thing? where can i find out more about it?\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
