REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,
http-parser,13,closed,opened,2010-08-24 20:27:40,,,,,,,,,,,,
http-parser,13,closed,title,2010-08-24 20:27:40,00:00,,1,,"b""b' Bug parsing first caracter of header field'""",,,,,,,
http-parser,13,closed,body,2010-08-24 20:27:40,00:00,,1,,"b'b"" We found a bug while parsing the above url: url  Once again the problem reside on the header response. The first caracter on the header field shoud be an ascii between a to z"," but we found a \'.\' (dot). The web browser does not seem to have a problem. Regards.""'",,,,,,
http-parser,13,closed,1,2010-08-24 20:27:40,1268.32,,1,,"b'b"" This appears to be caused by this:    if (c < \'a\' || \'z\' < c) goto error; which rejects non-alphabetic first characters. The BNF for the field name in HTTP is \'token\' which accepts a much broader range of characters (see url ""'",,,,,,,
http-parser,13,closed,2,2010-08-24 20:27:40,737.02,,1,,"b""b' Fixed in 51de89f8b026b38ff8edb9e68fdbbf08b499a61dDots tested in b75cea580a6a283ab162d734831948eaa96ee7ab'""",,,,,,,
http-parser,13,closed,3,2010-08-24 20:27:40,384.25,,1,,"b""b' 32 (space)", 34 (dquote), 49 (forward slash)," 125 (right curly brace) are all specials / separators. '""",,,,
http-parser,13,closed,closed,2011-09-08 13:23:59,1016.32,0,5,0,,,,,,,,
http-parser,13,closed,reopened,2011-09-08 13:27:11,3.2,0,5,0,,,,,,,,
http-parser,13,closed,4,2010-08-24 20:27:40,70.58,1,,,"b'b"" Oops", didn\'t mean to close this. There\'s a pull request out for this fix now. If nobody complains  a few days," I\'ll merge it in.""'",,,,,
http-parser,13,closed,closed,2012-01-06 21:43:26,496.25,1,5,0,,,,,,,,
http-parser,13,closed,-,-,-,1,5,0,,,,,,,,
http-parser,60,closed,opened,2011-08-16 22:51:43,,,,,,,,,,,,
http-parser,60,closed,title,2011-08-16 22:51:43,00:00,,1,,"b""b' add on_reason to fix issue #59'""",,,,,,,
http-parser,60,closed,closed,2011-08-16 22:56:19,4.6,0,1,0,,,,,,,,
http-parser,60,closed,reopened,2011-08-16 23:41:31,45.2,0,1,0,,,,,,,,
http-parser,60,closed,1,2011-08-16 22:51:43,58.28,,1,,"b'b"" For some reason I can\'t update this pull request to include more commits. I made 2 commits"," but this is only showing 1 of them.""'",,,,,,
http-parser,60,closed,2,2011-08-16 22:51:43,37.62,,,1,"b'b"" The general idea of this seems reasonable to me", but I\'d love to hear from anyone else who would find this functionality useful. If it were to actually be merged," I\'d want to see updates to test.c as well.""'",,,,,
http-parser,60,closed,3,2011-08-16 22:51:43,1337.32,1,,,"b'b"" I\'ve updated the tests to include the reason string"," which helped me fix a bug. I also looked back through old issues to find people who might be using http-parser in a proxy server and sent them messages asking for feedback on the change.""'",,,,,,
http-parser,60,closed,4,2011-08-16 22:51:43,1269.92,,1,,"b""b' This PR is pretty stale by now. Do we still want this functionality?'""",,,,,,,
http-parser,60,closed,5,2011-08-16 22:51:43,126.13,,1,,"b""b' Closing"," no response in almost two weeks.'""",,,,,,
http-parser,60,closed,closed,2012-02-09 22:00:59,1339.47,1,4,1,,,,,,,,
http-parser,60,closed,6,2011-08-16 22:51:43,991.08,,1,,"b'b"" FWIWI\'m another person that dug into the code to find out where that darn reason phrase was hiding. I\'m wishing this functionality had made it in. Maybe you can put it on a feature request list?""'",,,,,,,
http-parser,60,closed,-,-,-,1,5,1,,,,,,,,
http-parser,197,closed,opened,2014-10-10 20:02:40,,,,,,,,,,,,
http-parser,197,closed,title,2014-10-10 20:02:40,00:00,,1,,"b""b' http_parser: assert that parser isnt a NULL pointer'""",,,,,,,
http-parser,197,closed,body,2014-10-10 20:02:40,00:00,,,1,"b""b' Signed-off-by: Sid Heroor heroor@'""",,,,,,,
http-parser,197,closed,closed,2014-10-10 20:02:56,0.27,0,1,1,,,,,,,,
http-parser,197,closed,reopened,2014-10-10 20:03:22,0.43,0,1,1,,,,,,,,
http-parser,197,closed,1,2014-10-10 20:02:40,6.63,1,,,"b""b' Sorry", but what is the point of assert? It will crash on that line anyway," either with define or without it.'""",,,,,
http-parser,197,closed,2,2014-10-10 20:02:40,44.17,,1,,"b'b"" I wasn\'t sure whether to assert or to just return if the pointer is NULL. There is no way for the caller to know if init succeeded either. Atleast with an assert it\'s pretty clear that it was a NULL pointer. ""'",,,,,,,
