REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,opened,2012-03-01 01:32:13,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,title,2012-03-01 01:32:13,00:00,,1,,"b""b' Python 3 is not supported'""",,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,body,2012-03-01 01:32:13,00:00,,1,,"b'b"" I guess Python 3 is not supported. I\'m getting following error on Python 3.2:  ""'",,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,1,2012-03-01 01:32:13,115.5,,1,,"b'b"" The syntax error there comes from the fact that python 3 doesn\'t support the u\'string\' syntax for unicode literals.  This will be fixed in python 3.3.""'",,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,2,2012-03-01 01:32:13,179.05,,1,,"b""b' Alright then ;)'""",,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,closed,2012-03-01 06:26:46,294.55,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,reopened,2012-03-02 01:13:49,1127.05,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,closed,2012-03-14 23:13:43,1319.9,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,11,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,opened,2012-03-19 15:26:48,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,title,2012-03-19 15:26:48,00:00,,1,,"b""b' httpie output has lots of additional characters on windows'""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,body,2012-03-19 15:26:48,00:00,,,1,"b'b"" Running on windows results in a load of extra characters being printed out: I\'m guessing that these are escape codes that provide the colored output on other operating systems.  Running results in correct (though monochrome) output. It\'d be nice to get cross platform colored output like provided by [clint]url ""'",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,1,2012-03-19 15:26:48,245.35,,1,,"b""b' It does look like the colorama module could be a fairly simple way to address this:url '""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,2,2012-03-19 15:26:48,1303.47,,,1,"b""b' Bummed to find this bug"," colored output would be nice. '""",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,closed,2012-07-17 02:07:33,640.75,0,2,2,,,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,3,2012-03-19 15:26:48,537.25,,,1,"b'b"" This should be fixed now. Thanks for the tip for  "," it works very well. I\'ve tested it on Python 2.7 under Windows 7 with PowerShell and . It would be great if you could test it and provide feedback (I don\'t use Windows very often): There is one remaining Windows-related issue (unicode in terminal #71). ![httpie on windows]url ~-)""'",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,4,2012-03-19 15:26:48,546.5,,,1,"b'b"" I\'ve just tested with powershell"," zsh &  using Python 2.7 seems to work perfectly.  Thanks for the fix.""'",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,5,2012-03-19 15:26:48,178.28,,,1,"b""b' Glad to hear that. Thanks for the feedback.'""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,6,2012-03-19 15:26:48,270.27,1,,,"b""b' I get the following warnings when running httpie under PyPy 1.6 : I think that this is caused by PyPy (see url but I suspect that the code could be changed to avoid this warning. EDIT: Nevermind"," these warnings are coming from Colorama. url '""",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,7,2012-03-19 15:26:48,30.88,,1,,"b'b"" I\'m still getting this using ActivePython 3.2.2.3  I ran the update command you listed and am still getting the same output as before.  Am I missing anything?""'",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,reopened,2012-07-19 09:41:36,454.05,1,3,5,,,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,8,2012-03-19 15:26:48,865.83,,1,,"b""b' @dethstryke What is the output of  ? If it says something else than  "," then please try to uninstall the old version first and then install the dev one again:  '""",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,9,2012-03-19 15:26:48,77.27,1,,,"b'b"" I\'m sorry that I didn\'t notice this issue thread when making the pull request. Also when I named my fork", I didn\'t know that you have already included colorama in the project. However, the dev branch did not work for me. (http version gives 0.2.6dev for me) As I mention in my pull request, I had to change the stdout writing to a single print statement to get it working. As a proof, here\'s a screenshot showing installation from the dev branch (on the left) and then from my fork (on the right):url  I also had to install \'requests\' separately, because the one provided by pip didn\'t work on my system. But by installing requests directly from their git repo worked flawesly. I\'m totally newbie with python, pip and colorama, and quite newbie also with github, so I\'m sorry if this is just some Stupid User Error. But I still think that there is something wrong with outputting to the  window," and my pull request seems to fix it.""'",,,,,,,,,,,,
httpie,36,closed,10,2012-03-19 15:26:48,32.47,,,1,"b'b"" At a quick glance it would seem that a simple \'print output\' (without any explicit encoding being done) works nicely on both Windows and OS X. I just want to understand the details involved what would break if we were to remove the check for the encoding parts?""'",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,11,2012-03-19 15:26:48,34.72,,,1,"b'b"" @mieky Encoding the output ensures that unicode characters (like  ", not colors) are displayed  correctly on the terminal. The way it\'s done now seems to work well under OS X and Linux on all the supported Pythons, but on Windows it\'s still displayed incorrectly (#71). The color problem that some people are still seing on Windows is most likely caused by the fact that  is unable to process the output on some configurations (due to the way it\'s being  for ). So, @cido\'s patch seems to solve the occasional color-related problems on Windows," but the output still needs to be encoded (somehow) to ensure that unicode works. It\'s quite tricky to solve it universally. Any help appreciated.""'",,,,,,,,,,,,,,,,,
httpie,36,closed,12,2012-03-19 15:26:48,1425.72,,,1,"b'b"" @jkbr Is there any changes I need to make to my win  to prettify the output? Since I\'ve installed 0.2.6-dev and still I get escape codes.. ""'",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,13,2012-03-19 15:26:48,77.75,,1,,"b""b' Please try the current master:  '""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,14,2012-03-19 15:26:48,77.93,,,1,"b""b' @jkbr Thank you"," that worked.'""",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,15,2012-03-19 15:26:48,1061.6,,1,,"b""b' This seems to be fixed in  . Please feel free to reopen this issue if the problem persists.'""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,closed,2012-07-26 08:12:06,1350.5,2,6,9,,,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,16,2012-03-19 15:26:48,874.45,,,1,"b""b' Thanks  '""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,17,2012-03-19 15:26:48,996.4,,1,,"b'b"" I\'m not sure if there was a regression of if there is some problem with my local terminal"," but the most recent version is showing this behavior for me. ""'",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,18,2012-03-19 15:26:48,392.27,,,1,"b""b' I just installed this on windows and am having the same issue as @mykwillis"," but only in powershell. If I use httpie in the regular cmd prompt it looks fine. Windows 7python 2.7.10httpie 0.9.2'""",,,,,,,,,,,,,,,,,,,,
httpie,36,closed,19,2012-03-19 15:26:48,652.4,,1,,"b'b"" I notice that if I  as opposed to using the latest colorama (0.3.3)", then I don\'t get the control characters in the output. It\'s not in color," but at least it\'s not garbled. So this is likely something to do with a change in colorama between 0.3.2 and 0.3.3""'",,,,,,,,,,,,,,,,,,,
httpie,36,closed,20,2012-03-19 15:26:48,526.6,,,1,"b""b' Just downgraded colorama to 0.3.2 based on @mykwillis suggestion and powershell output looks much better now. Thanks for the advice!'""",,,,,,,,,,,,,,,,,,,,,
httpie,36,closed,-,-,-,2,8,12,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,opened,2012-04-26 11:10:07,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,title,2012-04-26 11:10:07,00:00,,1,,"b""b' Use the Pygments HTTP and JSON lexers'""",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,body,2012-04-26 11:10:07,00:00,,,1,"b'b"" Yes", new Pygments version. :) Though the HTTP formatting doesn\'t look as expected. (Image was updated," so it _does_ look as expected now\\xe2\\x80\\xa6) ![Screenshot]url ""'",,,,,,,,,,,,,,,,,,,
httpie,45,closed,1,2012-04-26 11:10:07,24.12,,1,,"b""b' I have looked at the source code of and it seems like there have to be done changes in my fix first.'""",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,closed,2012-04-26 11:44:37,34.5,0,2,1,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,2,2012-04-26 11:10:07,16.97,,,1,"b'b"" That\'s a good news! Looking forward to removing the lexers from HTTPie\'s source.""'",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,reopened,2012-04-26 12:50:57,66.33,0,2,2,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,3,2012-04-26 11:10:07,60.37,,1,,"b""b' I think it is okay now.'""",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,4,2012-04-26 11:10:07,1362.27,,1,,"b""b' Body is not being highlighted like that.'""",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,closed,2012-04-28 11:33:50,1362.88,0,4,2,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,5,2012-04-26 11:10:07,46.03,,1,,"b""b' **_Now**_", I think," it is ready.'""",,,,,,,,,,,,,,,,,,,
httpie,45,closed,reopened,2012-04-28 12:19:56,46.1,0,5,2,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,6,2012-04-26 11:10:07,490.7,,1,,"b""b' _pushes_'""",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,closed,2012-06-13 13:09:12,49.27,0,6,2,,,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,7,2012-04-26 11:10:07,998.92,1,,,"b""b' Thanks & sorry for the wait!'""",,,,,,,,,,,,,,,,,,,,,
httpie,45,closed,-,-,-,1,6,2,,,,,,,,,,,,,,,,,,,,,,
httpie,78,open,opened,2012-07-26 23:52:27,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,78,open,title,2012-07-26 23:52:27,00:00,,1,,"b""b' Syntax for nested JSON '""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,body,2012-07-26 23:52:27,00:00,,1,,b'b\' The simple examples work," but what about nested data?In curl I do something like this: -d \\\\\\\'""credentials"": {  ""username"": ""me""","key"": ""my-key""}}\\\' How can I do this with httpie?\''
httpie	78	open	1	jakubroztocil	2012-07-26 23:52:27	7.25		+1		b'b"" For deeply nested JSON it\'s easier to use  . For example: More examples are listed in the [README]url ""'
httpie	78	open	closed	 - 	2012-07-26 23:59:43	7.27	0	3	0
httpie	78	open	2	sandstrom	2012-07-26 23:52:27	449.3			+1	b""b' httpie is a dream! nesting would make it even more awesome though. It would be nice with rails-like nesting, e.g.  '",,,,,,,,,,,,,,,,,,,
httpie,78,open,reopened,2015-05-29 09:13:33,553.83,0,3,1,,,,,,,,,,,,,,,,,,,,,,
httpie,78,open,3,2012-07-26 23:52:27,124.93,,,1,"b""b' Some sort of easier syntax for nested data would really be a nice thing to have.There is also another issue with some syntax suggestions: url '""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,4,2012-07-26 23:52:27,151.62,,1,,"b""b' So nesting could be expressed either with brackets or using dot notation. '""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,5,2012-07-26 23:52:27,293.65,,,1,"b""b' Greetings!!!  Small question regarding nested json and httpie. So I have a json file: I want to increase the value of  to and use  . I tried different permutations", but I am getting over and over again :( Using just is pretty easy: ...however using it TOGETHER with directive + nested values has proven to be difficult (for me). Any help," please ??? Thanks!!!!'""",,,,,,,,,,,,,,,,,,,
httpie,78,open,6,2012-07-26 23:52:27,304.48,,,1,"b'b\' Answering my own question:  http -v PUT url  instances:=2 constraints:=\\\'[[""hostname""",LIKE," server1""]]\\\'  Thanks!! Alex\''",,,,,,,,,,,,,,,,,,,
httpie,78,open,7,2012-07-26 23:52:27,1419.22,,1,,"b""b' Syntax: url url '""",,,,,,,,,,,,,,,,,,,,,
httpie,78,open,8,2012-07-26 23:52:27,363.77,,1,,"b'b"" @jkbrzt For clarification are you referencing jarg for your own  development?  I tried the following which didn\'t work: Is received as: However"," piping through jarg does seem to work: Is received as:  ""'",,,,,,,,,,,,,,,,,,,,
