REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,opened,2012-01-01 21:13:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,title,2012-01-01 21:13:27,00:00,,1,,"b""b' Authoring tool discussion'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,body,2012-01-01 21:13:27,00:00,,,1,"b'b"" I love it! Perhaps out of the scope of this library", but I figured I\'d file it here nonetheless: in order for this to be useful for more than a few people, you need some sort of authoring tool for these kinds of presentations, such as what Prezi has, or my own Infinite Canvas tool from several years ago: url  Any plans to do something like that," or are you leaving it to the community?""'",,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,1,2012-01-01 21:13:27,619.78,1,,,"b'b""  just started as an experiment and my personal tool for creating presentations and I really wasn\'t expecting all the buzz around it. So at this point it\'s kind of authors responsibility to build the presentation content and styles in HTML+CSS. Anyway", it\'s very true that it\'s a little bit painful and requires quite a lot of time to create such a presentation now. Regular web development tools such as Web Inspector in Chrome (or Firebug in Firefox) are helpful but it\'s hard to call it \'editor\'.And it is true that more and more people are asking for edit tool. My answer at this point would be that I understand the need even myself," as I\'m probably the one that is using it the most right now ;) but I don\'t really have plans (not enough free time) to build such a tool.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,2,2012-01-01 21:13:27,676.62,,,1,"b'b"" +1 to iangilman.I\'ll try to find some time to do something in this area :) It sounds like a good idea that will let many more people enjoy this cool js lib.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,3,2012-01-01 21:13:27,15.08,,,1,"b'b"" @greenido awesome! I\'d love to see what you come up with"," and I may be interested in helping out (if I can find the time).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,4,2012-01-01 21:13:27,1148.0,,,1,"b""b' @greenido You can count me in too!Let me know if you are serious and need a hand (with coding", testing, documentation," whatever.) Cheers!This is me @creatorrr !'""",,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,5,2012-01-01 21:13:27,296.73,,,1,"b'b"" Hi guys", if you could keep me in the loop with what you are all doing, I will most likely be starting down the path of creating an authoring tool as well. People in my agency have been wanting to start using Prezi this year, but with flash and such we have a lot of restrictions.  is exactly what they needed, but none of them are coders," so I\'ll be working on an authoring tool for them. I\'d be happy to collaborate with any of you that are interested.""'",,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,6,2012-01-01 21:13:27,32.7,,,1,"b""b' Does  could work? It is aldeady being used in Sozi url Congratulations for Impress"," great work. :) ##  e'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
impressjs,5,open,7,2012-01-01 21:13:27,846.7,,,1,"b'b"" @EddieHinkle It\'d be great! Could you ask others as well?Let\'s put together a framework and start working. @bartaz Any ideas? Plans for any API? I\'m in"," by the way. :-)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
