REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,opened,2011-01-02 04:13:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,title,2011-01-02 04:13:45,00:00,,1,,"b""b' Added org-mode converter with org-ruby'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,closed,2011-08-21 07:51:40,217.92,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,1,2011-01-02 04:13:45,1191.03,,1,,"b""b' Hello", It would be very valuable for jekyll to support org-mode out of the box.  This would be consistent with  wikis," and would be valuable for anyone using GitHub pages who wants to write their pages in Org-mode. Would it be possible to re-open this pull request?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,2,2011-01-02 04:13:45,841.38,,1,,"b'b"" I definitely would welcome org-mode support in Jekyll for using it for my Octopress powered blog. I\'m willing to help with this if the above pull request still needs work.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,3,2011-01-02 04:13:45,79.8,1,,,"b'b\' That\\\'s cool -have you tried this particular pull request?  I\\\'m very rusty with Ruby and I\\\'m very ignorant regarding all the ""bundle exec"" and ""rvm"" magic that Ruby programmers use nowadays. It would take me ages just to download this pull request and try to run this particular version of Jekyll"," versus the one that\\\'s installed on my system. I was able to add org-ruby to Octopress by running ""bundle exec gem install org-ruby"" in my Octopress directory.  However", if I had any code like this in the .org files, it would not show up correctly:   Now that I think about it," maybe I should have used  #+begin_src rubyputs ""Hello world""#+end_src\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,4,2011-01-02 04:13:45,15.17,,1,,"b'b"" @NathanNeff Not yet", I\'m at work. I\'ll look into it as soon as I have time," maybe over the Christmas holidays.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,5,2011-01-02 04:13:45,1030.13,,1,,"b""b' any news about the highlight with pygments ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,6,2011-01-02 04:13:45,1290.85,,1,,"b""b' Whatever happened to org-mode support?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,7,2011-01-02 04:13:45,58.73,,,1,"b'b"" I\'d be interested in making this work. The current methodology I\'ve documented at url  involves converting .org files to .markdown files and that has complications with images and especially with relative links to blog articles. What is nice is that the watch option can then watch for saved .org files and regenerate the site"," and then LiveReload could load the page.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,8,2011-01-02 04:13:45,473.18,,1,,"b""b' Are you able to create this converter for yourself by putting what is here in your folder and running it locally?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,reopened,2013-11-06 22:45:41,894.02,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,closed,2013-11-06 22:45:49,0.13,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,262,closed,-,-,-,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,opened,2011-03-18 09:16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,title,2011-03-18 09:16:28,00:00,,1,,"b""b' Make permalinks work with pages'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,body,2011-03-18 09:16:28,00:00,,1,,"b'b"" Right now if I create an about page"," I have to go to . about/ doesn\'t work.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,1,2011-03-18 09:16:28,727.63,,1,,"b'b"" Did you try setting in your config? Because I always remark at how magical it is when I create and jekyll generates for me. In fact", there was a project I did recently where I converted a site to jekyll, and because I broke all the URLs from to  , I decided I\'d create redirects from the old URLs to the new," and I had to go about doing that by naming some files so that jekyll would keep them as as  ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,2,2011-03-18 09:16:28,592.93,,1,,"b""b' I did", and it did not fix the problem. However," someone on stackoverflow said that the problem only occurs locally and that on github pages the problem is not there. That might be the case but then the version on github pages is not the latest one. I have only tested this locally.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,3,2011-03-18 09:16:28,560.32,,1,,"b'b"" What do you mean by \'latest\'? I tested this locally with jekyll 0.10", which is the latest gem, which is the same version on github pages," and it worked. Are you using the devel branch or what? Are you sure yours is the latest?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll,302,closed,4,2011-03-18 09:16:28,1157.72,,1,,"b""b' I am using jekyll 0.10'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
