REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,opened,2010-10-27 19:58:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,title,2010-10-27 19:58:26,00:00,,1,,"b""b' #7323 Allow removing multiple data keys at once with $'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,body,2010-10-27 19:58:26,00:00,,,1,"b""b' If you want this"," here it is :) [Ticket #7323]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,1,2010-10-27 19:58:26,1001.5,,1,,"b""b' Why not use a string with space separated values", like $.bind," $ and other methods are already using ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,2,2010-10-27 19:58:26,739.0,,1,,"b""b' Unlike classes and events", data keys aren\\xe2\\x80\\x99t space-separated lists; they can potentially be any string, including one with spaces. So, using a space-separated string would open the possibility of breaking stuff," which we don\\xe2\\x80\\x99t want.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,3,2010-10-27 19:58:26,869.78,,1,,"b'b"" Given snover\'s observation I\'m going to close this pull"," since we can\'t use spaces.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,closed,2011-04-13 15:28:43,1170.28,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,4,2010-10-27 19:58:26,1.55,,,1,"b'b"" The pull request wasn\'t using spaces", it was using an array. Agree with snover that spaces can\'t be used, but it should be fine to pass in an array of strings that are data keys," no?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,reopened,2011-04-13 15:36:45,8.03,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,77,closed,5,2010-10-27 19:58:26,13.07,1,,,"b""b' Sorry", there was some confusion here. We definitely want to try and get this in for 1.7 we just want to have it be a space-separated list of values (in the same way that unbind works, for example). Would you be willing to take a look at that," @rmurphey?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
