REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,opened,2011-11-02 03:00:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,title,2011-11-02 03:00:12,00:00,,1,,"b""b' use pdf(file = NULL) in R > 2.14.0'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,body,2011-11-02 03:00:12,00:00,,1,,"b""b' Paul has added support to in the device in "," which acts like a null device. This will make knitr even faster. Testing code:  '""",,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,1,2011-11-02 03:00:12,740.7,,1,,"b'b"" R 2.14.1 is scheduled for December 22"," so it won\'t take too long for this issue""'",,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,closed,2012-01-13 21:53:48,1133.6,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,2,2011-11-02 03:00:12,888.23,,1,,"b""b' Sigh... actually produces a file named  ", which makes it meaningless as a null device; reported to Paul and R core: url  In the devel version of  , I added code to remove this file," but this is really not a good fix.'""",,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,reopened,2012-01-21 20:44:21,1370.55,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,3,2011-11-02 03:00:12,792.05,,1,,"b""b' OK"," Ripley said this had been fixed: url '""",,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,closed,2012-03-06 04:13:20,448.98,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,9,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,opened,2011-11-30 16:59:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,title,2011-11-30 16:59:28,00:00,,1,,"b""b' Font size on website is too small'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,body,2011-11-30 16:59:28,00:00,1,,,"b'b"" And it makes the font look a big ugly because of anti-aliasing.  If you\'re going to use a complex serif font"," I\'d recommend boosting the size up a bit (and don\'t make list items smaller). ""'",,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,1,2011-11-30 16:59:28,216.97,1,,,"b'b"" The font size for paragraphs is 19px according to Google Chrome\'s computed CSS styles", which is big enough, I think. Maybe this is -dependent. When I view the webpages under Windows," Firefox looks ugly and IE is hopeless. This is the screenshot in Google Chrome under Ubuntu: ![screenshot of knitr website]url ""'",,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,2,2011-11-30 16:59:28,3.4,,1,,"b'b"" It\'s too small for the bullet points you\'re using a fairly fussy font"," so you need to keep it big.""'",,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,3,2011-11-30 16:59:28,114.73,,,1,"b""b' I have made the font size for lists larger (not sure it is large enough). Can you send me a screenshot of how it looks like in your browser? Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,4,2011-11-30 16:59:28,889.08,,,1,"b'b"" ![hadley\'s screenshot]url Embedding isn\'t working for me here\'s the direct link url ""'",,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,closed,2011-12-01 21:28:51,269.38,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,5,2011-11-30 16:59:28,528.67,,1,,"b'b"" (You used a wrong URL for your image and I\'ve fixed it) I have changed to some common serif fonts; how does the page look like now?""'",,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,6,2011-11-30 16:59:28,1260.93,,1,,"b""b' About the same as before I still think the list items should be the same size as everything else.'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,7,2011-11-30 16:59:28,149.2,,,1,"b""b' This does not seem to be a problem caused by a specific font", since Palatino and Georgia should be safe enough to use in the web. Did you refresh the page to make sure it is not because of cache? I kind of prefer some variation to the list items, otherwise it is too boring to read a web page; since size is not a good choice to you," I need to consider . Thanks!'""",,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,reopened,2011-12-03 21:42:37,13.77,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,closed,2011-12-09 20:06:05,1343.47,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,23,closed,-,-,-,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,opened,2011-12-02 16:46:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,title,2011-12-02 16:46:27,00:00,,1,,"b""b' pdfcrop'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,body,2011-12-02 16:46:27,00:00,,,1,"b'b"" This looks absolutely marvellous.  The issues you have tried to overcome ring true with my experience. One feature I would like to see is a way for automatically cropping pdfs using the pdfcrop tool that comes with latex distributions.  I have a bash script that does this and it results in much neater reports and gets rid of a lot of unnecessary white space.  This is especially useful in something like sweave because you generally don\'t always make the plots interactively and have a feel for the right dimension and this can results in extra white space. Anyway I shall follow progress with this project with interest. Great work! David""'",,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,1,2011-12-02 16:46:27,15.55,,,1,"b""b' Oh", I know you are really an Sweave user! Guess what? I have exactly the same idea in mind for a long time. It is very easy to set up a hook function to do this, since will let you know everything about a chunk (including the filenames). To get started, read the documentation on hooks: url  then read some of the built-in hooks that I wrote to get a feel about how they work: url  Finally the implementation is simply like this: add a chunk hook, say, named  , and  . Inside  , you need to check  , and  ; if the device is a PDF device, then you call to crop the PDF files," and this needs to be done when  . I hope these instructions can get you started. Feel free to contribute a like in :)'""",,,,,,,,,,,,,,
knitr,28,closed,2,2011-12-02 16:46:27,57.92,1,,,"b""b' Just following up on this I tried a basic hook: and then called it in the code e.g. and it all seems to compile OK and there is a message to say that pdfcrop was successful and wrote the file: but when I check the figure it is not cropped.  Looks like it could possibly be overwritten?  Any ideas? Once I get a grasp of knitr a bit more I should be able to contribute some code.'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,closed,2011-12-06 17:59:55,73.47,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,3,2011-12-02 16:46:27,6.22,1,,,"b'b"" sorry", didn\'t mean to close this thread. the plot call was wrong," it should have been  ""'",,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,reopened,2011-12-06 20:19:21,139.43,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,4,2011-12-02 16:46:27,191.95,,1,,"b""b' Does it work if you directly run in the command window?'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,5,2011-12-02 16:46:27,9.62,1,,,"b'b\' Yes.  I also tried putting a stop() command just before the system(paste(""pdfcrop """, , , ," sep = """")) line to see if the plot was available to crop and it was not.  So what does \\\'after\\\' actually mean?  It looks like the pdf file is not written at that time?  BTW I detract from the major advances knitr makes.  It really does solve a lot of annoying issues I had with Sweave.\''",,,,,,,,,,,,,,,,,,,,
knitr,28,closed,6,2011-12-02 16:46:27,16.62,,,1,"b""b' Ahhh... I see!!! You are right; the plot has not been really created by that time. Wait for two minutes for a fix :)'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,7,2011-12-02 16:46:27,669.02,,,1,"b'b"" Thanks for that it does fix it.  I also had to think about situations where more than one plot is produced in a chunk.  The code below does this for me at least.  Note I use getwd() to get the full file path for pdfcrop.  Not sure this is the best idea.  Also", I\'m sure there are better ways of writing the code below.  However," with some refinements it might make a useful additional hook?  ""'",,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,8,2011-12-02 16:46:27,588.52,,,1,"b'b"" You can put R code between  . I guess is not necessary -starts the program under  . For  ", I need a little bit more work so it is easier to know the device outputs PDF files, because is not the only device which writes PDF (there are  ," and even  ). You may also need to first check if exists in the system using  . I\'m glad you figured out the hidden option :) Thanks!""'",,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,closed,2011-12-11 01:30:53,311.53,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,9,2011-12-02 16:46:27,410.45,,,1,"b""b' @DCCKC I have added the hook to this package based on your draft. Thanks a lot!'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,10,2011-12-02 16:46:27,865.87,,,1,b'b\' Great thanks," I\\\'ll test it.  BTW is there any reason why ""hard-wired"" functions like this and the rgl hook cannot be used by only setting an option rather than having to add the line knit_hooks$set(pdfcrop = hook_pdfcrop)?\''",,,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,11,2011-12-02 16:46:27,1413.1,,,1,"b'b\' Because they are like ""add-on"" functionality (not part of the core)", and you can add them if you like. If there are enough users showing interest in this feature in future, I will make it into the core part.\'',,,,,,,,,,,,,,,,,,,,,,
knitr,28,closed,-,-,-,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,opened,2011-12-02 22:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,title,2011-12-02 22:13:36,00:00,,1,,"b""b' line numbering with listings or fancyvrb'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,body,2011-12-02 22:13:36,00:00,,1,,"b""b' moved from #29 suggested by @walmes'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,closed,2011-12-14 06:07:04,473.47,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,1,2011-12-02 22:13:36,361.87,,1,,"b""b' Yihui", I figured out a way to add line numbers to syntax highlighting using  . Here is a [sample pdf]url  It is based on a hack," and have not stress tested it yet.'""",,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,2,2011-12-02 22:13:36,14.37,,,1,"b""b' You are always doing amazing jobs! Then let me reopen this issue for a nicer solution. The most ideal solution would be to add line numbers without interfering with the R code", so we can still copy the code," but I guess this is impossible in the PDF output from LaTeX (it is possible in HTML).'""",,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,reopened,2011-12-15 04:29:53,1342.82,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,3,2011-12-02 22:13:36,8.53,,,1,"b""b' There is not much interference actually. Here is how I am making it work now. I take the file output by  ", and browse for all code lines using a regular expression. Once I locate those lines, I add the line numbering using  , which interestingly is already built in the preamble constructed by  . Guess, Romain left it as a placeholder for future functionality for line numbering. Two ways to make it directly work. One, do the modification within  . Two, write to Romain, and suggest making this an added functionality of  .  For now," I am making it work by doing the modification in so that mainstream functionality is not interfered with. '""",,,,,,,,,,,,,,,,
knitr,31,closed,4,2011-12-02 22:13:36,958.83,1,,,"b""b' Finally managed to get it all together. Here is the [output pdf]url  you are expected to get. You can easily check it out by running the following. Can you try this", and let me know if it works? It works for me, but I want to make sure that I have not inadvertently hard-coded something specific to my machine. Once you  confirm everything works, I will tighten the documentation, finish the manual," and send you a pull request to merge my changes to your master.'""",,,,,,,,,,,,,,,,,,,
knitr,31,closed,5,2011-12-02 22:13:36,48.78,,,1,"b""b' I tested and it worked. Thanks! Please give me a few minutes thinking about whether should be an argument in  ; in most cases I prefer options to be set inside the Rnw document"," so users do not need to know other instructions and can exactly reproduce an output document based on the input document.'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,6,2011-12-02 22:13:36,5.57,,,1,"b""b' Perfect. Let me know once you decide. You might also want to think about making an option", so that users can enable it as desired. If you decide to provide this as an option, we would have to do a little rewrite of the code," but I dont think it should take too much time. I will hold off on updating the manual till I hear of your decision.'""",,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,7,2011-12-02 22:13:36,399.15,,,1,"b'b"" I have gone over the code for line numbers and themes. I feel is a function of too much automation", since it is not that hard to type  , and I\'d like to hold on for this version; let\'s consider it in the next version. I guess you can send the pull request now," and we can still discuss in the pull request. Thanks!""'",,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,8,2011-12-02 22:13:36,4.58,,,1,"b'b"" Perfect. I wrote these convenience functions to automate testing", and that\'s the reason I put them out there. So if I understand you correctly, you want to put and on hold for this version. Do you want me to modify accordingly? I have never done a request before. Any pointers on how I might initiate one? I work with  ," but am equally comfortable with the command line.""'",,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,9,2011-12-02 22:13:36,10.2,,1,,"b""b' In the top-right corner in your fork", you can see this:  ![pull request]url  Just click the button  ; write a message (e.g.  )," then you are done. GitHub is sweet in terms of these operations in the web page (you do not need to learn command line operations).'""",,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,10,2011-12-02 22:13:36,1.9,,1,,"b""b' Here is another thought I wanted to put on the table. You currently have three chunk options that control display of source code:  ", and  . In the long run, you can think of adding two more: and as global options," that the user can specify via  . What do you think?'""",,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,11,2011-12-02 22:13:36,0.47,,1,,"b'b\' Also note that pull request is not like ""done once submitted""; the code can be discussed", and you can still make revisions and push to your repository (new changes will be merged into the request). It is pretty much like review and revise a paper :)\'',,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,12,2011-12-02 22:13:36,4.78,,1,,"b""b' I initiated the pull request. '""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,13,2011-12-02 22:13:36,0.37,,1,,b'b\' Currently does not look like a chunk option, since it is actually post-processing the weaved output," and I guess it can just stay out of the system of options. may be a package-level option in instead of  ; it is even more ""global"" than (the latter can be used for multiple times inside a document and it is like R\\\'s but the former is supposed to be used only once per input)\''",,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,14,2011-12-02 22:13:36,3.37,,1,,"b'b"" I agree. Maybe", you could write to Romain and see if he could make it a part of  . I see that in the latest version of  , he has a function which directly uses Andre\'s C code to do syntax highlighting. That function has a option. I tried it, but liked the output from better," mainly due to its ability to parse code better.""'",,,,,,,,,,,,,,,,,,,,
knitr,31,closed,15,2011-12-02 22:13:36,131.33,,1,,"b""b' I have asked Romain. I prefer semantic highlighting too; it is more accurate (I have a comment on this in url '""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,16,2011-12-02 22:13:36,1155.53,,,1,"b'b"" line numbers will be a new feature in the next version of Romain\'s  ; hopefully it can be released very soon so we probably do not need the function any more :)""'",,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,17,2011-12-02 22:13:36,60.58,,,1,"b""b' Awesome! I am looking forward to it.'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,closed,2012-07-06 01:22:56,1253.05,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,31,closed,-,-,-,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,opened,2011-12-07 12:04:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,title,2011-12-07 12:04:18,00:00,,1,,"b""b' \\\\SweaveInput'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,body,2011-12-07 12:04:18,00:00,,1,,"b""b' Is there anything analogous to \\\\SweaveInput in knitr?  \\\\SweaveInput can be used to split a Rnw file into different files; similar to \\\\input{file} in latex"," which can help organise larger Rnw files.  Or does everything need to be in a single file?'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,1,2011-12-07 12:04:18,390.32,,1,,"b'b"" I tend not to implement it", although it should not be terribly hard, or at least I won\'t put high priority on it. An indirect answer is that you probably need a better text editor which supports folding  documents (e.g. fold a chapter), or you may try LyX (as I have mentioned for a couple of times), which has a very good visual experience, so I never really feel I need or  . I have been writing a book with LyX+Sweave (now with knitr, of course), and it has several hundreds of pages," but I still do not feel the necessity of  .""'",,,,,,,,,,,,,,,,
knitr,39,closed,closed,2012-01-18 16:01:12,236.9,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,2,2011-12-07 12:04:18,1288.85,,1,,"b""b' Hi"," supports this feature now; see url  for an example'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,3,2011-12-07 12:04:18,805.73,,,1,"b'b"" Thank you Yihui for this feature.I don\'t understand though why not simply support \\\\SweaveInput tags as:typing \\\\Sexpr{knit_child(\'\')} seems less convenient than \\\\SweaveInput{document}having an explicit call to knit_child in the document makes the document intrinsically linked to knitrsupporting \\\\SweaveInput would increase backward compatibility so that users have lees things to change in their  to swtich to knitr A possible flexible implementation would be to use add a pattern", e.g. or  , for catching included documents that would be substituted with \\\\Sexpr{knit_child()}, with a default to This actually brings another idea of being able to add user-defined patterns. The user would need to provide a regular expression and a function to treat the matches. This is similar to knitr hooks, but working at the document level," instead of code chunks. I will  this in a separate issue. Thanks""'",,,,,,,,,,,,,,,,,,,
knitr,39,closed,4,2011-12-07 12:04:18,519.62,,,1,"b""b' I understand why you do not understand the alternative implementation to the original  "," and this is explained in the end of url  Let me know if this is convincing to you. Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,5,2011-12-07 12:04:18,962.03,,1,,b'b\' Thanks for the clarification Yihui. I do acknowledge that knitr approach to child document is much more flexible, allowing for a finer control on the includes.The code chunks for child inclusion are also nice (recent dev or I missed them on first read?). Are options passed to the child chunk used as global options when knitting the child document? This would be really nice. However, my view would still be to support \\\\SweaveInput tags, for convenience for old Sweave users. Note that I never used it since it is not documented (is it?), so it is not a personal matter. And just to make my general opinion clear: knitr really rocks. But generally speaking, I think that the more tolerant a tool is on its input format, the more easily people switch to it, e.g. LibreOffice  MS Word documents although LibreOffice\\\'s developers might not like its format, Octave is -manly -compatible with Matlab language, my dog eats my cat\\\'s food, etc...Besides, as you say your self it is easy to implement the support, which will all be at knitr\\\'s advantage.Another point is that users switching to knitr now might encounter some issues, since it still is in alpha, and might have to temporally switch back to Sweave, for the time knitr gets its way to stable, which I am sure will happen soon. If finer control is desired, then the user can (must) always switch to the child chunks or knit_child command," which _are_ very nice.In brief a feature line for knitr could be: ""\\\\SweaveInput tags are supported", although they are ugly and against knitr philosophy," but much better things can be done with child chunks and  "". I know I am stubborn", but I tend to think that things that can be automatised, should not be left to the user, that might not be as advanced as one might  and run away if any error occurs. Thank you. ##  Renaud GaujouxComputational Biology University of Cape TownSouth Africa On 22/01/2012 16:08, Yihui Xie wrote:\''
knitr,39,closed,6,2011-12-07 12:04:18,430.18,,,1,"b""b' I should say this is really really convincing", and a big YES," I will implement it for a smoother transition from Sweave to knitr. It is the honor of knitr to have a user like you :) Thanks!'""",,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,reopened,2012-01-23 13:21:20,1280.13,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,closed,2012-01-23 19:19:06,357.77,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,7,2011-12-07 12:04:18,359.57,,,1,"b""b'   is supported now; thanks'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,8,2011-12-07 12:04:18,1049.12,,,1,"b""b' Awesome!Thank _you_ for putting together such a nice piece of software", that lazy users with funky needs like me will enjoy as much as traditional users :) ##  Renaud GaujouxComputational Biology University of Cape TownSouth Africa On 23/01/2012 21:20," Yihui Xie wrote:'""",,,,,,,,,,,,,,,,,,,,,,
knitr,39,closed,-,-,-,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,opened,2011-12-08 20:43:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,title,2011-12-08 20:43:47,00:00,,1,,"b""b' Caching on another drive will fail'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,body,2011-12-08 20:43:47,00:00,,,1,"b'b"" This looks like it\'s new in 0.0.4", but cache is concatenated with current directory, so when specifying a drive for cache when working from z:\\\\ drive," will try to cache in z:\\\\d:\\\\cache instead of d:\\\\cache. Is it because of 8ffb1aaa947b059b4f2153ce83aacfea73001a1b ?""'",,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,1,2011-12-08 20:43:47,18.1,,1,,"b""b' 8ffb1aa is irrelevant", 6dbab4e is the real criminal an implicit assumption is that and are relative directories; now I see the restriction on the previous option is reasonable," but you are probably right -cache can be in another absolute directory; I will think more about this issue.'""",,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,closed,2011-12-08 21:42:07,58.33,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,2,2011-12-08 20:43:47,46.25,,1,,"b""b' should be fixed now; please test'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,3,2011-12-08 20:43:47,1069.27,,,1,"b""b' Success ! Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,
knitr,42,closed,4,2011-12-08 20:43:47,1119.97,,,1,b'b\' Actually," I now have a problem with this in 0.05 and getting an error: Error in grepl(""^\\\\""", x) : invalid regular expression \\\'^\\\\\\\', reason \\\'Trailing backslash\\\' This on Windows.  I don\\\'t know enough about regular expressions," but do you need some more escaping?  Would grepl(""\\\\\\\\""", x) do what you want? Thanks\'',,,,,,,,,,,,,,,,,,,
knitr,42,closed,5,2011-12-08 20:43:47,173.98,,1,,"b""b' Indeed", this is occuring when directory is local," but not when it is remote.'""",,,,,,,,,,,,,,,,,,,,,,
