REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,opened,2011-04-05 17:36:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,title,2011-04-05 17:36:51,00:00,,1,,"b""b' fix git_treebuilder_insert probrem.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,body,2011-04-05 17:36:51,00:00,,,1,"b'b"" couldn\'t add new entry when inserting new one with  . by the way", does zlib settings something diffrence?original tree object started 0x0178,  but started 0x9c78.. these files can read correctry so its not a proprem. just share this info :D Cheers,"Shuhei""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,1,2011-04-05 17:36:51,26.52,,,1,"b""b' Nice spotting"," thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,closed,2011-04-08 18:03:22,26.52,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,2,2011-04-05 17:36:51,0.9,,1,,"b'b"" Hm. Looking into the different SHA1", it shouldn\'t happen. I think it\'s because the ordering is different for the old and the new SHA1 OIDS," but I don\'t know which one is the proper one.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,reopened,2011-04-08 18:04:22,1.0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,3,2011-04-05 17:36:51,85.9,,,1,"b'b"" Yo", fixed the issue with the different trees. It turns out we were using a higher compression level than we used to," so the compressed object was different. I\'ve rolled back to  . Cheerios!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,closed,2011-04-10 19:30:10,85.8,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,4,2011-04-05 17:36:51,243.18,,,1,"b""b' i got it. thank you for your help!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,121,closed,-,-,-,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,opened,2011-04-07 17:36:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,title,2011-04-07 17:36:22,00:00,,1,,"b""b' git_tree_entry_byname fails apparently because of wrong sort order (in some cases)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libgit2,127,closed,body,2011-04-07 17:36:22,00:00,,1,,b'b\' git_tree_entry_byname returns NULL when it should not in some specific cases. Apparentlythis is because the sort order of the tree is wrong, for instance with libgit2, within the \\\'include\\\' folder, the entries are ordered this way: While it should be the inverse," first the shortest string. And then bsearch fails (in function git_vector_bsearch2). Below a test program that reproduces the problem. It prints ""git2.h not found"" while it should print ""git2.h found"".  \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
