REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,
libuv,3,closed,opened,2011-04-18 05:07:58,,,,,,,,,,,,,,,,,
libuv,3,closed,title,2011-04-18 05:07:58,00:00,,1,,"b'b"" check that echo_server doesn\'t return non-zero during ping_pong test""'",,,,,,,,,,,,
libuv,3,closed,body,2011-04-18 05:07:58,00:00,,1,,"b'b\' test-runner bug it should fail if a helper fails.@gissues:{""order"":75","status"":""backlog""}\''
libuv	3	closed	1	piscisaureus	2011-04-18 05:07:58	286.88		+1		b""b' Then there needs to be a way to gracefully shutdown echo_server.'",,,,,,,,,,,
libuv,3,closed,closed,2011-04-18 09:54:51,286.88,0,3,0,,,,,,,,,,,,,
libuv,3,closed,reopened,2011-04-18 09:58:09,3.3,0,3,0,,,,,,,,,,,,,
libuv,3,closed,2,2011-04-18 05:07:58,14.48,,,1,"b""b' not necessarilyyou can use the process_wait with a small timeout on each of the helpers after the main process exits. if process_wait has not timed out then kill the helper and assume everything is fine. '""",,,,,,,,,,,,
libuv,3,closed,closed,2011-04-18 10:19:25,21.27,0,3,1,,,,,,,,,,,,,
libuv,3,closed,reopened,2011-04-18 10:30:27,11.03,0,3,1,,,,,,,,,,,,,
libuv,3,closed,3,2011-04-18 05:07:58,21.55,1,,,"b'b"" sorry above was accidentally pushed. it\'s not in the history any longer""'",,,,,,,,,,,,
libuv,3,closed,4,2011-04-18 05:07:58,2.05,,1,,"b""b' something like this url  would catch crash errors from echo_server'""",,,,,,,,,,,,
libuv,3,closed,5,2011-04-18 05:07:58,8.88,,,1,"b'b"" Looks good. should we change process_wait to not take a vector? We\'re not using it anyway.Is the race condition intentional? During the process can still exit gracefully. But if that happens the timeouts in are probably wrong"," so it\'s good that ASSERT(result != 0); fails.""'",,,,,,,,,,,
libuv,3,closed,6,2011-04-18 05:07:58,385.22,,1,,"b'b"" let\'s keep the vector. i\'ll land this once i figure out how to wait with timeouts in unix it\'s not so easy.""'",,,,,,,,,,,,
libuv,3,closed,7,2011-04-18 05:07:58,914.6,1,,,"b""b' Closing old stalled issues"," please reopen at url  if still needed.'""",,,,,,,,,,,
libuv,3,closed,closed,2014-11-26 08:21:38,1311.18,2,5,2,,,,,,,,,,,,,
libuv,3,closed,-,-,-,2,5,2,,,,,,,,,,,,,
libuv,4,closed,opened,2011-04-18 05:08:43,,,,,,,,,,,,,,,,,
libuv,4,closed,title,2011-04-18 05:08:43,00:00,,1,,"b""b' class structure for uv_handle_t like in ev_watcher'""",,,,,,,,,,,,
libuv,4,closed,body,2011-04-18 05:08:43,00:00,,1,,"b""b'   oio_tcp_handle  oio_npipe_handle  oio_file_handle  oio_tty_handle  oio_timer_handle ?'""",,,,,,,,,,,,
libuv,4,closed,1,2011-04-18 05:08:43,288.55,,1,,"b""b' yes'""",,,,,,,,,,,,
libuv,4,closed,closed,2011-04-18 09:57:16,288.55,0,3,0,,,,,,,,,,,,,
libuv,4,closed,reopened,2011-04-18 09:57:53,0.62,0,3,0,,,,,,,,,,,,,
libuv,4,closed,2,2011-04-18 05:08:43,170.28,,1,,"b""b' No timer handleThe drawback of having multiple handle classes is that you need multiple oio_read and oio_write implementations _or_ the user needs to cast every time read / write is called.'""",,,,,,,,,,,,
libuv,4,closed,3,2011-04-18 05:08:43,260.5,,1,,"b'b"" casting isn\'t a big deal""'",,,,,,,,,,,,
libuv,4,closed,closed,2011-06-03 09:05:06,1387.22,0,5,0,,,,,,,,,,,,,
libuv,4,closed,-,-,-,0,5,0,,,,,,,,,,,,,
libuv,12,closed,opened,2011-04-18 06:01:04,,,,,,,,,,,,,,,,,
libuv,12,closed,title,2011-04-18 06:01:04,00:00,,1,,"b""b' close_cb_stack should be in a file of similar name'""",,,,,,,,,,,,
libuv,12,closed,body,2011-04-18 06:01:04,00:00,,1,,"b""b' that is"," rename  '""",,,,,,,,,,,
