REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,
memcached,31,closed,opened,2012-12-04 19:25:10,,,,,,,,,,,,,
memcached,31,closed,title,2012-12-04 19:25:10,00:00,,1,,b'b\' Fix segfault if memcached recieved next string," that did ""c->rlbytes"" not correct int number.\''",,,,,,,
memcached,31,closed,body,2012-12-04 19:25:10,00:00,,1,,"b""b'   Patch was written by sherlockhua@163.com.I just did refactoring. Issue at url '""",,,,,,,,
memcached,31,closed,1,2012-12-04 19:25:10,2.73,,1,,"b""b' Already have #4 issue.'""",,,,,,,,
memcached,31,closed,closed,2012-12-04 19:27:54,2.73,0,3,0,,,,,,,,,
memcached,31,closed,reopened,2012-12-04 20:17:51,49.95,0,3,0,,,,,,,,,
memcached,31,closed,2,2012-12-04 19:25:10,370.32,,1,,"b""b' Closing this out... I picked another patch which had a test.'""",,,,,,,,
memcached,31,closed,closed,2013-12-09 01:38:13,320.37,0,4,0,,,,,,,,,
memcached,31,closed,-,-,-,0,4,0,,,,,,,,,
memcached,36,closed,opened,2013-01-24 19:33:13,,,,,,,,,,,,,
memcached,36,closed,title,2013-01-24 19:33:13,00:00,,1,,"b""b' Record and report on time spent in listen_disabled'""",,,,,,,,
memcached,36,closed,body,2013-01-24 19:33:13,00:00,,,1,"b'b"" Hi.  We had some issues on production where we were in a listen_disabled state and it would have been operationally useful to know how long the server was in this state across the various events. I\'ve written a patch which reports on the time the server is in the listen_disabled state in microseconds. Thanks for your time! zwischenzugs""'",,,,,,,,
memcached,36,closed,closed,2013-12-10 13:09:08,1055.92,0,1,1,,,,,,,,,
memcached,36,closed,1,2013-01-24 19:33:13,1403.22,,1,,"b""b' Why did you close this?'""",,,,,,,,
memcached,36,closed,2,2013-01-24 19:33:13,1236.62,,1,,"b'b"" It was so old I\'d assumed it had been rejected. Do you want me to re-open? On Tue", Dec 10, 2013 at 6:56 PM," dormando notifications@ wrote:""'",,,,,
memcached,36,closed,reopened,2013-12-14 15:36:50,147.7,0,3,1,,,,,,,,,
memcached,36,closed,3,2013-01-24 19:33:13,286.22,,1,,"b'b"" No"," I just suck. I did a bunch of the PR\'s last week. Have a lot more left.""'",,,,,,,
memcached,36,closed,4,2013-01-24 19:33:13,4.78,,,1,"b""b' Oh OK :) If you need to know the context in which this became important"," let me know. Z'""",,,,,,,
memcached,36,closed,5,2013-01-24 19:33:13,184.82,,,1,"b""b' That might be nice. The current system counts the number of times you end up in this state"," which is the most useful information so far as I can tell. How was the amount of time spent in that state useful to know? They both indicate the same thing.'""",,,,,,,
