REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,
mongo,202,closed,opened,2012-04-05 18:03:13,,,,,,,,,,,,,,,,
mongo,202,closed,title,2012-04-05 18:03:13,00:00,,1,,"b""b' Fix alignment traps on ARMv7'""",,,,,,,,,,,
mongo,202,closed,body,2012-04-05 18:03:13,00:00,,1,,"b""b' Access doubles via a packed struct so the generated code works withunaligned pointers too. The code generated by gcc for i386 and amd64for such an access is identical to the code generated by a directreference. I tried making the patch as clean as possible but some of the expressions got quite elaborate here. So you can take it as an RFC for fixing the last bits of ARM support :)'""",,,,,,,,,,,
mongo,202,closed,1,2012-04-05 18:03:13,39.98,,1,,"b""b' Can you switch the C style casts to C++ style?  Just for the lines you modified; you can leave the others.'""",,,,,,,,,,,
mongo,202,closed,2,2012-04-05 18:03:13,197.32,1,,,"b""b' Right"," I just used the same types of casts as were there before. Nested reinterpreted casts statements will look quite weird :)'""",,,,,,,,,,
mongo,202,closed,closed,2012-04-06 09:46:47,943.57,1,3,0,,,,,,,,,,,,
mongo,202,closed,3,2012-04-05 18:03:13,707.8,1,,,"b""b' I hate git merge conflicts.'""",,,,,,,,,,,
mongo,202,closed,reopened,2012-04-06 09:53:34,6.78,2,3,0,,,,,,,,,,,,
mongo,202,closed,closed,2012-04-06 09:54:08,0.57,2,3,0,,,,,,,,,,,,
mongo,202,closed,-,-,-,2,3,0,,,,,,,,,,,,
mongo,221,closed,opened,2012-05-03 23:50:48,,,,,,,,,,,,,,,,
mongo,221,closed,title,2012-05-03 23:50:48,00:00,,1,,"b""b' SERVER-5399 Essentially aliasing quit", exit," and function call variations. (+ misc cleanup)'""",,,,,,,,,
mongo,221,closed,body,2012-05-03 23:50:48,00:00,,1,,"b""b' Previously", was being implemented as a code in the DB shell, while was being implemented as a shell function.  This meant that both were doing different things, and were called differentlyi.e., could be run as is," whereas had to be called as a function. '""",,,,,,
mongo,221,closed,1,2012-05-03 23:50:48,894.42,,,1,"b'b"" Thanks", Andrew.  I\'ve squashed these commits into one, and edited the comment," but have applied your code to the  repo.  It\'s been a pleasure.""'",,,,,,,,
mongo,221,closed,closed,2012-05-04 14:45:13,894.42,0,2,1,,,,,,,,,,,,
mongo,221,closed,reopened,2012-05-04 20:01:56,316.72,0,2,1,,,,,,,,,,,,
mongo,221,closed,2,2012-05-03 23:50:48,316.75,1,,,"b'b"" Sorry", this patch breaks multi-line editing in the shell.  See SERVER-5764, which was resolved by rolling this change back. The shell line processing logic is unfortunately more spaghetti than I realized, and of course there\'s no document specifying expected behavior for these cases. Anyhow, if you want to dig further and see how to preserve multi-line editing in the face of this, the whole input processing module is fair game for reexamination.  I don\'t know what your interest level is," but I can try to get someone over here to draft a spec for how they think shell input is supposed to work.""'",,,,,
mongo,221,closed,3,2012-05-03 23:50:48,36.82,1,,,"b'b"" I will take a look at it.  I worked with MongoDB at Wireless Generation fora while", so I\'ve had quite a bit of first hand experience with it.  Plus,Mike Fiedler and Dan Crosta are both former coworkers. :)  On the otherhand, I have also been out of the c++ game for some time now, and I\'m usingthis as an excuse to broaden my knowledge.  Not to mention, I lovecontributing and helping other people, so even though I will likely neveruse any of these features in a work setting, I still have the satisfactionof knowing other people will be aided by my contributions! So with my personal message over, I\'ll take a look at this bug and see howit breaks itand whether or not I can fix this! Andrew On Fri, May 4, 2012 at 1:01 PM," Andy Schwerin <reply@""'"
mongo,221,closed,4,2012-05-03 23:50:48,148.78,1,,,"b""b' Looks like the finishCode() call was removed; I have re-added it and verified that multiline editing works as intended.  Apologies for not catching this earlier!'""",,,,,,,,,,,
mongo,221,closed,5,2012-05-03 23:50:48,1073.97,,1,,"b""b' @andy10gen: When you get a chance"," this will re-introduce multi-line editing.  I had previously removed the code and not noticed it in the diff.'""",,,,,,,,,,
mongo,221,closed,6,2012-05-03 23:50:48,326.62,,,1,"b'b"" Thanks", Andrew.  I\'ll take a look, soon. On Mon, May 21, 2012 at 1:01 PM," Andrew McFague <reply@""'",,,,,,
mongo,221,closed,7,2012-05-03 23:50:48,179.75,1,,,"b'b"" Haven\'t forgotten this"," just swamped w/ some other stuff right now.  Will get back to it.""'",,,,,,,,,,
mongo,221,closed,8,2012-05-03 23:50:48,4.7,,,1,b'b\' No worries, I know you\\\'re a busy man! Thanks for the update, though! :) AndrewOn Jun 6, 2012 6:27 PM,"Andy Schwerin"" <reply@\''
mongo	221	closed	9	ChrisFindlay	2012-05-03 23:50:48	1161.97		+1		b'b\' Just as an FYI, the current version of the master branch includes the bug where ""exit ;"" is an error (note the space).If the above code fixes that then I\\\'d vote for this pull request to be included.\''
mongo	221	closed	10	benety	2012-05-03 23:50:48	1419.68		+1		b""b' url '",,,,,,,
mongo,221,closed,11,2012-05-03 23:50:48,75.87,,1,,"b'b"" I just realised why I\'d never noticed this is a problem before my unix background means I type ^D to exit rather than anything else...  (c:""'",,,,,,,,,,,
mongo,221,closed,12,2012-05-03 23:50:48,914.23,1,,,b'b\' @ChrisFindlay," unfortunately ""exit ;"" (with space) still doesn\\\'t work.\''",,,,,,,,,,
mongo,221,closed,closed,2015-01-16 20:55:50,53.9,5,6,3,,,,,,,,,,,,
mongo,221,closed,13,2012-05-03 23:50:48,472.3,,,1,"b""b' @amcfague"," This is merged in url  Thank you for contributing to MongoDB!Ben'""",,,,,,,,,,
mongo,221,closed,14,2012-05-03 23:50:48,655.48,,1,,"b""b' Reverted in url  See: url '""",,,,,,,,,,,
mongo,221,closed,15,2012-05-03 23:50:48,659.35,,1,,"b'b"" This pull request is almost 3 years old; I\'m not surprised it\'s broken with the latest version.  I\'m honestly surprised it merged cleanly at all.  I\'d consider this discarded.""'",,,,,,,,,,,
mongo,221,closed,16,2012-05-03 23:50:48,61.2,,1,,"b""b' There were some merge conflicts we had to resolve while rebasing this. Probably broke something while rebasing it.'""",,,,,,,,,,,
mongo,221,closed,-,-,-,5,9,4,,,,,,,,,,,,
mongo,275,open,opened,2012-08-01 12:22:53,,,,,,,,,,,,,,,,
mongo,275,open,title,2012-08-01 12:22:53,00:00,,1,,"b""b' SERVER-2541 Windows performance counters implemented'""",,,,,,,,,,,
mongo,275,open,body,2012-08-01 12:22:53,00:00,,,1,"b'b\' Fully functional windows performance counters imlpemented as a  Module. See README. See jira SERVER-2541 for some additional notes.No Visual Studio project file have been updated. (I can\\\'t do that with VS Express).I didn\\\'t make use of this new """" infrastructure mostly because of my incompetence: new to scons", new to python, didn\\\'t like both. 8-)There is a new artifact that needs to be distributed along with : . I didn\\\'t look into that (packaging). Thanks\'',,,,,,,,,
mongo,275,open,1,2012-08-01 12:22:53,625.18,,,1,"b""b' Tad"," if you are interested in this patch please let me know if I can help. Best regards.'""",,,,,,,,,,
mongo,275,open,2,2012-08-01 12:22:53,154.4,,1,,"b""b' url '""",,,,,,,,,,,
mongo,275,open,closed,2015-09-18 14:36:26,133.55,0,2,2,,,,,,,,,,,,
mongo,275,open,3,2012-08-01 12:22:53,821.18,,1,,"b""b' this was closed by accident'""",,,,,,,,,,,
mongo,275,open,reopened,2015-09-18 15:03:39,27.22,0,3,2,,,,,,,,,,,,
mongo,275,open,-,-,-,0,3,2,,,,,,,,,,,,
mongo,464,closed,opened,2013-07-27 15:25:50,,,,,,,,,,,,,,,,
mongo,464,closed,title,2013-07-27 15:25:50,00:00,,1,,"b""b' SERVER-5044 stdDev agg opt for standard deviation'""",,,,,,,,,,,
mongo,464,closed,body,2013-07-27 15:25:50,00:00,,1,,"b""b' Working standard deviation and variance aggregation operators","implementing algorithm fromurl Unit tests also added. Added the following aggregation operators:$stdDev calculate the standard deviation of the sample$var  calculate the variance of the sample$stdDevPop calculate the standard deviation of the population$varPop  calculate the variance of the population url '""",,,,,,,,,,
mongo,464,closed,1,2013-07-27 15:25:50,106.92,,,1,"b'b"" Hi Michael", Thank you for the pull request! I see that you have signed the contributor\'s agreement," and there is already a SERVER ticket. I will get someone to review your changes as soon as possible.""'",,,,,,,,,
mongo,464,closed,closed,2013-07-29 17:12:45,106.92,0,2,1,,,,,,,,,,,,
mongo,464,closed,reopened,2013-07-29 17:12:55,0.17,0,2,1,,,,,,,,,,,,
mongo,464,closed,2,2013-07-27 15:25:50,762.75,,,1,"b""b' Hi @kangas  We want this feature badly for our project. Is there any scheduled date for this? Thanks!'""",,,,,,,,,,,
mongo,464,closed,3,2013-07-27 15:25:50,655.22,1,,,"b""b' @ranjith19 sorry"," no scheduled date yet'""",,,,,,,,,,
mongo,464,closed,4,2013-07-27 15:25:50,1105.17,,,1,"b""b' Thanks Kangas for the reply. Hope you guys find time to schedule this. Fornow", I might have to make custom binaries for mongo after testing thisfeature. On 28 August 2013 22:21," Matt Kangas notifications@ wrote:'""",,,,,,,,,
mongo,464,closed,5,2013-07-27 15:25:50,583.37,,,1,"b""b' A must have for sure!'""",,,,,,,,,,,
mongo,464,closed,6,2013-07-27 15:25:50,1155.83,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,464,closed,7,2013-07-27 15:25:50,87.78,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,464,closed,8,2013-07-27 15:25:50,964.2,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,464,closed,9,2013-07-27 15:25:50,442.47,,1,,"b""b' +1'""",,,,,,,,,,,
mongo,464,closed,10,2013-07-27 15:25:50,1123.13,,1,,"b""b' We are no longer able to merge this pull request", but the good news is that this feature has been scheduled for the current development cycle and it will be part of the next stable release -please see [SERVER-5044]url  for updates. Regards,"Ram\\xc3\\xb3n.'""",,,,,,,,,
mongo,464,closed,closed,2015-05-27 11:52:40,1119.75,1,7,4,,,,,,,,,,,,
mongo,464,closed,-,-,-,1,7,4,,,,,,,,,,,,
mongo,475,closed,opened,2013-08-24 12:14:32,,,,,,,,,,,,,,,,
mongo,475,closed,title,2013-08-24 12:14:32,00:00,,1,,"b""b' Server 8477 Remove extra return statement in DBException::toString()'""",,,,,,,,,,,
mongo,475,closed,body,2013-08-24 12:14:32,00:00,,1,,"b""b' A patch for jira ticket Server 8477'""",,,,,,,,,,,
