REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,opened,2011-04-01 12:07:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,title,2011-04-01 12:07:48,00:00,,1,,"b""b' Implement a new GC handle profiler.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,body,2011-04-01 12:07:48,00:00,1,,,"b'b"" This profiler was initially developed for Moonlight to diagnose andfix issues where objects were never being GC\'ed due to gchandlesbeing attached to objects and not freed. This profiler is just asuseful for other frameworks which rely on GCHandles to provide memorymanagement facilities such as gtk-sharp. The aim of this profiler is to allow you to easily see how many instancesof each class are being kept alive by GCHandles and also the stacktracefrom where the GCHandle was allocated. The profiler also tracks when instance delegates are passed  nativecode as this can be a severe performance hit if it is done frequently.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,1,2011-04-01 12:07:48,129.15,,1,,"b""b' Question: could we link the object files for mono-mutex.c into the profiler module? That way it would have its own internal copy of the mutex. That being said", my main feedback is: where are the docs for this? ;-) Remember the Mono Team Mantra: if the feature is not documented," it does not exist.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,2,2011-04-01 12:07:48,227.57,,,1,"b'b"" I have some docs written in moonlights README file which can be  into whatever format you like. I just need to know what form this profiler is going to take (standalone or part of the existing log profiler) and what needs to be done to complete it\'s integration with mono. Once that\'s decided on"," the docs can be integrated into the correct area :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,3,2011-04-01 12:07:48,1170.82,,1,,"b""b' @kumpera "," Any chance of getting some movement on this? :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,4,2011-04-01 12:07:48,80.25,,1,,"b""b' @vargaz @kumpera @illupus  Can someone take a look at this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,5,2011-04-01 12:07:48,867.97,,1,,"b""b' Ported this to master:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,6,2011-04-01 12:07:48,139.48,,1,,"b""b' @vargaz can we open a new PR from your branch and close this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono,80,closed,7,2011-04-01 12:07:48,414.17,,1,,"b""b' Was that branch merged? Any updates on this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
