REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,opened,2011-10-13 07:43:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,title,2011-10-13 07:43:47,00:00,,1,,"b""b' Scrollback and alternate screen (was: Use alternate screen on  )'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,body,2011-10-13 07:43:47,00:00,,1,,"b""b' When the remote application uses smcup to enter the alternate screen", the client should put the real terminal in alternate screen mode too," so that for example the mouse wheel lets you scroll in less and emacs and barnowl.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,1,2011-10-13 07:43:47,870.87,1,,,"b""b' Or perhaps the client should always put the real terminal in alternate screen mode"," for much the same reason that curses applications do\\xe2\\x80\\x94the scrollback history it generates in the primary screen isn\\xe2\\x80\\x99t particularly useful anyway.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,2,2011-10-13 07:43:47,1229.12,1,,,"b'b"" In normal use (like line-by-line typing at the shell)", the real-terminal scrollback will be somewhat useful. I\'m not sure I want to give that up completely," although maybe the user would be annoyed that larger prints are only there partially in the scrollback.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,closed,2012-02-27 18:43:46,659.98,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,reopened,2012-02-27 18:43:48,0.03,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,closed,2012-03-06 22:45:07,241.32,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,3,2011-10-13 07:43:47,786.07,1,,,"b""b' Hi", I would like to know if you have any plan on this issue? I think mosh should work just like ssh," that it will enter smcup mode when the remote application requests so. I find it quite annoying when I use vim to open a large file and it leaves a lot of scrollbacks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,reopened,2012-04-16 04:59:35,374.47,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,4,2011-10-13 07:43:47,1311.38,,1,,b'b\' Here is the current proposed solution: (a) mosh-client puts the terminal in the alternate screen for the whole time (b) mosh-server interprets  the way xterm does," so people\\\'s ""vim"" continues to work the same as in xterm (or in screen with altscreen enabled) (c) we grab control-pgUp and control-PgDown for our own devious ends (providing proper scrollback).\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,5,2011-10-13 07:43:47,4.48,,1,,"b""b' Sounds reasonable to me.  I proposed the following modifications to (c):we also grab Ctrl-Up and Ctrl-Down (since this is what Ctrl-wheel sends in gnome-terminal)but we don\\xe2\\x80\\x99t grab any keys for scrollback while the inner application is inside an alternate screen.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,6,2011-10-13 07:43:47,1375.77,,,1,"b'b"" Do I understand correctly that the plan here is to provide scrollback similar to what a regular terminal provides?  That is", if I run a command with a lot of output," I can reliably scroll back with my terminal\'s scrollbars to see everything that was output by that command?  That is a really important usability issue for me.  Thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,7,2011-10-13 07:43:47,620.58,,1,,"b'b"" Yes", Scott, that\'s the plan," although you won\'t be able to use your local terminal\'s scroll bars. For now you can use screen or tmux on the server side to get this feature.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,8,2011-10-13 07:43:47,406.73,,,1,"b""b' This is a cool idea. Is it possible to support mousewheel too?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,9,2011-10-13 07:43:47,18.13,,1,,"b'b"" Yes", if we do it with Anders\'s amendment," it will support the mouse wheel.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,10,2011-10-13 07:43:47,892.32,,1,,"b'b"" Agreed. This is the only significant issue with Mosh at the moment. It\'s the only issue that has tainted my experience. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,11,2011-10-13 07:43:47,1207.98,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,12,2011-10-13 07:43:47,708.25,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,13,2011-10-13 07:43:47,1111.63,,,1,"b'b"" I agree. I\'d much rather read a whole page of PGP garbage :)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,14,2011-10-13 07:43:47,371.17,,1,,"b'b"" +1 (I ... just ... couldn\'t resist ...)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,15,2011-10-13 07:43:47,22.85,,1,,"b""b' +1 to that'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,16,2011-10-13 07:43:47,1295.25,,1,,"b""b' +1 for fixing scrollback in mosh (showstopper for me) -2 Mkaysi'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,17,2011-10-13 07:43:47,520.37,,1,,"b""b' +1"," I sometimes a file on the server to copy it locally and not supporting scroll back prevents this.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,18,2011-10-13 07:43:47,369.52,,1,,"b""b' +1 for fixing scrollback (the only real problem with mosh so far).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,19,2011-10-13 07:43:47,330.65,,1,,b'b\' +1 for fixing scrollback, -1 for mkaysi," I wonder why mosh can\\\'t just behave like ssh on this. I have huge directories I ""ls"" all day so I have to use ssh.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,20,2011-10-13 07:43:47,1267.93,,,1,b'b\' @ubershmekel: You could use or on the remote side for scrollback.  Or simply  .I\\\'m glad you asked. :) SSH is simply conveying a stream of bytes from server to client; it doesn\\\'t care what the bytes represent.  So the local terminal (XTerm or what-not) gets the entire history in order, and can scroll. By contrast, Mosh tracks the _current_ state of the terminal on the _server_ side, and then synchronizes this representation between client and server.  This is the key design decision which enables Mosh\\\'s unique features -roaming, local echo, and better utilization of bad connections.  On the other hand, it complicates some things which are simple in SSH\\\'s world of carrying bytes in order. To support scrollback we will need to add history to this terminal state object, and augment the protocol so the client can request bits of history on demand, as the user scrolls.  (Without doing it on demand, we lose a key advantage of Mosh over SSH," which is that commands which spew output will update at a fixed ""framerate"" rather than lagging the connection.) This is certainly doable"," and is obviously something that a lot of people want.  But it\\\'s not really ""just do the same as SSH"" and it\\\'s not a trivial change.  In the meantime", I think running or on the server side is a fine workaround (and has many other advantages).\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,21,2011-10-13 07:43:47,618.73,1,,,"b""b' I must say that running on the server was exactly the thing I hoped to avoid with mosh. This is what I was doing with SSH when I was afraid that connection will be broken because of IP change or something. With mosh I hoped that I could just run it and everything else would be cared automatically. You could maybe even integrate mosh with screen. :-)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,22,2011-10-13 07:43:47,258.78,,,1,"b""b' @kmcallister  I wonder if mosh could grow an alternate mode where it skips all the pty magic and just acts like regular ssh. This would of course remove the benefit of latency optimization"," but I believe many people (at least myself) are only interested in the connection-persistence anyway. In this mode a display would be restored simply by playing back the last n bytes unconditionally. Keeping track of the  buffer offsets in order to trigger the right amount of playback at the right times should actually be fairly easy then...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,23,2011-10-13 07:43:47,22.82,,,1,"b""b' You can run This also helps with another problem.  If a dies unexpectedly (say", because the client machine lost power), the corresponding will hang around uselessly.  But running will cause the other process to exit," killing that old  .  You can of course make this more sophisticated with named sessions and such.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,24,2011-10-13 07:43:47,1.83,,1,,"b'b"" @m-o-e: What you describe is doable"," but I\'m reluctant to add alternative modes to Mosh which fundamentally change the operating principle.  Perhaps something like [autossh]url  would meet your needs?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,25,2011-10-13 07:43:47,107.75,,1,,b'b\' I tried using Mosh for the connection persistence, and nothing I read prior to using it gave me a clear indication that it was anything but an ordinary shell with an improved transport.  When Mosh discarded some important output I had no idea what was going on, and I wasted a few days (calendar time, several hours actual troubleshooting time) looking at everything else because it didn\\\'t occur to me that a tool for persistent connections and better latency would also throw away my data.  After that, I can\\\'t trust you, not because the way Mosh works is unreasonable, but because the way it is described fails to convey that you can\\\'t count on receiving the complete output of any command.  (I suspect it also fails to convey the goals that drove the decision to make it work that way, but that\\\'s not important.)  At the very least, the conditions for discarding data should be given a prominent position where no new user who reads anything about Mosh could reasonably fail to miss it.  If I had read such a notice before my output was lost," even if I hadn\\\'t understood the warning I would have traded those days of aggravation with a moment of ""Oh _that_\\\'s what that meant!"" \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,26,2011-10-13 07:43:47,8.13,,,1,"b'b"" I cannot agree with Polyergic. I think site is nicely done and also interface with the underlined characters nicely tell that there is some prediction being done. I didn\'t have problems of not understanding what is happening. The only thing which surprised me was that still didn\'t make output work as I was used. So I would maybe just urgue for a switch (I can then bash-alias) which would transfer everything. It can still predict. So I see three options here:prediction + not transfer everything (useful for high latency", low bandwidth links)prediction + transfer everything (useful for high latency, high bandwidth links)no prediction + not transfer everything (useful for just connection persistence) I fall into 2. category. Trans-Atlantic links to Europe have 100ms latency," but they are fast. I would rename mosh to tash in this case: trans-atlantic shell. :-)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,27,2011-10-13 07:43:47,404.7,1,,,"b'b"" @kmcallister  Emulating a terminal (screen) inside an emulated terminal (mosh)", in orderto emulate native functionality (scrollback) of the enclosing terminal emulator(xterm, iterm) does not and can not possibly result in an acceptable user experience. That is the underlying problem here. Of course neither is mosh to blame for 30 years of stagnation in the terminal emulator business, nor can it cleanlyresolve the situation from where it\'s currently sitting in the stack. Hence my proposal of a \'dumb-mode\'," as a short-term bandaidfor the next few decades.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,28,2011-10-13 07:43:47,5.7,,,1,"b'b"" @mitar", I don\'t see any disagreement between what I said and what you said; restating things tersely," what I see is this: I said: Mosh loses data in an unexpected way; descriptions of Mosh should set expectations to match its behavior. You said:  The Mosh website is nice; the prediction indicators are nice; an option to transfer everything would be nice. What am I missing?  Did you see a clear notice somewhere that Mosh won\'t keep all of the output of your commands?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,29,2011-10-13 07:43:47,255.83,,1,,"b""b' @m-o-eWell", could you describe what about the user experience is unacceptable?  This would be useful information for us. In general," the world of computers is full of apparently ridiculous levels of nesting and emulation which nevertheless provide a perfectly fine user experience.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,30,2011-10-13 07:43:47,42.93,1,,,"b'b"" @kmcallister  Foremost the frankenstack does not support native scrolling. That\'s a showstopper.\'copy-mode\' and virtual scrolling hacks are no substitute. There\'s also a plethora of more subtleissues", but you (as the author of a terminal emulator) don\'t need me to tell you about those. ;) As said, I\'m not blaming mosh for the ridiculous terminal-situation of today that\'s been diresince long before mosh even existed. Given the project scope mosh had little choice otherthan crouch on the shoulders of gnomes, like everyone else, and for that it isn\'t even faring too bad. I\'m just saying that with the supposed \'dumb\'-mode mosh might work for those of us who haveno problems with latency and who would like the persistence, but can not tolerate a broken scrollback. A bandaid on top of the bandaid," so to say. Just until someone finally takes a heart and supersedes VT100 terminal emulation altogether...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,31,2011-10-13 07:43:47,6.88,,,1,b'b\' I," also would love to have a ""dumb"" mode that lets me use normal scrollback in my terminal window to look at the history of what I did before or scroll through the output of a large command. I haven\\\'t done vt100 stuff since my BBS days", so please feel free to smack me down, but couldn\\\'t you do both things?  Every time your screen state changes in such a way that you have to scroll a line up off of the screen, couldn\\\'t you just go to the bottom and do a , scrolling the top line off the screen and into scrollback, then continue syncing the screen state like you do now? Clearly, we could lose some output if we go offline and stuff scrolls off the page on the server, but I\\\'d be OK with that.  So long as it worked while I\\\'m online and interacting with the shell," I\\\'d be happy.  I\\\'d be even happier if you kept track of when stuff scrolled off the top on the server side that we didn\\\'t see and scrolled off some sort of marker like ""mosh:  60 lines scrolled on server while you were offline""", but that\\\'s certainly in bonus round territory.  :-) To be clear, I\\\'m expressing a preference here.  If it\\\'s hard, and conflicts with your goals, then that\\\'s fine too.  I\\\'ll use mosh regardless, because the stateless connection stuff really complements the way I work.  :-)  Thanks for creating this!\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,32,2011-10-13 07:43:47,425.88,,,1,"b'b"" @timspencer I think what you\'re suggesting sounds reasonable but may not be easy to implement.  My understanding is that mosh doesn\'t keep track of the byte stream", it just looks at the current state of the terminal and computes a diff with the previous state, and sends updates to the client, periodically.  If you  , the screen will be updating very quickly, but mosh won\'t send _everything_ to the client, it\'ll just take regular snapshots and send diffs.  At least that\'s my understanding, I haven\'t read the source code. Having said that," it would be awesome indeed to have a streaming mode where mosh just streams everything and only does connection persistent plus its prediction things.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,33,2011-10-13 07:43:47,1344.78,,,1,"b""b' Can we separate this into two issues?  The issue I reported is that mosh should put the terminal into alternate screen mode.  This is a clear bugfix that we can implement today.  It\\xe2\\x80\\x99s required for gnome-terminal\\xe2\\x80\\x99s mouse-wheel-to-arrow-key emulation in curses applications.  (Don\\xe2\\x80\\x99t confuse that with the fancier xterm mouse-event protocol that nobody uses.) The second issue that\\xe2\\x80\\x99s grown out of this thread is that mosh doesn\\xe2\\x80\\x99t support useful scrollback history.  It\\xe2\\x80\\x99s true that one side effect of putting the terminal into alternate screen mode would be that mosh\\xe2\\x80\\x99s useless scrollback history would become inaccessible.  I consider that a feature", not a bug.  If we later want to go put a lot of work into designing a system to add useful scrollback, that would be awesome.  But that\\xe2\\x80\\x99s a totally separate feature request, and it\\xe2\\x80\\x99s not needed for what I understand to be the common case where the user is just running inside anyway.  I propose reopening #122 for that. We should fix mosh now to put the terminal into alternate screen mode," with a command-line switch to disable it (like  ) for people who think broken scrollback is more important than a working mouse wheel.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,34,2011-10-13 07:43:47,458.37,,1,,"b'b"" Anders", ok," I\'m sold on this for 1.2.4 if it just means adding smcup and rmcup to Terminal::Emulator::open() and Terminal::Emulator::close(). Would you be willing to submit a pull request? (I assume we want the actual terminfo calls to remain in ).""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,35,2011-10-13 07:43:47,1121.43,1,,,"b'b"" I consider gnome-terminal\'s mouse wheel to arrow key emulation to be a horrible bug. There are lots of people who agree with me: url  Unfortunately", the GNOME developers do not agree with the bug interpretation, and neither it seems does andersk. I will try to convince you (futilely, I suspect) that it is indeed a horrible bug. The reason why mapping wheel events to arrow keys is bad is because scrolling the mouse wheel is supposed to be a _nondestructive_ operation. My mental model of the mouse wheel is that scrolling the wheel is supposed to only change your view of the terminal scroll buffer. It should never alter the terminal state itself. Unfortunately, in many situations, such as IRC clients and many other scenarios which are mentioned in the GNOME bugzilla thread, the GNOME behavior of emulating arrow keys does in fact result in permanent loss of an application\'s input buffer state whenever the mouse wheel is bumped. For example say I am in the middle of typing a line when I bump the mouse wheel. The mouse wheel infuriatingly triggers a keyboard arrow press, which wipes out the line that I was typing. Fixing the individual applications is problematic given the large number of applications that exhibit the problem. The fact that mosh fails to use alternate screen mode has been a huge blessing for me, because it means that accidental mouse wheel events don\'t destroy IRC client state from inside mosh. Since all of my IRC client usage occurs within mosh, this (unintended?) feature of mosh completely neutralizes the underlying GNOME bug for me. I would be very sad to see this behavior go away. If you do choose to implement this completely demented idea, please (as andersk suggests) provide a switch to disable it. It\'s not that I prefer broken scrollback. It\'s that I hate data loss above all other considerations, and unwanted arrow keys result in data loss. (Regarding the second issue in this bug, wherein mosh causes data loss of scrollback contents," I of course strongly support any efforts to change mosh to preserve scrollback data. There is nothing in the world that is more important than avoiding data loss.)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,36,2011-10-13 07:43:47,9.45,,1,,"b""b' davidjao: gnome-terminal already provides a checkbox (Edit \\xe2\\x86\\x92 Profile Preferences \\xe2\\x86\\x92 Scrolling \\xe2\\x86\\x92 Use keystrokes to scroll on alternate screen) to disable the arrow key emulation entirely.  But nobody disagrees that there might as well be a command line switch for those who need to work around this on a per-application basis for some reason.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,37,2011-10-13 07:43:47,5.32,1,,,"b'b"" This checkbox only exists on Ubuntu and derivatives of Ubuntu. It is not included in the upstream gnome-terminal", and other distributions such as Fedora, Debian, Arch, etc. do not provide it. Of course you can patch it in yourself," but that is a pain. I understand that we all agree a command line switch is desirable but I am worried that it might be left out or regarded as unimportant. That\'s why I wanted to comment on why it is important.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,closed,2013-03-10 20:10:05,910.5,8,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,38,2011-10-13 07:43:47,1231.55,,,1,"b'b"" Thanks everyone", the no-init option works perfectly to disable alternate screen mode for those of us who don\'t want it. In the spirit of keeping the documentation up to date," could we mention in the man page (in the ENVIRONMENT VARIABLES section) that the MOSH_NO_TERM_INIT variable inhibits ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,39,2011-10-13 07:43:47,679.53,,1,,"b'b\' For me the ""no-init"" option doesn\\\'t resolve the scrollback problem with mouse wheel.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,40,2011-10-13 07:43:47,717.47,,,1,"b'b\' ""no-init"" is completely broken here with the XFCE terminal: some part of the output is forgotten in history", and the scrollbar gets updated inconsistently. Why can\\\'t mosh just behave as ssh does? Being opinionated is fine, but it would also be nice to benefit from the networking improvements without having different terminal emulation decisions forced on the user.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,41,2011-10-13 07:43:47,1380.73,,,1,"b""b' The workaround works. What would be the equivalent command for using tmux instead of screen and ensuring no tmux processes are left behind when I disconnect? Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,42,2011-10-13 07:43:47,902.42,,,1,"b""b' Actually I spoke too soon. The screen workaround has issues. If I use it in two separate terminal windows", one after the other," the second window hijacks the screen in the first window. Would be great to have scrollback to eliminate the need for this. Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,43,2011-10-13 07:43:47,2.42,,1,,"b""b' @dtenenba", this is not a support forum for tmux and screen. Read the manpages ([tmux(1)]url  [screen(1)]url  especially the parts about the option to  , and the  ,  ," options to  .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,44,2011-10-13 07:43:47,645.28,,,1,"b'b"" I would like to call [this article]url  into attention. It describes a nice simple setup combining and resulting in a working scrollback history (with mouse) on terminals supporting xterm mouse. On OS X"," that\'s iTerm or even  with [easySIMBL]url  and [MouseTerm]url  plugin.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,45,2011-10-13 07:43:47,799.87,,1,,"b""b' It seems this is still not really implemented? Running still disables scrolling for me? (Mac OS X with Terminal.)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,46,2011-10-13 07:43:47,1277.93,,,1,"b""b'   only exists to restore the pre-1.2.4 behavior of not disabling the terminal\\xe2\\x80\\x99s scroll bar", to appease those who believed that functionality was being lost. Mosh has never been able to guarantee that the terminal\\xe2\\x80\\x99s scroll buffer will actually be filled with anything, much less anything useful," because of the way it optimizes frame deltas in its state synchronization protocol. See #122.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,47,2011-10-13 07:43:47,1135.85,,,1,"b'b"" It would be really nice if mosh supported scrollback. I\'m using mysql on the server and Describe\'s output is longer than the screen so it\'s impossible for me to see the top. Oh well"," back to ssh I guess.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,48,2011-10-13 07:43:47,121.43,,1,,"b""b' In the mysql cli you can just do and the output will be redirected to instead of being printed directly.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,49,2011-10-13 07:43:47,112.43,,,1,"b""b' @tsuna Thank you! That command is awesome'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,50,2011-10-13 07:43:47,1097.47,,1,,"b""b' any hope that this will be fixed someday?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,51,2011-10-13 07:43:47,1046.82,,1,,"b'b"" The flag sometimes works sometimes doesn\'t. We are hoping to see a native scrollback support with Mosh.  Latest iTerm2 on macOS Sierra 10.12.5""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,52,2011-10-13 07:43:47,1070.72,,1,,"b""b' Yea this is a pretty big deal for me. I will use this once this obvious showstopper is fixed. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,53,2011-10-13 07:43:47,1221.97,,,1,b'b\' Really not sure what all the fuss is about, if you want scrollback use screen or tmux, they are wonderful tools, and using them appropriately will let you do SO much more than trying bolt more features into mosh. The unix philosophy for tools, do one thing well, is PERFECTLY illustrated in this case. url I just tested this on my local machine connecting to another machine. I connect using mosh, reconnect to tmux using as the argument of the connection string, and I\\\'m reconnected to my session with the ability to scroll back through history," scroll my tmux ""window bar"" to go to different panes", in short everything that people have been asking for above WITHOUT any changes to mosh.  If you are scrolling back through previous commands you are probably using only mosh or you are in screen. It does this whether you connect via SSH or mosh," because it uses the ""alternate screen"" itself. I like screen", but tmux is much better for multiple commands and sessions, and handles scrolling and history in a far more sane manner in my opinion.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosh,2,closed,54,2011-10-13 07:43:47,1246.55,,,1,"b'b\' @dragon788 good to hear that. But are you able scroll up using mousebecause you mentioned you\\\'re able to scroll using ""window bar"" which Ithink not an issue here. On Sat", 21 Oct 2017 at 6:26 AM dragon788  wrote:*Eduardo D. Bergavera, Jr.*Linux AdminEmail: edbergavera@OpenID: url ~edbergaveraGithub: url \'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
