REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,
octopress,70,closed,opened,2011-08-03 17:46:09,,,,,,,,,,,,,,,,,,,,
octopress,70,closed,title,2011-08-03 17:46:09,00:00,,1,,"b'b"" Changing port in _ doesn\'t take effect""'",,,,,,,,,,,,,,,
octopress,70,closed,body,2011-08-03 17:46:09,00:00,,1,,"b'b"" Changing the config variable in doesn\'t have any effect when running  :  ""'",,,,,,,,,,,,,,,
octopress,70,closed,1,2011-08-03 17:46:09,593.32,1,,,"b""b' This is a Jekyll issue. Changes to _ cannot be dynamically detected", unfortunately. At least," last I checked.'""",,,,,,,,,,,,,
octopress,70,closed,2,2011-08-03 17:46:09,1136.47,,1,,"b""b' Dynamically detected? I did start the preview server _after_ changing the config.'""",,,,,,,,,,,,,,,
octopress,70,closed,3,2011-08-03 17:46:09,36.93,1,,,"b'b"" Sorry", misread the ticket," and remembered that I\'d been trying to change _ while the Jekyll server was running. :)""'",,,,,,,,,,,,,
octopress,70,closed,4,2011-08-03 17:46:09,955.57,,,1,"b""b' Ah glad you figured that out. Thanks for the assist @eproxus!'""",,,,,,,,,,,,,,,
octopress,70,closed,closed,2011-08-07 15:08:27,1282.3,2,3,1,,,,,,,,,,,,,,,,
octopress,70,closed,5,2011-08-03 17:46:09,65.05,,1,,"b'b"" It wasn\'t my issue", it was eproxus\' issue, and I was offering a tip that wasn\'t quite the use case. I believe @eproxus is saying that even when changing port in _ prior to starting the preview," it always runs on port 4000.""'",,,,,,,,,,,,
octopress,70,closed,reopened,2011-08-07 16:18:43,70.27,2,4,1,,,,,,,,,,,,,,,,
octopress,70,closed,closed,2011-08-07 16:19:03,0.33,2,4,1,,,,,,,,,,,,,,,,
octopress,70,closed,6,2011-08-03 17:46:09,7.23,,1,,"b'b"" Thanks! I\'m sorry I misunderstood", turns out I had the config variable wrong, it\'s supposed to be but I had instead. Thanks for helping me find the error, the fix is pushed to master," and the docs will be updated soon.""'",,,,,,,,,,,
octopress,70,closed,7,2011-08-03 17:46:09,339.52,,,1,"b""b' Awesome! Thanks!'""",,,,,,,,,,,,,,,
octopress,70,closed,-,-,-,2,5,2,,,,,,,,,,,,,,,,
octopress,92,closed,opened,2011-08-12 13:55:31,,,,,,,,,,,,,,,,,,,,
octopress,92,closed,title,2011-08-12 13:55:31,00:00,,1,,"b""b' Information disclosure in Rakefile'""",,,,,,,,,,,,,,,
octopress,92,closed,body,2011-08-12 13:55:31,00:00,,,1,"b'b"" While the rake file does not contain a password for rsync deployment", it does disclose your ssh username and path information about the configuration of your server. The Rakefile is available in your repo, which for most folks is public. I don\'t think this is a glaring security bug, but it\'s an information disclosure I\'m not 100% comfortable with. For some folks, it could be indirectly expositing their email addresses for all to find. How about moving connection information into a separate config file that is git ignored? Provide a rake task (  ?) to generate this configuration file. If is run without that configuration in place," it should automatically kick off the config rake task.  What do you think? Is this solution worth pursuing or is there a better way to go about it?""'",,,,,,,,,,
octopress,92,closed,1,2011-08-12 13:55:31,6.58,,,1,"b'b"" Good call"," I like it. Are you offering to send a pull request or just a suggestion? I\'ll take either :)""'",,,,,,,,,,,,,,
octopress,92,closed,2,2011-08-12 13:55:31,7.88,,1,,"b'b"" It\'s on my my list of things to do"," but I can\'t promise I\'ll get to it. Maybe this weekend. I noticed that there\'s some discussion about converting the rake file to thor should I base my work on that?""'",,,,,,,,,,,,,,
octopress,92,closed,3,2011-08-12 13:55:31,100.53,,,1,"b'b"" You\'re quite thorough :) thanks for poking around and being awesome. I\'m hoping to be using Thor soon"," but it still makes sense to read from an external config which is gitignored. We can do this in any order. I may have a look at it tonight.""'",,,,,,,,,,,,,,
octopress,92,closed,4,2011-08-12 13:55:31,48.55,,,1,"b'b"" As for username disclosure", you can use a setting in to set the username. For instance, Which will cause your SSH client to default to that user when connecting to that host. It\'s not perfect, but I use it a lot. You can still connect with another user in your day-to-day use by  -prefixing the username like normal. As another example," I also have this line in my SSH config: So I never have to type in the username to use Github. It\'s kinda nifty and saves some time.""'",,,,,,,,,,,
octopress,92,closed,5,2011-08-12 13:55:31,1189.0,,,1,"b'b"" @fsdev-cmiller thanks for the heads up. That\'s really nice to know.""'",,,,,,,,,,,,,,,
