REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,opened,2010-02-13 14:15:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,title,2010-02-13 14:15:25,00:00,,1,,"b""b' TTF type rendering in OF fix fuzziness '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,body,2010-02-13 14:15:25,00:00,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,1,2010-02-13 14:15:25,96.53,,,1,"b""b' there are still some issues with this. also with some fonts I notice edges being clipped. I think we need to do a complete revamp of ofTTF"," it needs some serious love.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,2,2010-02-13 14:15:25,211.8,,1,,"b""b' @ofTheo @bakercp with the recent restructuring of OF typography"," can we close this?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,3,2010-02-13 14:15:25,7.33,,1,,"b'b"" Hi @bilderbuchi which recent restructuring are you referring to?  I\'m still working on ofFont", but it is not ready for prime-time yet.  Once it is," then this will likely be fixed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,4,2010-02-13 14:15:25,6.18,,,1,"b""b' yeah", I meant the currently underway restructuring. Thx for the update! Do you expect that work to be finished within the next, say," 2 months?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,5,2010-02-13 14:15:25,7.18,,1,,"b'b"" 2 months is very plausible.  Much of my initial work was on hold while I overhauled rectangle support", alignment, etc," which was needed to move forward for some of my font layout work.  It\'s def next on my personal oF dev TODO list.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,6,2010-02-13 14:15:25,34.77,,,1,"b'b"" great! I\'ll leave this in the 0073 milestone"," then.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,7,2010-02-13 14:15:25,715.85,,,1,"b""b' hey @bakercp", not sure if this is the correct place to be asking this but, i recently built a project for oF that had to support iPad 3 (retina) and iPad 2. for this it was very useful to be able to set the DPI that the font was rendered and then drawn at, while leaving the screen units the same. ie, the point resolution of the screen was always 1024x768 but on ipad 3 there were four pixels to every point," and the font knew to draw itself by scaling the underlying textures to 50% to make this work.. i hope you follow! anyway it would be good to make that work in the new ofFont.  also what would be good is easy crisp fonts at low point sizes. with ofTrueTypeFont i made a number of hacks to achieve multi-line 12 point Helvetica rendering without artefacts: 1. round the line height to whole number (force y to integer)2. force the glyphs to be drawn at integer pixel locations (force x to integer)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,8,2010-02-13 14:15:25,236.1,,1,,"b""b' Closed by 23383d8'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,closed,2013-07-19 12:11:10,1315.75,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openFrameworks,124,closed,9,2010-02-13 14:15:25,111.98,,1,,"b'b"" hey", doesn\'t seem like this is related with that commit," i probably added a wrong Closes... i\'m reopening this again""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
