REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,
phpunit,74,closed,opened,2010-11-16 17:35:23,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,74,closed,title,2010-11-16 17:35:23,00:00,,1,,"b""b' catchable fatal error in 3.5'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,body,2010-11-16 17:35:23,00:00,,1,,"b""b' Catchable fatal error: Argument 2 passed to PHPUnit_Framework_TestResult::addError() must be an instance of Exception", instance of __PHP_Incomplete_Class given," called in / on line 222 and defined in / on line 237 Using the command-line test runner'""",,,,,,,,,,,,,,,,,
phpunit,74,closed,1,2010-11-16 17:35:23,774.0,,1,,"b""b' I will need a small reproducing test case to investigate this further.'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,2,2010-11-16 17:35:23,921.43,,,1,"b'b"" I\'ve made hours worth of changes since then and worked around the problem"," but (I believe) it centered around trying to (erroneously) throw an abstract Exception class. I\'m continuing to dig through my change logs and if I can roll back to a non-working state and isolate this I\'ll let you know. Thanks. ""'",,,,,,,,,,,,,,,,,,
phpunit,74,closed,3,2010-11-16 17:35:23,1385.8,,1,,"b'b\' here is the recipe::<?phpclass TestException extends Exception {}function doThrow() {    throw new TestException(""BLA"");} //EOF:<?phprequire_once(\\\'\\\');class phpunitTestBase extends PHPUnit_Framework_TestCase {    protected function setUp() {      require_once(\\\'\\\');    }}class phpunitTest extends phpunitTestBase {    public function testSomething() {      doThrow();    }} //EOF test with:phpunit process-isolation  PHPUnit 3.5.3 by Sebastian Bergmann. PHP Catchable fatal error:  Argument 2 passed to PHPUnit_Framework_TestResult::addError() must be an instance of Exception", instance of __PHP_Incomplete_Class given, called in / on line 235 and defined in / on line 237 Catchable fatal error: Argument 2 passed to PHPUnit_Framework_TestResult::addError() must be an instance of Exception, instance of __PHP_Incomplete_Class given, called in / on line 235 and defined in / on line 237 feel free to ask if you need more info ;)\'',,,,,,,,,,,,,,,
phpunit,74,closed,4,2010-11-16 17:35:23,818.42,,1,,"b""b' Should be fixed.'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,5,2010-11-16 17:35:23,422.52,1,,,"b""b' sorry for making noise here again", in what version should it be fixed? i just checked against PHPUnit 3.5.10 and it still shows that error:PHP Catchable fatal error:  Argument 2 passed to PHPUnit_Framework_TestResult::addError() must be an instance of Exception, instance of __PHP_Incomplete_Class given," called in / on line 235 and defined in / on line 242 regards cobexer'""",,,,,,,,,,,,,,,,
phpunit,74,closed,6,2010-11-16 17:35:23,34.63,,1,,"b""b' It should have been fixed in PHPUnit 3.5.10. Please provide a small yet complete reproducing example so that I can further investigate.'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,7,2010-11-16 17:35:23,858.92,,,1,"b""b' still happens with the example posted above!'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,8,2010-11-16 17:35:23,424.98,,1,,"b""b' Still reproducing phpunit 3.5.13 / centos 5'""",,,,,,,,,,,,,,,,,,,
phpunit,74,closed,reopened,2011-04-28 15:36:12,1320.82,1,7,2,,,,,,,,,,,,,,,,,,,,
phpunit,74,closed,9,2010-11-16 17:35:23,1364.55,,1,,b'b\' I also reproduced this: phpunit 3.5.13," ubuntu 10.04.Note this issue is only reproduced with ""process-isolation"" option.You can see a test case here url \''",,,,,,,,,,,,,,,,,,
