REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,opened,2010-02-11 15:28:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,title,2010-02-11 15:28:21,00:00,,1,,"b""b' Find a way to make Copy&Paste in RTE possible'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,body,2010-02-11 15:28:21,00:00,,1,,"b""b' I really want to just paste an image in my RTE and go on from there. But nowbody seems to be able to do it... Maybe Plubloard is?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,1,2010-02-11 15:28:21,22.62,,1,,"b'b"" It\'s currently not possible to access the clipboard in any browser or runtime except maybe Java but who uses that these days. The HTML5 spec says that  and  should be treated equal so it\'s in the spec but no vendor has an implementation yet.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,2,2010-02-11 15:28:21,67.18,,,1,"b""b' thx spocke!do you have a link to the specs that talks about ?and do you have an idea how to promote this feature? I already asked aza raskin @azaaza about it but this did not have any effect yet :-).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,3,2010-02-11 15:28:21,7.22,,1,,"b""b' There is a bug for basic clipboard access for Gecko here: url  hope fully it would have the same reference as the DropEvent.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,4,2010-02-11 15:28:21,1147.37,,1,,"b""b' Closing this issue.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,5,2010-02-11 15:28:21,1382.43,,1,,"b""b' Almost 4 years later"," this seems more feasible.. reopen?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,reopened,2013-10-22 14:57:56,1409.58,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,6,2010-02-11 15:28:21,1419.22,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,closed,2017-02-03 10:54:23,1196.45,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,7,closed,-,-,-,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,opened,2010-09-11 08:13:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,title,2010-09-11 08:13:57,00:00,,1,,"b""b' Failed to use plupload in IE Tab (Chrome and Firefox)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,body,2010-09-11 08:13:57,00:00,,1,,"b""b' url  does not work in IE Tab (Chrome and Firefox). Be precisely"," it does not work in any program embed with IE Control.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,1,2010-09-11 08:13:57,175.15,1,,,"b""b' The bug is still in plupload 1.5.1.1.The error message is  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,2,2010-09-11 08:13:57,34.58,,1,,"b""b' Found a clue: After setting to 0"," the problem disappeared. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,closed,2011-10-13 11:43:41,209.73,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,reopened,2011-10-13 11:43:44,0.05,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,3,2010-09-11 08:13:57,295.35,,1,,"b""b' I am having the same error in IE7/8 when using modal windows. For modal windows I am using lightbox_me and never had problems in previous versions. Any suggestions?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plupload,102,open,4,2010-09-11 08:13:57,386.3,,,1,"b""b' how do you set expires to 0? i am seeing this issue with plupload in a  on windows 7 ie8 (however it works fine on windows xp ie8).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
