REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
ravendb,488,closed,opened,2012-07-26 17:04:45,,,,,,,,,,,
ravendb,488,closed,title,2012-07-26 17:04:45,00:00,,1,,"b""b' New Bundle IndexReplicationToRedis'""",,,,,,
ravendb,488,closed,body,2012-07-26 17:04:45,00:00,,1,,"b""b' This bundle allow replicate index data to Redis using the C# client.Allows replicate the index data using two different modes: Hash Mode(dictionary of properties) or Typed mode (C#/.NET POCO type).Follows the same design of the IndexReplication Bundle", includingtransaction for  on index update operations.Included test," and sample.Redis client info: url '""",,,,
ravendb,488,closed,1,2012-07-26 17:04:45,1037.62,,1,,"b'b"" Hi",This should go into a contrib project, probably.I don\'t want to add something to the project that wouldn\'t be possible /easy for us to support, and we have no intrinsic Redis knowledge. On Thu, Jul 26, 2012 at 8:04 PM," pacoweb <reply@""'"
ravendb,488,closed,closed,2012-07-27 10:58:09,1073.4,0,3,0,,,,,,,
ravendb,488,closed,reopened,2012-07-27 10:58:42,0.55,0,3,0,,,,,,,
ravendb,488,closed,2,2012-07-26 17:04:45,36.68,,,1,"b""b' That sounds reasonable. When the contrib repository has a structure I will add it. Thank you.'""",,,,,,
ravendb,488,closed,closed,2012-07-27 10:59:04,0.37,0,3,1,,,,,,,
ravendb,488,closed,-,-,-,0,3,1,,,,,,,
ravendb,505,closed,opened,2013-02-12 11:11:22,,,,,,,,,,,
ravendb,505,closed,title,2013-02-12 11:11:22,00:00,,1,,"b""b' Feature Results transformers'""",,,,,,
ravendb,505,closed,body,2013-02-12 11:11:22,00:00,1,,,"b""b' Current stab looks something like With We can argue over exact semantics once the first test passes obviously _not ready for merge_'""",,,,,,
ravendb,505,closed,1,2013-02-12 11:11:22,1370.22,,,1,"b""b' ![txjtM]url '""",,,,,,
ravendb,505,closed,2,2013-02-12 11:11:22,34.4,,1,,"b""b' Should really be making this request of the 2.1 branch '""",,,,,,
ravendb,505,closed,closed,2013-02-13 10:35:59,1404.62,1,2,1,,,,,,,
ravendb,505,closed,reopened,2013-02-13 10:37:33,1.57,1,2,1,,,,,,,
ravendb,505,closed,3,2013-02-12 11:11:22,1393.6,,,1,"b""b' ![ZrsRjz7]url '""",,,,,,
ravendb,505,closed,-,-,-,1,2,2,,,,,,,
ravendb,518,closed,opened,2013-05-25 14:45:54,,,,,,,,,,,
ravendb,518,closed,title,2013-05-25 14:45:54,00:00,,1,,"b""b' RavenDB-1058'""",,,,,,
ravendb,518,closed,body,2013-05-25 14:45:54,00:00,,1,,"b""b' url '""",,,,,,
ravendb,518,closed,1,2013-05-25 14:45:54,1068.42,,1,,"b'b"" Hi",I couldn\'t merge this to the 2.5 branch, can you re-issue the pull requestagainst 2.5? On Sat, May 25, 2013 at 5:45 PM," jahmai notifications@ wrote:""'",
ravendb,518,closed,2,2013-05-25 14:45:54,330.78,,1,,"b""b' url '""",,,,,,
ravendb,518,closed,3,2013-05-25 14:45:54,7.58,1,,,"b'b"" Oh", sorry I misunderstood... 2.5 doesn\'t need the fix," it already uses \'await\' keyword instead of ""'",,,,
ravendb,518,closed,closed,2013-05-26 14:15:28,1409.57,1,4,0,,,,,,,
ravendb,518,closed,reopened,2013-05-26 14:16:52,1.4,1,4,0,,,,,,,
ravendb,518,closed,-,-,-,1,4,0,,,,,,,
ravendb,540,closed,opened,2013-11-08 00:46:25,,,,,,,,,,,
ravendb,540,closed,title,2013-11-08 00:46:25,00:00,,1,,"b""b' Facet bug", query bug," loadstartingwith case bug'""",,,,
ravendb,540,closed,body,2013-11-08 00:46:25,00:00,,1,,"b'b"" Raven changes: TEST: creating a facet hides other errors. TEST: facet doesn\\xe2\\x80\\x99t work with datetimes and the advanced api TEST: authorization doesn\'t work with transformers : allowing for expressions when creating facet ranges with advanced api TEST: || in where blows chunks. TEST: When we specify our own Id with mixed case"," we can\'t find it with all lowercase prefix request nor with the matching mixed-case request. LoadStartingWith is partially case-sensitive.. And Load is not?""'",,,,,
ravendb,540,closed,1,2013-11-08 00:46:25,552.55,,1,,"b""b' Hey", please discuss any of those issue in the mailing list. This query should not work," as you do a computation:  '""",,,,
ravendb,540,closed,closed,2013-11-10 09:58:58,552.55,0,3,0,,,,,,,
ravendb,540,closed,2,2013-11-08 00:46:25,472.5,,1,,"b'b"" I\'ll submit that to the google group"," like suggested. What about the other items?""'",,,,,
ravendb,540,closed,reopened,2013-11-11 09:23:46,1404.8,0,4,0,,,,,,,
ravendb,540,closed,closed,2014-02-27 08:43:56,1400.17,0,4,0,,,,,,,
ravendb,540,closed,-,-,-,0,4,0,,,,,,,
ravendb,543,closed,opened,2013-12-30 23:20:17,,,,,,,,,,,
ravendb,543,closed,title,2013-12-30 23:20:17,00:00,,1,,"b""b' improve ability to mock loading with includes'""",,,,,,
ravendb,543,closed,body,2013-12-30 23:20:17,00:00,,1,,"b""b' It is difficult to mock ILoaderWithInclude because it has methods with concrete type MultiLoaderWithInclude that has an internal constructor.  Updating to use the interface allows for unit testing with mocks.'""",,,,,,
ravendb,543,closed,1,2013-12-30 23:20:17,57.73,,1,,"b""b' Do you have CLA with us? _Oren Eini_CEOHibernating RhinosCellular: +972-52-548-6969Office:  +972-4-674-7811Fax:   +972-153-4622-7811 On Tue", Dec 31, 2013 at 1:20 AM," bryzaguy notifications@ wrote:'""",,,
ravendb,543,closed,2,2013-12-30 23:20:17,9.77,,1,,"b""b' I do not have a CLA.  How does one get a CLA with you? On Mon", Dec 30, 2013 at 4:18 PM," Ayende Rahien notifications@:'""",,,
ravendb,543,closed,3,2013-12-30 23:20:17,78.15,,1,,"b""b'  _Oren Eini_CEOHibernating RhinosCellular: +972-52-548-6969Office:  +972-4-674-7811Fax:   +972-153-4622-7811 On Tue", Dec 31, 2013 at 2:27 AM," bryzaguy notifications@ wrote:'""",,,
ravendb,543,closed,4,2013-12-30 23:20:17,1404.67,,1,,"b'b"" Ok", I\'ve sent the CLA to as the site instructed. On Mon, Dec 30, 2013 at 5:46 PM," ravendb notifications@ wrote:""'",,
ravendb,543,closed,5,2013-12-30 23:20:17,1347.77,,1,,"b""b' Is there anything else I need to do?'""",,,,,,
ravendb,543,closed,closed,2014-01-03 23:38:22,18.08,0,7,0,,,,,,,
ravendb,543,closed,reopened,2014-01-03 23:38:45,0.38,0,7,0,,,,,,,
ravendb,543,closed,6,2013-12-30 23:20:17,570.75,,1,,"b""b' No", this has been merged in _Oren Eini_CEOHibernating RhinosCellular: +972-52-548-6969Office:  +972-4-674-7811Fax:   +972-153-4622-7811 On Sat, Jan 4, 2014 at 1:38 AM," bryzaguy notifications@ wrote:'""",,
