REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,opened,2012-01-14 15:12:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,title,2012-01-14 15:12:34,00:00,,1,,"b""b' Fixed  and  location'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,body,2012-01-14 15:12:34,00:00,,1,,b'b\' Depending on the file order in the directory," could end up as """" instead of """"which would cause all the specialized tests to fail. The same goes for \''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,1,2012-01-14 15:12:34,7.05,,1,,"b""b' I just realized that lib could be a directory also... Fixing up'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,closed,2012-01-14 15:19:37,7.05,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,2,2012-01-14 15:12:34,1.22,,,1,"b'b"" Does this fix specialized tests? If so", I\'m forever grateful to you! Also," I\'d like some classes in how to track down this kind of problem. :-)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,3,2012-01-14 15:12:34,179.85,,1,,b'b\' Yes, this fixes those tests," but currently it finds the first file or directory named ""instrumented_.jar"". I figured it would match better the original behavior if it would look for a directory named ""instrumented_"" or a file named ""instrumented*.jar"". I think", giving priority to the directory would also make sense. So, this is what I\\\'m gonna do now. To be honest, I can\\\'t remember how I found this bug. :)\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,reopened,2012-01-14 18:38:44,199.12,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,4,2012-01-14 15:12:34,18.18,,1,,"b'b"" I just realized that the original didn\'t accept directories", only files, just like this fix," so I\'m reopening.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,closed,2012-01-15 16:00:12,1281.47,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,102,closed,-,-,-,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,opened,2012-03-04 17:37:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,title,2012-03-04 17:37:47,00:00,,1,,"b""b' Fix deadlocks occurring during presentation compiler shutdown.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,body,2012-03-04 17:37:47,00:00,,1,,"b'b"" During shutdown", other threads can still post work items on the work queue. They will never be serviced,"leading to clients waiting forever.  The fix is to replace the implementation of the queue with a \'always fail\' implementation during shutdown.Review by @odersky.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,1,2012-03-04 17:37:47,840.43,,1,,"b'b"" I made the field  . Let me know if that\'s ok with you.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,closed,2012-03-05 16:21:37,1363.83,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,reopened,2012-03-05 16:27:36,5.98,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,2,2012-03-04 17:37:47,609.05,,,1,"b""b' Martin gave me the green light for this commit in [1]. If no one else objects"," pleeeeaaaase.. [1] private conversation'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,closed,2012-03-05 21:25:17,297.68,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,259,closed,-,-,-,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,opened,2012-03-16 01:03:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,title,2012-03-16 01:03:09,00:00,,,1,"b""b' SI-1118"," finally.  Comments welcome!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,1,2012-03-16 01:03:09,1.37,,1,,"b""b' Dammit", I missed another change-the-whole-file diff," hang on... '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,closed,2012-03-16 01:04:31,1.37,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,2,2012-03-16 01:03:09,5.67,,1,,"b""b' Hmm", Github shows 5ea83bc as changing the whole file (presumably due to line endings), but when I look at it in IDEA it looks like just a small change.  Is it OK to pull as-is," or should I rewrite the affected commits?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,reopened,2012-03-16 01:14:56,10.42,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,3,2012-03-16 01:03:09,4.85,1,,,"b'b"" I\'ll reopen for now until I hear back about 5ea83bc"," sorry for the churn.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,4,2012-03-16 01:03:09,664.02,,1,,"b""b' On some related style fixes: It might sense to squash these commits into a single one probably.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,closed,2012-03-16 18:18:30,1023.57,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,278,closed,-,-,-,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,opened,2012-05-12 11:11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,title,2012-05-12 11:11:15,00:00,,1,,"b'b"" Another bug bites virtpatmat\'s dust.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,body,2012-05-12 11:11:15,00:00,,1,,"b""b' Test case closes SI-5029. In 2.9"," one saw:  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,1,2012-05-12 11:11:15,4.42,,,1,"b'b"" thanks for going through all these! this one\'s more of an un-feature for now", though (still working on )," but it\'s good to have the test case already!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,2,2012-05-12 11:11:15,28.95,1,,,"b'b"" right"," sorry didn\'t spot that one right away -glad (though not surprised ;-)) the implementation did :-)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,3,2012-05-12 11:11:15,16.78,,1,,"b""b' Yep"," needs a bit more thought. 2.10: 2.9  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scala,539,closed,closed,2012-05-12 12:01:25,50.17,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
