REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
scalatra,20,closed,opened,2010-11-30 03:48:46,,,,,,,,,,,
scalatra,20,closed,title,2010-11-30 03:48:46,00:00,,1,,"b""b' Add support for the HTTP HEAD method'""",,,,,,
scalatra,20,closed,1,2010-11-30 03:48:46,8.27,,1,,"b""b' The servlet container handles HEAD as a bodyless GET for us.  We will need to handle this ourselves for SSGI.'""",,,,,,
scalatra,20,closed,closed,2011-07-26 00:41:04,1252.3,0,2,0,,,,,,,
scalatra,20,closed,reopened,2011-07-26 00:41:22,0.3,0,2,0,,,,,,,
scalatra,20,closed,closed,2011-07-28 05:04:57,263.58,0,2,0,,,,,,,
scalatra,20,closed,2,2010-11-30 03:48:46,68.97,,1,,"b'b"" There\'s a lot that needs to be done for SSGI.  We\'ll track those as part of the SSGI project when it is revived.""'",,,,,,
scalatra,20,closed,-,-,-,0,3,0,,,,,,,
scalatra,51,closed,opened,2011-04-08 01:13:14,,,,,,,,,,,
scalatra,51,closed,title,2011-04-08 01:13:14,00:00,,1,,"b""b' Full support for all HTTP methods'""",,,,,,
scalatra,51,closed,body,2011-04-08 01:13:14,00:00,,1,,b'b\' url OPTIONS: Supported, but could have better default behavior.  Specifically, should look for matching routes of other methods," and return header with all supported methods on request for ""*"".HEAD: Forwarded to GET", and body discarded by servlet.  Do we have any reason to override?GET: Supported.POST: Supported.PUT: Supported.DELETE: Supported.TRACE: Inherited from servlet spec.  Do we have any reason to override?CONNECT: Not supported.  We should probably add it, though I\\\'m unsure how it would be used in Scalatra.Extension methods: Not supported.  We could allow them, though they wouldn\\\'t have explicit methods in the DSL.\''
scalatra,51,closed,1,2011-04-08 01:13:14,1255.97,,,1,b'b\' Great," I understand that all the HTTP verbs are supported by a ScalatraServlet. But I was reffering to the ScalatraTests framework included with Scalatra: The documentation says: ""Testing Your Scalatra Applications ... . ScalatraTests supports HTTP  tests with or without request parameters and sessions. For more examples"," please refer to ."" and that is awesome :)", but I\\\'m just wondering if all the HTTP verbs could be supported here too.\'',,,
scalatra,51,closed,2,2011-04-08 01:13:14,513.2,,,1,"b'b"" Ah", yes.  We should definitely add the rest.  It\'s actually more important in the tester, because we don\'t get any of them for free like we do in the servlet. We\'re going to be limited to what the Jetty servlet tester supports.  I tried HEAD a while back and ran into a bug," but hopefully that is resolved in a newer Jetty.  We\'ll add whatever the tester can handle. Thanks for the report!""'",,,
scalatra,51,closed,closed,2011-07-28 05:06:28,233.23,0,2,2,,,,,,,
scalatra,51,closed,reopened,2011-07-28 05:06:55,0.45,0,2,2,,,,,,,
scalatra,51,closed,3,2011-04-08 01:13:14,1345.65,,1,,"b'b"" That commit mentions we can\'t close it yet.  What"," GitHub doesn\'t do natural language processing of commit messages yet? :-)""'",,,,,
scalatra,51,closed,4,2011-04-08 01:13:14,646.23,,,1,"b'b"" or don\'t use fix or close next to an issue number :P""'",,,,,,
scalatra,51,closed,reopened,2011-07-29 01:10:03,1203.13,0,3,3,,,,,,,
scalatra,51,closed,closed,2011-07-29 02:06:39,56.6,0,3,3,,,,,,,
scalatra,51,closed,5,2011-04-08 01:13:14,318.32,,1,,"b'b"" What about PATCH? url I\'ve been doing this in POST"," and now I find they\'ve got an HTTP verb for it.""'",,,,,
scalatra,51,closed,reopened,2011-08-02 21:29:10,1162.52,0,4,3,,,,,,,
scalatra,51,closed,6,2011-04-08 01:13:14,17.37,,1,,"b'b"" PATCH is not in ", but it\'s been approved by Those Who Approve Such Things.  It needs to be added to both ScalatraKernel and ScalatraTests.  Not having used it," should the tester signatures be the same as for POST?""'",,,,
