REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,opened,2011-01-17 16:06:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,title,2011-01-17 16:06:24,00:00,,1,,"b""b' MeshBasicMaterial with both stroke and fill'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,body,2011-01-17 16:06:24,00:00,,1,,"b""b' Hello", I wish the MeshBasicMaterial could be used with both  and fill. Say I had cubes with red,yellow,blue,white faces and black strokes," I could make a composition similar to this url  in 3D.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,1,2011-01-17 16:06:24,12.32,,1,,"b""b' Does this do what you are after?  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,2,2011-01-17 16:06:24,1.73,,1,,"b""b' You can also do...  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,3,2011-01-17 16:06:24,12.92,1,,,"b'b"" That works", I didn\'t know that can be done. Would it be possible to draw just the \'orthogonal\' lines (the straight ones, not the \'diagonal\' ones, sorry," my terminology is horrible) ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,4,2011-01-17 16:06:24,0.57,,1,,"b""b' Oh"," I forgot to add this: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,5,2011-01-17 16:06:24,5.3,,1,,"b'b"" Are you using of  ? With CanvasRenderer is something I need to put back as soon as I can. I removed quads because it was making the renderer a bit too complex"," but I was going to put it back as soon as the refactoring was done... If you\'re using then it\'ll be a bit more complex. A hacky solution would be to use for the wireframe instead. That way you have control exactly which lines get rendered...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,6,2011-01-17 16:06:24,3.58,1,,,b'b\' Thick lines unfortunately do not work well in WebGL: joins and ends look bad when applied in 3d space :( It\\\'s not even consistent, you get flippings when rotating objects. Last time I looked into this," people were doing crazy workarounds constructing ""lines"" from triangles.  If it\\\'s possible to address individual line primitive pixels (in a way similar to point sprites)", maybe something could be done in shaders.  Anyways, for your original request," I think ""proper"" solution would be to use textures (for example generated in 2d canvas).  Also", wireframe currently shows just triangles, to be more true to what\\\'s really being rendered (OpenGL ES / WebGL doesn\\\'t have quad primitives), so you would get lines across cubes. I could change it to just 4 lines for quads if this is more desirable.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,7,2011-01-17 16:06:24,9.7,,1,,b'b\' Aha, I have seen now your screenshots. These are quite thin lines," so double material (as you have) should be ok (if you are satisfied with performance).  Diagonal lines are exactly what I mentioned quads broken into triangles. This should be simple to fix. It\\\'s just a matter of convention should ""wireframe"" show our data structures (triangles and quads) or real rendered primitives (just triangles).\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,8,2011-01-17 16:06:24,3.77,,1,,"b'b"" @mrdoob At the moment I\'m using the CanvasRenderer. I will try the  idea and see how I get on with that. @alteredq I\'ve noticed some issues with fat strokes joints and clearing them", but for my particular case, normal (wireframe_linewidth: 1) lines are perfect.  I understand the issues with drawing lines a bit better now. I don\'t know if it\'s worth the trouble at this point. I imagine more people will find the current wireframe drawing mode handy than the 4 lines for quads. The 2d canvas texture idea sounds good. Hopefully I can the result I\'m after with drawing lines," otherwise I\'ll go for this approach. Thank you for your help Do I mark this as closed ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,9,2011-01-17 16:06:24,11.4,,,1,"b'b"" For CanvasRenderer lines are much better solution than texture; there textures are expensive and lines are nice.  With WebGLRenderer line width 1 is fine", you start to notice artefacts from maybe 3, and with really thick ones it\'s just terrible.  I didn\'t try thick lines in CanvasRenderer," but it should be ok: url  That\'s one of rare advantages of 2d api.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,10,2011-01-17 16:06:24,9.32,,1,,"b'b"" Actually"," I think quads shouldn\'t display 2 triangles when rendering in wireframe. That\'s how it was in CanvasRenderer since I had to refactor and I really want to bring it back asap. At least this way you have the option.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,11,2011-01-17 16:06:24,33.3,,,1,"b'b"" Ok", done. Even looks prettier :) url  You were right," I don\'t know what was I thinking.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,12,2011-01-17 16:06:24,11.78,,,1,"b'b"" Cool! I does look prettier indeed :DNow... if I just cleaned the  ... I think I\'ll wait for the next material system though. Step by step.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,13,2011-01-17 16:06:24,12.82,,,1,"b""b' Wow! That is great"," the screenshot looks really nice!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,14,2011-01-17 16:06:24,1174.77,,1,,"b""b' Do you have the actual code for the wireframe line width ?I tried adding the line width argument like that :  But the wireframe linewidth seems not to be working.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,15,2011-01-17 16:06:24,11.17,1,,,"b'b"" @rnaud I\'m afraid I can\'t be of much help at the moment. I haven\'t had the time to use  and I am not up to date as this project grows very fast. The last time I\'ve used wireframe_linewidth it worked"," but back then I was using r29. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,16,2011-01-17 16:06:24,1.73,1,,,"b'b"" I guess you are on Windows?  Unfortunately ANGLE renderer doesn\'t support setting of line width. url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threejs,92,closed,17,2011-01-17 16:06:24,5.62,,1,,"b'b"" I\'m on ubuntu", using canvas renderer," and it does not work on Chrome nor firefox.So I guess i\'m doing something wrong. The full code might help : url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
