REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,opened,2011-05-17 12:35:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,title,2011-05-17 12:35:54,00:00,,1,,"b""b' Added a setting to disable automatic generation of etags.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,body,2011-05-17 12:35:54,00:00,,1,,"b'b\' Turn off automatic generation of etag headers by setting ""auto_etag"" to False.Can be overridden on requests with  = False. Defaults to Truefor backwards compability.\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,1,2011-05-17 12:35:54,1085.23,,,1,"b'b"" Instead of a global setting"," this should be controlled through a RequestHandler method that can be overridden.  Ideally this would take the form of a method to compute the Etag (or return None to suppress) so applications could get the benefit of the built-in If-None-Match handling (although I haven\'t checked the code to see if that\'s feasible with a simple interface) Your content-type change doesn\'t do anything since the default Content-Type is added in reset().""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,2,2011-05-17 12:35:54,34.67,,,1,"b'b"" Hello", thanks for your feedback! You can override the global setting for individual RequestHandlers by doing  = . It should probably be a method as you say, but in my case I wanted to disable etag hashing for all my handlers. As for the content-type change, do you mean the clear() method? Are there any cases where it\'s called after a write()? The change I did was in the write method," where content-type gets forced to  when passing in a dict.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,closed,2011-05-19 07:15:48,1119.9,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,reopened,2011-05-19 09:05:49,110.02,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,3,2011-05-17 12:35:54,110.32,,1,,"b'b"" Not sure how I closed the pull request"," I\'m new to Github.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,closed,2011-05-27 12:53:35,227.77,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,265,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tornado,324,open,opened,2011-08-01 19:53:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
