REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,opened,2011-02-12 18:29:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,title,2011-02-12 18:29:52,00:00,,1,,"b""b' Add Bluetooth setting GUI'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,body,2011-02-12 18:29:52,00:00,,1,,"b""b' Discussion on trac ticket #11003: url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,1,2011-02-12 18:29:52,1165.68,,1,,"b'b"" Yes it basically needs name",address,type and status. Address is indeed optional. I\'m not quite sure how to add this UI without adding a new dialog," but it works for me though. Let me know if you have a better idea.""'",,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,2,2011-02-12 18:29:52,558.82,,,1,"b'b"" I tried it out and it does indeed work", well as much as I can try I only have a phone so very limited hardware. I don\'t like the window though, it feels a bit malplaced and it, as jmarshall points out, adds a lot for the skinners. I would have liked to see bluetooth stuff in settings -Note for next time is that its much nicer if you do a branch and do the pull request on that branch," that way you can continue to work and it feels more sandboxed than if you do it on master. This is nitpick obviously and don\'t care for it now :) Just wanted to say it :)""'",,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,3,2011-02-12 18:29:52,557.3,1,,,"b'b"" I took a look at Settings->System", but looks like all the things in it is static options: text boxes, check boxes, drop downs, etc. The Bluetooth GUI is basically a list of devices, which will be automatically added, removed or updated based on DBus messages. I think the current window that is closest to the bluetooth setting GUI is Settings->Addon Browser. I can work on that direction if you think that\'s ok," however although it\'s simpler it\'s still a new window. Any other thoughts?""'",,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,4,2011-02-12 18:29:52,832.48,,,1,"b'b"" One way is to have much of the settings like turn on / off bluetooth radio", discovery etc could be in settings -This is how the network patch does it, I\'m not sure if there is another way. I made it so that the list was directly in the settings but if you have a lot of devices its not overly nice to have it in settings IMO," it should be static almost.""'",,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,5,2011-02-12 18:29:52,1221.65,,1,,"b""b' Did this request die? I really like to see something like this added.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,6,2011-02-12 18:29:52,826.67,,1,,"b'b"" I\'ve merged with latest master and done some very minor updates", and it still works well. I think the backend code is still quite usable, however I might need to some help in doing a new UI to the way you expected," since I am kind of busy these days.""'",,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,closed,2011-08-16 08:32:28,842.6,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,reopened,2011-08-16 08:32:38,0.17,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,7,2011-02-12 18:29:52,493.1,,1,,"b""b' Also"," if possible.. before we merge this if you could rebase it on xbmc instead of merging with it i would appreciate it. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,8,2011-02-12 18:29:52,685.37,,1,,"b'b"" I\'ve written a proper fix and rebase things into a separated branch \'bluetooth\'"," as a result I\'ve open a new pull request #369. Closing this one. Please continue review on the new pull request.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,closed,2011-08-21 04:10:56,1178.3,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,33,closed,-,-,-,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,opened,2011-03-28 22:47:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,title,2011-03-28 22:47:36,00:00,,1,,"b""b' changed: upgrade memory based cache to filebased after having been full f'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,body,2011-03-28 22:47:36,00:00,,,1,"b'b"" changed: upgrade memory based cache to filebased after having been full for 2 seconds without anything reading out of it By starting out with a memory based cache", then replacing that with a file based one on need we avoid the rather large overhead a file based cache introduces. However it can currently not discern the difference between paused playback on a really fast network," and on a slow one. So if you play over http from local network for example and pause playback. The whole file will be downloaded to local disk at maximum network speed. I\'m hesitant to this feature. I suspect it must be possible to turn on and off. On embedded system we may not have diskspace enough to do this. And currently i don\'t think the file based cache handles the situation of running out of space well at all. Comments are very welcome to how we should handle a feature like this.""'",,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,1,2011-03-28 22:47:36,1180.65,,1,,"b""b' Seems to work quite well under OSX. No issues that I can see yet. iOS testing tonight.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,2,2011-03-28 22:47:36,709.47,,,1,"b'b"" Nice to hear. I\'ve realized a rather major bug with the file based cache thou which must be fixed before this goes in. If the free disk space of the local machine does not support the size of the streamed file"," playback will break down. So two things really needs to be fixed here. One verify available disk space. Define some limit as to how much free space we always must leave. Something like atleast 200 megs (computers do funny things when totally out of disk space). Fix the SimpleFileCache to wrap around similary to how the new mem buffer does. So it doesn\'t break down with a limited amount of disk space.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,3,2011-03-28 22:47:36,113.02,,,1,"b'b"" what\'s a good way to trigger this ? iOS is fine but I don\'t really see the file cache getting created.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,4,2011-03-28 22:47:36,6.8,,1,,"b""b' Normally it would just be pause playback on a file larger than 20megs+8_video byterate"," wait for the file cache to fill larger than 20+8_videobyterate. (is visible in the codec info data)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,5,2011-03-28 22:47:36,497.87,,1,,"b'b"" humm"," can\'t seem to force it. will beat on it some more. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,6,2011-03-28 22:47:36,1405.75,,,1,"b'b"" hi elupus", tiben20 has also been experimenting with file caches (for my benefit, because i made an addon that streams .avi, which was having buffering issues on slower connections)url  url  (download links are in the trac ticket) i\'ve thought of 2 more things that could trigger it: A) check whether stream supports skipping, if it doesn\'t, force file cache.(prevents a bug on streams that don\'t support skipping where pausing for too long kills the stream) B) allow addon coders to set in  a cache file path (which also forces file cache)(this lets us provide a cool Stream + Download option in addons) -tiben\'s patch does this *PS for the streams that don\'t support skipping, another nice thing might be to support skipping within the already cached video," but refusing to try to skip beyond the cache limit because we know we won\'t be able to. i hope my suggestions help!""'",,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,7,2011-03-28 22:47:36,1067.85,,1,,"b""b' the current filecache logic will not guarantee a complete download thou. if a seek request is made (not neccessarily by user"," could be done by demuxer) it will just maintain some part of the file. So it would most likely be corrupt if you try to reuse it.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,8,2011-03-28 22:47:36,223.27,1,,,"b'b"" ah ok", AFAIK tiben\'s patch completely switches to use the curl download code used elsewhere in xbmc (like for downloading images) to guarantee a complete download. (if the stream is file cached from the very start, and the stream is not skipped around in) i\'ll ask him to post on this discussion so he can coordinate. apologies if i have hijacked this pull request with scope creep," maybe i should ask tiben to make a new pull request""'",,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,9,2011-03-28 22:47:36,1310.48,,1,,"b'b"" anarchintosh elupus is right about the current seek that will corrupt the download. My test were done with megaupload free account this is why i didn\'t see it right away.I\'ll see if i can make the seek happen on what as already been cached instead of making it on the input stream directly""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,closed,2011-04-25 11:22:45,755.15,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,reopened,2011-04-25 11:23:10,0.42,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,10,2011-03-28 22:47:36,607.78,,1,,"b'b"" This won\'t merge anymore and i\'m not sure i see much point in it anymore.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,closed,2012-04-15 21:30:32,607.37,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,11,2011-03-28 22:47:36,1137.9,1,,,"b""b' i still see the point in it... pausing something to load (because it is a slow connection) and then finding it has not is very frustrating.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,86,closed,-,-,-,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,opened,2011-04-06 18:21:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,title,2011-04-06 18:21:07,00:00,,1,,"b""b' Recently Added moved to core'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,body,2011-04-06 18:21:07,00:00,,1,,"b""b' Hi all", here is Recently Added moved to core with a lot of help from firnsy,  is not needed anymore and all functions have been mirrored as they were. no skin changes are needed apart from removing script dependency and calls to it. few things to note:1. we have hardcoded it to return 5 items2. it needed some changes to GetRecentlyAdded\\\\* in  to allow us to specify the limit of items returned3. firnsy added announcement for profile change so that we can clean items from RA screen when profile changes4. it listens to announcements and updates only if library has been touched, sqlite DB only. Mysql databases systems refresh on every homescreen init until remote announcements can be delivered thx Jezz_X for Confluence code,Montellese for VS fix,"  JM and spiff for other help and ronie for testing for days :)'""",,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,1,2011-04-06 18:21:07,25.55,,,1,"b'b"" As far as the patches go"," they look good.  It looks like the limit type (or lack of bounds check) problem I\'d mention on IRC was already handled.  I still don\'t really understand why we need multiple jobs though?  Should the totals job run with any other the DB access will effectively serialize their tasks.  It seems like excessive thread creation with little to no gain and I\'m guessing the blocking could be costly when using a remote DB.  Couldn\'t we just pass the flags into the job ctor and use that to pick which stuff to query the DB for in the work function? I do disagree with the inclusion of this patch on the principle that this feature is exactly of the type we are trying to move OUT of core.  I can\'t help but figure it will just be moved right back out to an addon at some point in the (hopefully near) future.  Is extending the addon interface to support the bits this adds really not an option?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,2,2011-04-06 18:21:07,791.6,,1,,"b'b"" ofc it _can_ be done as an add-on. but what do we gain? core would still have to issue the refresh. and i can\'t think of a single other usecase for such a class of add-ons. as for starting threads"," they are much cheaper than spawning a python interpreter will ever be.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,3,2011-04-06 18:21:07,13.55,,1,,"b""b' multiple jobs are there to handle different cases. we dont want to update all when only watched status is changing or update music RA if only one new movie has been added'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,closed,2011-04-15 08:11:49,830.7,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,reopened,2011-04-15 08:11:54,0.08,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbmc,94,closed,4,2011-04-06 18:21:07,485.93,1,,,"b'b"" @spiffGains would be the ability to choose different RA implementations which provide varying degrees of info.  I for one don\'t desire anything more than title", path, date and thumb, where I\'m sure there are others who want the whole mediainfo window.  Additionally, I can see there being a fair number of settings associated with this.  As an addon, we don\'t have to worry about yet more clutter in core settings. @amet:I understand what they\'re used for," just not why they\'re needed.  It seems the job selection logic could be moved into a single RA::DoWork() and the relevant bits of the individual jobs DoWork() selected there.""'",,,,,,,,,,,,,,,,,,,,,,
