REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,opened,2011-04-19 14:55:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,title,2011-04-19 14:55:34,00:00,,1,,"b""b' Fixed typo in .'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,1,2011-04-19 14:55:34,345.37,,,1,"b'b"" vslinko", I need a CLA from you before I can merge your pull request. Please sign and send in a CLA, which you can grab here:url  and send to cla [at] . Update the pull request once you have," and I\'ll review and merge. Thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,2,2011-04-19 14:55:34,1098.55,,1,,"b""b' Signed CLA sended to cla [at] '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,closed,2011-04-29 14:59:29,3.92,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,reopened,2011-04-29 14:59:37,0.13,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,3,2011-04-19 14:55:34,466.13,,,1,"b""b' Merged and pushed to master on canonical repository. Thanks!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,closed,2011-05-20 22:45:37,466.0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,163,closed,-,-,-,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,opened,2011-05-19 17:43:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,title,2011-05-19 17:43:15,00:00,,1,,"b""b' [ZF-10898] Patch: Allow loading application.*.dist'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,body,2011-05-19 17:43:15,00:00,,1,,"b""b' Patch added was after starts ZF2 in release 1.11.5. We think it should be in ZF2.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,closed,2011-05-19 18:09:10,25.92,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,reopened,2011-05-19 18:10:05,0.92,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,1,2011-05-19 17:43:15,61.92,,1,,"b""b' See the [diff]url  in zf1.Can you send a pull request with all diff of [r23842]url  related on the issue?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,2,2011-05-19 17:43:15,51.87,,1,,"b""b' Yes"," you right. Required to close this request and open new one or i can use this one?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,3,2011-05-19 17:43:15,986.22,,1,,"b""b' How said Intiilapa required to add all diff for this patch. In this case this request to close.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,closed,2011-05-20 12:03:15,1073.17,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,184,closed,-,-,-,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,196,closed,opened,2011-06-03 00:29:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zendframework,196,closed,title,2011-06-03 00:29:59,00:00,,1,,"b""b' Zend_Tool namespace separator'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
