REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,opened,2012-10-29 23:05:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,title,2012-10-29 23:05:27,00:00,,1,,"b""b' Publish to Maven Central'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,body,2012-10-29 23:05:27,00:00,,,1,"b""b' I discussed with @franklinhu on creating a Sonatype OSS account:url  This would allow us to publish artifacts directly to Maven Central and be good open source citizens.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,1,2012-10-29 23:05:27,44.47,,1,,"b""b' Why is it better to be on Sonatype OSS than ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,2,2012-10-29 23:05:27,6.0,,1,,"b'b"" Because it automatically syncs to Maven Central. I\'m slowly weaning Twitter off of  for most things and having artifacts published to Maven Central instead.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,3,2012-10-29 23:05:27,9.33,,,1,"b""b' Neat"," good to know.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,4,2012-10-29 23:05:27,16.65,,1,,"b""b' Filed the ticket: url @caniszczyk can you sanity check that?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,5,2012-10-29 23:05:27,2.83,,,1,"b""b' Looks fine", would be great to have this change coincide moving to Maven :) To sync to maven central," we need spruce up our POM most likely with extra metadata:url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,6,2012-10-29 23:05:27,388.73,,1,,"b""b' So"," has anything been published yet?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,7,2012-10-29 23:05:27,1027.95,,1,,"b""b' @caniszczyk seems like the last release was end of Aug"," 2013 -any chance of cutting a new release and publishing it to sonatype?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,8,2012-10-29 23:05:27,36.72,,1,,"b'b"" @jpinner Yes. We\'re working on scheduling it now.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,9,2012-10-29 23:05:27,945.65,,1,,"b""b' any updates?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,10,2012-10-29 23:05:27,4.92,,,1,"b""b' I think the idea is that openzipkin will drive artifact publication @rtyler can invite you to the org as well!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipkin,194,closed,11,2012-10-29 23:05:27,800.27,,1,,"b""b' The url  org includes a zipkin-core team which has jpinner in it now too. The plan is to publish artifacts to url  after merging some in-flight sbt-bintray  work Lookout built.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
